INT	INT	INT	INT	INT
等级	蓝色品质经验	紫色品质经验	金色品质经验	红色品质经验
0	0	0	0	0
1	80	120	160	200
2	160	240	320	400
3	304	456	608	760
4	547	820	1094	1367
5	929	1394	1859	2322
6	1487	2230	2974	3717
7	2230	3345	4461	5575
8	3122	4683	6245	7805
9	4059	6088	8118	10147
10	4870	7305	9741	12175
11	5747	8620	11494	14367
12	6666	9999	13333	16665
13	7599	11399	15199	18997
14	8511	12766	17022	21277
15	9362	14043	18724	23405
16	10298	15447	20596	25745
17	11327	16991	22655	28317
18	12460	18690	24920	31150
19	13706	20559	27412	34265
20	15076	22614	30153	37690
21	15830	23745	31660	39575
22	16621	24932	33243	41552
23	17452	26178	34905	43630
24	18325	27487	36650	45812
25	19241	28861	38482	48102
26	20203	30304	40406	50507
27	21213	31819	42426	53032
28	22273	33410	44547	55682
29	23387	35080	46774	58467
30	24556	36834	49112	61390
31	25783	38675	51567	64457
32	27072	40608	54145	67680
33	28426	42639	56852	71065
34	29847	44770	59694	74617
35	31339	47008	62678	78347
36	32905	49358	65811	82262
37	34550	51825	69101	86375
38	36278	54417	72556	90695
39	38091	57137	76183	95227
40	39996	59994	79992	99990
41	41995	62993	83991	104987
42	44095	66142	88190	110237
43	46299	69449	92599	115747
44	48614	72921	97228	121535
45	51044	76566	102089	127610
46	53596	80394	107193	133990
47	56276	84414	112552	140690
48	59089	88634	118179	147722
49	62043	93065	124087	155107
50	65145	97718	130291	162862
51	68402	102603	136805	171005
52	71822	107733	143645	179555
53	75413	113120	150827	188532
54	79184	118776	158368	197960
55	83143	124714	166286	207857
56	87300	130950	174600	218250
57	91665	137497	183330	229162
58	96248	144372	192496	240620
59	101060	151590	202120	252650
60	106113	159169	212226	265282
61	111418	167127	222837	278545
62	116989	175483	233978	292472
63	122838	184257	245676	307095
64	128979	193469	257959	322447
65	135428	203142	270856	338570
66	142199	213298	284398	355497
67	149308	223962	298617	373270
68	156773	235160	313547	391932
69	164612	246918	329224	411530
70	172842	259263	345685	432105
71	181484	272226	362969	453710
72	190558	285837	381117	476395
73	200086	300129	400172	500215
74	210090	315135	420180	525225
75	220594	330891	441189	551485
76	231624	347436	463248	579060
77	243205	364807	486410	608012
78	255365	383047	510730	638412
79	268133	402199	536266	670332
80	281539	422309	563079	703847
