INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
еецШ1	еецШ2	type	value1	value2	value3	type	value1	value2	value3
1	1	1	24	5000	0	1	1	5000000	0
2	2	1	24	4700	0	1	1	4700000	0
3	3	1	24	4400	0	1	1	4400000	0
4	5	1	24	4100	0	1	1	4100000	0
6	10	1	24	3800	0	1	1	3800000	0
11	20	1	24	3500	0	1	1	3500000	0
21	35	1	24	3200	0	1	1	3200000	0
36	55	1	24	2900	0	1	1	2900000	0
56	80	1	24	2600	0	1	1	2600000	0
81	110	1	24	2300	0	1	1	2300000	0
111	145	1	24	2000	0	1	1	2000000	0
146	185	1	24	1700	0	1	1	1700000	0
186	235	1	24	1400	0	1	1	1400000	0
236	300	1	24	1100	0	1	1	1100000	0
