INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
等级	称号	代号	ICON	level	材料1	材料2	材料3	材料4	金币	全属性提升	全队额外属性类型
0	E阶0级	t_chongwu_jinjie_0	xzjb_0	1	110030101	110030102			35000		
1	E阶1级	t_chongwu_jinjie_1	xzjb_0	1	110030201	110030103	110030104		50000		
2	E阶2级	t_chongwu_jinjie_2	xzjb_0	1	110030202	110030101	110030102	110030103	70000		
3	E阶3级	t_chongwu_jinjie_3	xzjb_0	1	110030203	110030101	110030102	110030104	85000		
4	E阶4级	t_chongwu_jinjie_4	xzjb_0	1	110030201	110030204	110030103	110030104	105000		
5	E阶5级	t_chongwu_jinjie_5	xzjb_0	1	110030202	110030203	110030101	110030102	120000		
6	E阶6级	t_chongwu_jinjie_6	xzjb_0	1	110030201	110030204	110030103	110030104	140000		
7	E阶7级	t_chongwu_jinjie_7	xzjb_0	1	110030202	110030203	110030101	110030102	160000		
8	E阶8级	t_chongwu_jinjie_8	xzjb_0	1	110030201	110030204	110030103	110030104	175000		
9	E阶9级	t_chongwu_jinjie_9	xzjb_0	1	110030201	110030202	110030203	110030204	680000		
10	D阶0级	t_chongwu_jinjie_10	xzjb_1	10	110030301	110030202	110030203	110030204	705000	5	
11	D阶1级	t_chongwu_jinjie_11	xzjb_1	10	110030302	110030201	110030202	110030203	725000		
12	D阶2级	t_chongwu_jinjie_12	xzjb_1	10	110030303	110030201	110030202	110030204	745000		
13	D阶3级	t_chongwu_jinjie_13	xzjb_1	10	110030301	110030304	110030203	110030204	765000		
14	D阶4级	t_chongwu_jinjie_14	xzjb_1	10	110030302	110030303	110030201	110030202	790000		
15	D阶5级	t_chongwu_jinjie_15	xzjb_1	10	110030301	110030304	110030203	110030204	810000		1
16	D阶6级	t_chongwu_jinjie_16	xzjb_1	10	110030302	110030303	110030201	110030202	830000		
17	D阶7级	t_chongwu_jinjie_17	xzjb_1	10	110030301	110030304	110030203	110030204	855000		
18	D阶8级	t_chongwu_jinjie_18	xzjb_1	10	110030302	110030303	110030201	110030202	875000		
19	D阶9级	t_chongwu_jinjie_19	xzjb_1	10	110030301	110030302	110030303	110030304	1430000		
20	C阶0级	t_chongwu_jinjie_20	xzjb_3	30	110030401	110030301	110030302	110030304	1455000	5	
21	C阶1级	t_chongwu_jinjie_21	xzjb_3	30	110030402	110030301	110030303	110030304	1475000		
22	C阶2级	t_chongwu_jinjie_22	xzjb_3	30	110030403	110030302	110030303	110030304	1500000		
23	C阶3级	t_chongwu_jinjie_23	xzjb_3	30	110030404	110030301	110030302	110030303	1520000		
24	C阶4级	t_chongwu_jinjie_24	xzjb_3	30	110030401	110030402	110030301	110030304	1545000		2
25	C阶5级	t_chongwu_jinjie_25	xzjb_3	30	110030403	110030404	110030302	110030303	1565000		
26	C阶6级	t_chongwu_jinjie_26	xzjb_3	30	110030401	110030402	110030301	110030304	1590000		
27	C阶7级	t_chongwu_jinjie_27	xzjb_3	30	110030403	110030404	110030302	110030303	1615000		1
28	C阶8级	t_chongwu_jinjie_28	xzjb_3	30	110030401	110030402	110030301	110030304	1635000		
29	C阶9级	t_chongwu_jinjie_29	xzjb_3	30	110030401	110030402	110030403	110030404	2220000		
30	B阶0级	t_chongwu_jinjie_30	xzjb_6	50	110030401	110030402	110030403	110030404	2240000	5	
31	B阶1级	t_chongwu_jinjie_31	xzjb_6	50	110030501	110030401	110030403	110030404	2265000		
32	B阶2级	t_chongwu_jinjie_32	xzjb_6	50	110030502	110030402	110030403	110030404	2290000		2
