INT	STR	STR	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
ID	道具	代号	颜色 颜色 0白 1绿 2蓝 3紫 4橙 5红 6金	icon	att1	value1	att2	value2	att3	value3	出售价格	芯片价格
110030101	F级血统证	t_chongwu_jinjieitem_101	0		1	216	2	36	29	11	5	10
110030102	F级战斗证	t_chongwu_jinjieitem_102	0		1	216	2	36	29	11	5	10
110030103	F级健康证	t_chongwu_jinjieitem_103	0		1	240	2	30	29	12	5	10
110030104	F级饲养证	t_chongwu_jinjieitem_104	0		1	240	2	30	29	12	5	10
110030201	E级血统证	t_chongwu_jinjieitem_201	1		1	383	2	64	29	19	14	29
110030202	E级战斗证	t_chongwu_jinjieitem_202	1		1	383	2	64	29	19	14	29
110030203	E级健康证	t_chongwu_jinjieitem_203	1		1	426	2	53	29	21	14	29
110030204	E级饲养证	t_chongwu_jinjieitem_204	1		1	426	2	53	29	21	14	29
110030301	D级血统证	t_chongwu_jinjieitem_301	2		1	550	2	92	29	27	76	150
110030302	D级战斗证	t_chongwu_jinjieitem_302	2		1	550	2	92	29	27	76	150
110030303	D级健康证	t_chongwu_jinjieitem_303	2		1	612	2	77	29	31	76	150
110030304	D级饲养证	t_chongwu_jinjieitem_304	2		1	612	2	77	29	31	76	150
110030401	C级血统证	t_chongwu_jinjieitem_401	3		1	717	2	120	29	36	344	685
110030402	C级战斗证	t_chongwu_jinjieitem_402	3		1	717	2	120	29	36	344	685
110030403	C级健康证	t_chongwu_jinjieitem_403	3		1	799	2	100	29	40	344	685
110030404	C级饲养证	t_chongwu_jinjieitem_404	3		1	799	2	100	29	40	344	685
110030501	B级血统证	t_chongwu_jinjieitem_501	4		1	884	2	148	29	44	1214	2425
110030502	B级战斗证	t_chongwu_jinjieitem_502	4		1	884	2	148	29	44	1214	2425
110030503	B级健康证	t_chongwu_jinjieitem_503	4		1	984	2	123	29	49	1214	2425
110030504	B级饲养证	t_chongwu_jinjieitem_504	4		1	984	2	123	29	49	1214	2425
110030601	A级血统证	t_chongwu_jinjieitem_601	5		1	1052	2	176	29	53	4888	9775
110030602	A级战斗证	t_chongwu_jinjieitem_602	5		1	1052	2	176	29	53	4888	9775
110030603	A级健康证	t_chongwu_jinjieitem_603	5		1	1171	2	146	29	59	4888	9775
110030604	A级饲养证	t_chongwu_jinjieitem_604	5		1	1171	2	146	29	59	4888	9775
110030701	S级血统证	t_chongwu_jinjieitem_701	6		1	1219	2	204	29	61	10238	20475
110030702	S级战斗证	t_chongwu_jinjieitem_702	6		1	1219	2	204	29	61	10238	20475
110030703	S级健康证	t_chongwu_jinjieitem_703	6		1	1357	2	170	29	68	10238	20475
110030704	S级饲养证	t_chongwu_jinjieitem_704	6		1	1357	2	170	29	68	10238	20475
