INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	格子	level	type	value1	value2	value3	权重	货币类型 1金币 2钻石 3竞技场点数 4魔王点数	货币	推荐
1001	钢铁猎犬碎片	1		2	100011001	5	0	200	27	500	
1002	人面甲虫碎片	1		2	100011002	5	0	200	27	500	
1003	银河武士碎片	1		2	100012001	5	0	200	27	750	1
1004	自由仙女碎片	1		2	100012002	5	0	200	27	750	1
1005	钢铁猎犬碎片	1		2	100011001	5	0	50	2	500	
1006	人面甲虫碎片	1		2	100011002	5	0	50	2	500	
1007	银河武士碎片	1		2	100012001	5	0	50	2	750	1
1008	自由仙女碎片	1		2	100012002	5	0	50	2	750	1
2001	普通饲料	2		2	110020001	25	0	200	27	250	
2002	高级饲料	2		2	110020002	15	0	200	27	750	
2003	顶级饲料	2		2	110020003	10	0	200	27	1000	1
2004	普通饲料	2		2	110020001	25	0	50	2	250	
2005	高级饲料	2		2	110020002	15	0	50	2	750	
2006	顶级饲料	2		2	110020003	10	0	50	2	1000	1
3001	F级血统证	3		2	110030101	1	0	200	27	10	
3002	F级战斗证	3		2	110030102	1	0	200	27	10	
3003	F级健康证	3		2	110030103	1	0	200	27	10	
3004	F级饲养证	3		2	110030104	1	0	200	27	10	
3005	E级血统证	3		2	110030201	1	0	200	27	29	
3006	E级战斗证	3		2	110030202	1	0	200	27	29	
3007	E级健康证	3		2	110030203	1	0	200	27	29	
3008	E级饲养证	3		2	110030204	1	0	200	27	29	
3009	D级血统证	3		2	110030301	1	0	200	27	150	1
3010	D级战斗证	3		2	110030302	1	0	200	27	150	1
3011	D级健康证	3		2	110030303	1	0	200	27	150	1
3012	D级饲养证	3		2	110030304	1	0	200	27	150	1
3013	C级血统证	3	80	2	110030401	1	0	200	27	685	1
3014	C级战斗证	3	80	2	110030402	1	0	200	27	685	1
3015	C级健康证	3	80	2	110030403	1	0	200	27	685	1
3016	C级饲养证	3	80	2	110030404	1	0	200	27	685	1
3017	B级血统证	3	85	2	110030501	1	0	200	27	2425	1
3018	B级战斗证	3	85	2	110030502	1	0	200	27	2425	1
3019	B级健康证	3	85	2	110030503	1	0	200	27	2425	1
3020	B级饲养证	3	85	2	110030504	1	0	200	27	2425	1
3021	F级血统证	3		2	110030101	1	0	50	2	10	
3022	F级战斗证	3		2	110030102	1	0	50	2	10	
3023	F级健康证	3		2	110030103	1	0	50	2	10	
3024	F级饲养证	3		2	110030104	1	0	50	2	10	
3025	E级血统证	3		2	110030201	1	0	50	2	29	
3026	E级战斗证	3		2	110030202	1	0	50	2	29	
3027	E级健康证	3		2	110030203	1	0	50	2	29	
3028	E级饲养证	3		2	110030204	1	0	50	2	29	
3029	D级血统证	3		2	110030301	1	0	50	2	150	1
3030	D级战斗证	3		2	110030302	1	0	50	2	150	1
3031	D级健康证	3		2	110030303	1	0	50	2	150	1
3032	D级饲养证	3		2	110030304	1	0	50	2	150	1
3033	C级血统证	3	80	2	110030401	1	0	50	2	685	1
3034	C级战斗证	3	80	2	110030402	1	0	50	2	685	1
3035	C级健康证	3	80	2	110030403	1	0	50	2	685	1
3036	C级饲养证	3	80	2	110030404	1	0	50	2	685	1
3037	B级血统证	3	85	2	110030501	1	0	50	2	2425	1
3038	B级战斗证	3	85	2	110030502	1	0	50	2	2425	1
3039	B级健康证	3	85	2	110030503	1	0	50	2	2425	1
3040	B级饲养证	3	85	2	110030504	1	0	50	2	2425	1
3041	F级血统证	3		2	110030101	2	0	200	27	20	
3042	F级战斗证	3		2	110030102	2	0	200	27	20	
3043	F级健康证	3		2	110030103	2	0	200	27	20	
3044	F级饲养证	3		2	110030104	2	0	200	27	20	
3045	E级血统证	3		2	110030201	2	0	200	27	58	
3046	E级战斗证	3		2	110030202	2	0	200	27	58	
3047	E级健康证	3		2	110030203	2	0	200	27	58	
3048	E级饲养证	3		2	110030204	2	0	200	27	58	
3049	D级血统证	3		2	110030301	2	0	200	27	300	1
3050	D级战斗证	3		2	110030302	2	0	200	27	300	1
3051	D级健康证	3		2	110030303	2	0	200	27	300	1
3052	D级饲养证	3		2	110030304	2	0	200	27	300	1
3053	C级血统证	3	80	2	110030401	2	0	200	27	1370	1
3054	C级战斗证	3	80	2	110030402	2	0	200	27	1370	1
3055	C级健康证	3	80	2	110030403	2	0	200	27	1370	1
3056	C级饲养证	3	80	2	110030404	2	0	200	27	1370	1
3057	B级血统证	3	85	2	110030501	2	0	200	27	4850	1
3058	B级战斗证	3	85	2	110030502	2	0	200	27	4850	1
3059	B级健康证	3	85	2	110030503	2	0	200	27	4850	1
3060	B级饲养证	3	85	2	110030504	2	0	200	27	4850	1
3061	F级血统证	3		2	110030101	2	0	50	2	20	
3062	F级战斗证	3		2	110030102	2	0	50	2	20	
3063	F级健康证	3		2	110030103	2	0	50	2	20	
3064	F级饲养证	3		2	110030104	2	0	50	2	20	
3065	E级血统证	3		2	110030201	2	0	50	2	58	
3066	E级战斗证	3		2	110030202	2	0	50	2	58	
3067	E级健康证	3		2	110030203	2	0	50	2	58	
3068	E级饲养证	3		2	110030204	2	0	50	2	58	
3069	D级血统证	3		2	110030301	2	0	50	2	300	1
3070	D级战斗证	3		2	110030302	2	0	50	2	300	1
3071	D级健康证	3		2	110030303	2	0	50	2	300	1
3072	D级饲养证	3		2	110030304	2	0	50	2	300	1
3073	C级血统证	3	80	2	110030401	2	0	50	2	1370	1
3074	C级战斗证	3	80	2	110030402	2	0	50	2	1370	1
3075	C级健康证	3	80	2	110030403	2	0	50	2	1370	1
3076	C级饲养证	3	80	2	110030404	2	0	50	2	1370	1
3077	B级血统证	3	85	2	110030501	2	0	50	2	4850	1
3078	B级战斗证	3	85	2	110030502	2	0	50	2	4850	1
3079	B级健康证	3	85	2	110030503	2	0	50	2	4850	1
3080	B级饲养证	3	85	2	110030504	2	0	50	2	4850	1
3081	F级血统证	3		2	110030101	5	0	200	27	50	
3082	F级战斗证	3		2	110030102	5	0	200	27	50	
3083	F级健康证	3		2	110030103	5	0	200	27	50	
3084	F级饲养证	3		2	110030104	5	0	200	27	50	
3085	E级血统证	3		2	110030201	5	0	200	27	145	
3086	E级战斗证	3		2	110030202	5	0	200	27	145	
3087	E级健康证	3		2	110030203	5	0	200	27	145	
3088	E级饲养证	3		2	110030204	5	0	200	27	145	
3089	D级血统证	3		2	110030301	5	0	200	27	750	1
3090	D级战斗证	3		2	110030302	5	0	200	27	750	1
3091	D级健康证	3		2	110030303	5	0	200	27	750	1
3092	D级饲养证	3		2	110030304	5	0	200	27	750	1
3093	C级血统证	3	80	2	110030401	5	0	200	27	3425	1
3094	C级战斗证	3	80	2	110030402	5	0	200	27	3425	1
3095	C级健康证	3	80	2	110030403	5	0	200	27	3425	1
3096	C级饲养证	3	80	2	110030404	5	0	200	27	3425	1
3097	F级血统证	3		2	110030101	5	0	50	2	50	
3098	F级战斗证	3		2	110030102	5	0	50	2	50	
3099	F级健康证	3		2	110030103	5	0	50	2	50	
3100	F级饲养证	3		2	110030104	5	0	50	2	50	
3101	E级血统证	3		2	110030201	5	0	50	2	145	
3102	E级战斗证	3		2	110030202	5	0	50	2	145	
3103	E级健康证	3		2	110030203	5	0	50	2	145	
3104	E级饲养证	3		2	110030204	5	0	50	2	145	
3105	D级血统证	3		2	110030301	5	0	50	2	750	1
3106	D级战斗证	3		2	110030302	5	0	50	2	750	1
3107	D级健康证	3		2	110030303	5	0	50	2	750	1
3108	D级饲养证	3		2	110030304	5	0	50	2	750	1
3109	C级血统证	3	80	2	110030401	5	0	50	2	3425	1
3110	C级战斗证	3	80	2	110030402	5	0	50	2	3425	1
