INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT
id	名字	代号	type	level	阵位1	阵位2	阵位3	阵位4	阵位5	阵位6	前排attr	前排value	前排value	前排attr	前排value	前排value	中排attr	中排value	中排value	中排attr	中排value	中排value	后排attr	后排value	后排value	后排attr	后排value	后排value
0	入门队型	t_duixing_name_0	1	1	0	2	4	7	9	11																		
1	强攻队形	t_duixing_name_1	1	10	2	3	7	12	16	17	29	100	40	30	2.5	0.1	16	2.5	0.1	11	2.5	0.1	31	100	40	33	2.5	0.1
2	强魔队形	t_duixing_name_2	1	25	1	2	6	9	10	17	29	100	40	30	2.5	0.1	32	100	40	34	2.5	0.1	16	2.5	0.1	11	2.5	0.1
3	壁垒队形	t_duixing_name_3	1	35	1	2	3	6	10	17	29	100	40	21	2.5	0.1	1	960	384	21	2.5	0.1	1	960	384	21	2.5	0.1
4	舍命队形	t_duixing_name_4	1	40	2	7	9	12	16	17	1	960	384	12	2.5	0.1	1	960	384	17	2.5	0.1	31	100	40	33	2.5	0.1
5	背水队形	t_duixing_name_5	1	50	2	7	9	10	12	17	1	960	384	12	2.5	0.1	32	100	40	34	2.5	0.1	1	960	384	17	2.5	0.1
6	突击队形	t_duixing_name_6	1	60	2	3	7	10	12	17	29	100	40	30	2.5	0.1	32	100	40	34	2.5	0.1	31	100	40	33	2.5	0.1
101			2		2	7	9	0	4																			
102			2		8	1	3	6	10																			
103			2		8	1	3	0	4																			
104			2		2	7	9	6	10																			
105			2		2	1	3																					
106	军团副本用		2		0	4	2	7	9																			
107	营救伙伴用		2		1	2	3																					
