INT	INT	INT	INT
level	level	×°ÖÃ	½ð±Ò
1	18	100	5000
2	18	125	6250
3	18	150	7500
4	18	175	8750
5	18	200	10000
6	18	250	12500
7	18	300	15000
8	18	350	17500
9	18	400	20000
10	18	500	25000
11	18	600	30000
12	18	700	35000
13	18	800	40000
14	18	900	45000
15	18	1000	50000
16	18	1100	55000
17	18	1200	60000
18	18	1300	65000
19	18	1400	70000
20	18	1500	75000
21	40	1600	80000
22	40	1700	85000
23	40	1800	90000
24	40	1900	95000
25	40	2000	100000
26	40	2100	105000
27	40	2200	110000
28	40	2300	115000
29	40	2400	120000
30	40	2500	125000
31	40	2600	130000
32	40	2700	135000
33	40	2800	140000
34	40	2950	147500
35	40	3100	155000
36	40	3250	162500
37	40	3400	170000
38	40	3550	177500
39	40	3700	185000
40	40	3850	192500
41	60	4000	200000
42	60	4250	212500
43	60	4500	225000
44	60	4750	237500
45	60	5000	250000
46	60	5250	262500
47	60	5500	275000
48	60	5750	287500
49	60	6000	300000
50	60	6250	312500
51	60	6500	325000
52	60	6750	337500
53	60	7000	350000
54	60	7250	362500
55	60	7500	375000
56	60	7750	387500
57	60	8000	400000
58	60	8250	412500
59	60	8500	425000
60	60	8750	437500
61	80	9000	450000
62	80	9250	462500
63	80	9500	475000
64	80	9750	487500
65	80	10000	500000
66	80	10250	512500
67	80	10500	525000
68	80	10750	537500
69	80	11000	550000
70	80	11250	562500
71	80	11500	575000
72	80	11750	587500
73	80	12000	600000
74	80	12250	612500
75	80	12500	625000
76	80	12750	637500
77	80	13000	650000
78	80	13250	662500
79	80	13500	675000
80	80	13750	687500
81	100	14000	700000
82	100	14250	712500
83	100	14500	725000
84	100	14750	737500
85	100	15000	750000
86	100	15250	762500
87	100	15500	775000
88	100	15750	787500
89	100	16000	800000
90	100	16250	812500
91	100	16500	825000
92	100	16750	837500
93	100	17000	850000
94	100	17250	862500
95	100	17500	875000
96	100	17750	887500
97	100	18000	900000
98	100	18250	912500
99	100	18500	925000
100	100	18750	937500
