INT	INT	INT	INT	INT	INT
等级	金币	金币	金币	金币	金币
0	0	0	0	0	0
1	750	1500	3000	4500	6000
2	796	1594	3188	4782	6376
3	846	1693	3386	5079	6772
4	900	1800	3600	5400	7200
5	955	1912	3824	5736	7648
6	1015	2032	4064	6096	8128
7	1080	2160	4320	6480	8640
8	1147	2295	4590	6885	9180
9	1219	2439	4878	7317	9756
10	1296	2592	5184	7776	10368
11	1377	2754	5508	8262	11016
12	1462	2926	5852	8778	11704
13	1554	3109	6218	9327	12436
14	1651	3304	6608	9912	13216
15	1755	3511	7022	10533	14044
16	1866	3732	7464	11196	14928
17	1983	3966	7932	11898	15864
18	2107	4215	8430	12645	16860
19	2239	4480	8960	13440	17920
20	2380	4762	9524	14286	19048
21	2530	5062	10124	15186	20248
22	2689	5380	10760	16140	21520
23	2859	5718	11436	17154	22872
24	3039	6078	12156	18234	24312
25	3229	6460	12920	19380	25840
26	3433	6867	13734	20601	27468
27	3649	7299	14598	21897	29196
28	3879	7758	15516	23274	31032
29	4122	8245	16490	24735	32980
30	4381	8764	17528	26292	35056
31	4657	9316	18632	27948	37264
32	4951	9903	19806	29709	39612
33	5262	10525	21050	31575	42100
34	5593	11188	22376	33564	44752
35	5946	11892	23784	35676	47568
36	6319	12640	25280	37920	50560
37	6717	13435	26870	40305	53740
38	7140	14281	28562	42843	57124
39	7590	15180	30360	45540	60720
40	8128	16257	32514	48771	65028
41	8704	17410	34820	52230	69640
42	9322	18646	37292	55938	74584
43	9984	19969	39938	59907	79876
44	10693	21387	42774	64161	85548
45	11452	22905	45810	68715	91620
46	12265	24531	49062	73593	98124
47	13135	26272	52544	78816	105088
48	14068	28137	56274	84411	112548
49	15066	30133	60266	90399	120532
50	15684	31368	62736	94104	125472
51	16326	32653	65306	97959	130612
52	16995	33991	67982	101973	135964
53	17692	35385	70770	106155	141540
54	18417	36835	73670	110505	147340
55	19171	38344	76688	115032	153376
56	19957	39916	79832	119748	159664
57	20776	41553	83106	124659	166212
58	21627	43255	86510	129765	173020
59	22513	45028	90056	135084	180112
60	23166	46333	92666	138999	185332
61	23838	47676	95352	143028	190704
62	24528	49057	98114	147171	196228
63	25239	50479	100958	151437	201916
64	25971	51942	103884	155826	207768
65	26724	53448	106896	160344	213792
66	27498	54997	109994	164991	219988
67	28296	56592	113184	169776	226368
68	29116	58233	116466	174699	232932
69	29959	59920	119840	179760	239680
70	30648	61297	122594	183891	245188
71	31353	62706	125412	188118	250824
72	32073	64147	128294	192441	256588
73	32811	65622	131244	196866	262488
74	33565	67131	134262	201393	268524
75	34336	68674	137348	206022	274696
76	35127	70254	140508	210762	281016
77	35934	71869	143738	215607	287476
78	36760	73521	147042	220563	294084
79	37605	75211	150422	225633	300844
80	38281	76564	153128	229692	306256
81	38970	77941	155882	233823	311764
82	39672	79344	158688	238032	317376
83	40386	80772	161544	242316	323088
84	41112	82225	164450	246675	328900
85	41851	83704	167408	251112	334816
86	42604	85210	170420	255630	340840
87	43371	86743	173486	260229	346972
88	44151	88303	176606	264909	353212
89	44946	89892	179784	269676	359568
90	45664	91329	182658	273987	365316
91	46395	92790	185580	278370	371160
92	47136	94273	188546	282819	377092
93	47890	95781	191562	287343	383124
94	48655	97312	194624	291936	389248
95	49434	98869	197738	296607	395476
96	50224	100450	200900	301350	401800
97	51028	102057	204114	306171	408228
98	51844	103689	207378	311067	414756
99	52674	105348	210696	316044	421392
100	52989	105979	211958	317937	423916
101	53518	107036	214072	321108	428144
102	54053	108106	216212	324318	432424
103	54593	109186	218372	327558	436744
104	55138	110276	220552	330828	441104
105	55689	111378	222756	334134	445512
106	56245	112490	224980	337470	449960
107	56807	113614	227228	340842	454456
108	57375	114750	229500	344250	459000
109	57948	115896	231792	347688	463584
110	58527	117054	234108	351162	468216
111	59112	118224	236448	354672	472896
112	59703	119406	238812	358218	477624
113	60300	120600	241200	361800	482400
114	60903	121806	243612	365418	487224
115	61512	123024	246048	369072	492096
116	62127	124254	248508	372762	497016
117	62748	125496	250992	376488	501984
118	63375	126750	253500	380250	507000
119	64008	128016	256032	384048	512064
120	64648	129296	258592	387888	517184
121	65294	130588	261176	391764	522352
122	65946	131892	263784	395676	527568
123	66605	133210	266420	399630	532840
124	67271	134542	269084	403626	538168
125	67943	135886	271772	407658	543544
126	68622	137244	274488	411732	548976
127	69308	138616	277232	415848	554464
128	70001	140002	280004	420006	560008
129	70701	141402	282804	424206	565608
130	71408	142816	285632	428448	571264
131	72122	144244	288488	432732	576976
132	72843	145686	291372	437058	582744
133	73571	147142	294284	441426	588568
134	74306	148612	297224	445836	594448
135	75049	150098	300196	450294	600392
136	75799	151598	303196	454794	606392
137	76556	153112	306224	459336	612448
138	77321	154642	309284	463926	618568
139	78094	156188	312376	468564	624752
140	78874	157748	315496	473244	630992
141	79662	159324	318648	477972	637296
142	80458	160916	321832	482748	643664
143	81262	162524	325048	487572	650096
144	82074	164148	328296	492444	656592
145	82894	165788	331576	497364	663152
146	83722	167444	334888	502332	669776
147	84559	169118	338236	507354	676472
148	85404	170808	341616	512424	683232
149	86258	172516	345032	517548	690064
150	87120	174240	348480	522720	696960
