INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	name	代号	id1	id2	id3	id4	attr	value	attr	value	attr	value	attr	value
101	狂野套装	t_equip_tz_name_101	10101	20101	30101	40101	1	960	2	120	20	2	16	2
102	钢化套装	t_equip_tz_name_102	10102	20102	30102	40102	1	960	2	120	20	2	12	2
103	极速套装	t_equip_tz_name_103	10103	20103	30103	40103	1	960	2	120	20	2	19	2
104	守护套装	t_equip_tz_name_104	10104	20104	30104	40104	1	960	2	120	20	2	18	2
105	疾风套装	t_equip_tz_name_105	10105	20105	30105	40105	1	960	2	120	20	2	17	2
106	毁灭套装	t_equip_tz_name_106	10106	20106	30106	40106	1	960	2	120	20	2	11	2
201	活力套装	t_equip_tz_name_201	10201	20201	30201	40201	1	1920	2	240	20	4	16	4
202	合金套装	t_equip_tz_name_202	10202	20202	30202	40202	1	1920	2	240	20	4	12	4
203	迅影套装	t_equip_tz_name_203	10203	20203	30203	40203	1	1920	2	240	20	4	19	4
204	暮冰套装	t_equip_tz_name_204	10204	20204	30204	40204	1	1920	2	240	20	4	18	4
205	裂空套装	t_equip_tz_name_205	10205	20205	30205	40205	1	1920	2	240	20	4	17	4
206	玄铁套装	t_equip_tz_name_206	10206	20206	30206	40206	1	1920	2	240	20	4	11	4
301	精金套装	t_equip_tz_name_301	10301	20301	30301	40301	1	2880	2	360	20	6	16	6
302	秘银套装	t_equip_tz_name_302	10302	20302	30302	40302	1	2880	2	360	20	6	12	6
303	无双套装	t_equip_tz_name_303	10303	20303	30303	40303	1	2880	2	360	20	6	19	6
304	幻影套装	t_equip_tz_name_304	10304	20304	30304	40304	1	2880	2	360	20	6	18	6
305	封灵套装	t_equip_tz_name_305	10305	20305	30305	40305	1	2880	2	360	20	6	17	6
306	暗影套装	t_equip_tz_name_306	10306	20306	30306	40306	1	2880	2	360	20	6	11	6
401	永恒套装	t_equip_tz_name_401	10401	20401	30401	40401	1	3840	2	480	20	8	16	8
402	晶铸套装	t_equip_tz_name_402	10402	20402	30402	40402	1	3840	2	480	20	8	12	8
403	闪电套装	t_equip_tz_name_403	10403	20403	30403	40403	1	3840	2	480	20	8	19	8
404	炽光套装	t_equip_tz_name_404	10404	20404	30404	40404	1	3840	2	480	20	8	18	8
405	雷鸣套装	t_equip_tz_name_405	10405	20405	30405	40405	1	3840	2	480	20	8	17	8
406	混元套装	t_equip_tz_name_406	10406	20406	30406	40406	1	3840	2	480	20	8	11	8
501	大天使套装	t_equip_tz_name_501	10501	20501	30501	40501	1	4800	2	600	20	10	21	10
100000	至尊套装	t_equip_tz_name_100000	110300	120300	130300	140300	1	2400	2	300	20	5	16	5
