INT	INT	INT	INT	INT	INT	INT	INT	INT
等级	蓝色品质金币	蓝色品质光元素	紫色品质金币	紫色品质光元素	橙色品质金币	橙色品质光元素	红色品质金币	红色品质光元素
1	4000	40	6000	60	10000	100	14000	140
2	4800	40	7200	60	12000	100	16800	140
3	5760	40	8640	60	14400	100	20160	140
4	6912	40	10368	60	17280	100	24192	140
5	8294	40	12441	60	20735	100	29029	140
6	9952	80	14928	120	24880	200	34832	280
7	11942	80	17913	120	29855	200	41797	280
8	14330	80	21495	120	35825	200	50155	280
9	17196	80	25794	120	42990	200	60186	280
10	20634	80	30951	120	51585	200	72219	280
11	24760	120	37140	180	61900	300	86660	420
12	29712	120	44568	180	74280	300	103992	420
13	35654	120	53481	180	89135	300	124789	420
14	42784	120	64176	180	106960	300	149744	420
15	51340	120	77010	180	128350	300	179690	420
16	61608	160	92412	240	154020	400	215628	560
17	73928	160	110892	240	184820	400	258748	560
18	88712	160	133068	240	221780	400	310492	560
19	106454	160	159681	240	266135	400	372589	560
20	127744	160	191616	240	319360	400	447104	560
21	140518	200	210777	300	351295	500	491813	700
22	154568	200	231852	300	386420	500	540988	700
23	170024	200	255036	300	425060	500	595084	700
24	187026	200	280539	300	467565	500	654591	700
25	205728	200	308592	300	514320	500	720048	700
26	226300	280	339450	420	565750	700	792050	980
27	248930	280	373395	420	622325	700	871255	980
28	273822	280	410733	420	684555	700	958377	980
29	301204	280	451806	420	753010	700	1054214	980
30	331324	280	496986	420	828310	700	1159634	980
31	364456	360	546684	540	911140	900	1275596	1260
32	400900	360	601350	540	1002250	900	1403150	1260
33	440990	360	661485	540	1102475	900	1543465	1260
34	485088	360	727632	540	1212720	900	1697808	1260
35	533596	360	800394	540	1333990	900	1867586	1260
36	586954	440	880431	660	1467385	1100	2054339	1540
37	645648	440	968472	660	1614120	1100	2259768	1540
38	710212	440	1065318	660	1775530	1100	2485742	1540
39	781232	440	1171848	660	1953080	1100	2734312	1540
40	859354	440	1289031	660	2148385	1100	3007739	1540
41	902320	520	1353480	780	2255800	1300	3158120	1820
42	947436	520	1421154	780	2368590	1300	3316026	1820
43	994806	520	1492209	780	2487015	1300	3481821	1820
44	1044546	520	1566819	780	2611365	1300	3655911	1820
45	1096772	520	1645158	780	2741930	1300	3838702	1820
46	1151610	600	1727415	900	2879025	1500	4030635	2100
47	1209190	600	1813785	900	3022975	1500	4232165	2100
48	1269648	600	1904472	900	3174120	1500	4443768	2100
49	1333130	600	1999695	900	3332825	1500	4665955	2100
50	1399786	600	2099679	900	3499465	1500	4899251	2100
51	1469774	800	2204661	1200	3674435	2000	5144209	2800
52	1543262	800	2314893	1200	3858155	2000	5401417	2800
53	1620424	800	2430636	1200	4051060	2000	5671484	2800
54	1701444	800	2552166	1200	4253610	2000	5955054	2800
55	1786516	800	2679774	1200	4466290	2000	6252806	2800
56	1875840	1000	2813760	1500	4689600	2500	6565440	3500
57	1969632	1000	2954448	1500	4924080	2500	6893712	3500
58	2068112	1000	3102168	1500	5170280	2500	7238392	3500
59	2171516	1000	3257274	1500	5428790	2500	7600306	3500
60	2280090	1000	3420135	1500	5700225	2500	7980315	3500
61	2325690	1200	3488535	1800	5814225	3000	8139915	4200
62	2372202	1200	3558303	1800	5930505	3000	8302707	4200
63	2419646	1200	3629469	1800	6049115	3000	8468761	4200
64	2468038	1200	3702057	1800	6170095	3000	8638133	4200
65	2517398	1200	3776097	1800	6293495	3000	8810893	4200
66	2567744	1400	3851616	2100	6419360	3500	8987104	4900
67	2619098	1400	3928647	2100	6547745	3500	9166843	4900
68	2671478	1400	4007217	2100	6678695	3500	9350173	4900
69	2724906	1400	4087359	2100	6812265	3500	9537171	4900
70	2779404	1400	4169106	2100	6948510	3500	9727914	4900
71	2834992	1800	4252488	2700	7087480	4500	9922472	6300
72	2891690	1800	4337535	2700	7229225	4500	10120915	6300
73	2949522	1800	4424283	2700	7373805	4500	10323327	6300
74	3008512	1800	4512768	2700	7521280	4500	10529792	6300
75	3068682	1800	4603023	2700	7671705	4500	10740387	6300
76	3130054	2200	4695081	3300	7825135	5500	10955189	7700
77	3192654	2200	4788981	3300	7981635	5500	11174289	7700
78	3256506	2200	4884759	3300	8141265	5500	11397771	7700
79	3321636	2200	4982454	3300	8304090	5500	11625726	7700
80	3388068	2200	5082102	3300	8470170	5500	11858238	7700
81	3455828	2600	5183742	3900	8639570	6500	12095398	9100
82	3524944	2600	5287416	3900	8812360	6500	12337304	9100
83	3595442	2600	5393163	3900	8988605	6500	12584047	9100
84	3667350	2600	5501025	3900	9168375	6500	12835725	9100
85	3740696	2600	5611044	3900	9351740	6500	13092436	9100
86	3815508	3000	5723262	4500	9538770	7500	13354278	10500
87	3891818	3000	5837727	4500	9729545	7500	13621363	10500
88	3969654	3000	5954481	4500	9924135	7500	13893789	10500
89	4049046	3000	6073569	4500	10122615	7500	14171661	10500
90	4130026	3000	6195039	4500	10325065	7500	14455091	10500
91	4212626	3500	6318939	5250	10531565	8750	14744191	12250
92	4296878	3500	6445317	5250	10742195	8750	15039073	12250
93	4382814	3500	6574221	5250	10957035	8750	15339849	12250
94	4470470	3500	6705705	5250	11176175	8750	15646645	12250
95	4559878	3500	6839817	5250	11399695	8750	15959573	12250
96	4651074	4000	6976611	6000	11627685	10000	16278759	14000
97	4744094	4000	7116141	6000	11860235	10000	16604329	14000
98	4838974	4000	7258461	6000	12097435	10000	16936409	14000
99	4935752	4000	7403628	6000	12339380	10000	17275132	14000
100	5034466	4000	7551699	6000	12586165	10000	17620631	14000
