INT	STR	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
index	关卡名	代号	怪物id1	小怪1	怪物id2	小怪2	怪物id3	小怪3	怪物id4	小怪4	基础贡献	贡献上限	击杀贡献	军团经验	type	value1	value2	value3	value4	value5	value6	type	value1	value2	value3	value4	value5	value6	type	value1	value2	value3	value4	value5	value6	type	value1	value2	value3	value4	value5	value6	首次type	value1	value2	value3	首次type	value1	value2	value3	首次type	value1	value2	value3	level
1	第1关 - 炼狱	t_guild_mission_name_1	60010011	60010012	60010021	60010022	60010031	60010032	60010041	60010042	190	210	100	1000	1	1	35000	70000	140000	230000	460000	2	50090001	6	12	24	40	80	2	50070001	6	12	24	40	80	2	50100001	6	12	24	40	80	1	10	2000	0	1	1	50000	0	2	50090001	100	0	
2	第2关 - 波动	t_guild_mission_name_2	60020011	60020012	60020021	60020022	60020031	60020032	60020041	60020042	210	230	110	1100	1	1	40000	80000	160000	260000	520000	2	50090001	7	14	28	40	80	2	50070001	7	14	28	40	80	2	50100001	7	14	28	40	80	1	10	2500	0	1	1	100000	0	2	50100001	110	0	
3	第3关 - 乱世	t_guild_mission_name_3	60030011	60030012	60030021	60030022	60030031	60030032	60030041	60030042	230	250	120	1200	1	1	45000	90000	180000	300000	600000	2	50090001	8	16	32	50	100	2	50070001	8	16	32	50	100	2	50100001	8	16	32	50	100	1	10	3000	0	1	1	150000	0	2	50090001	120	0	
4	第4关 - 私运	t_guild_mission_name_4	60040011	60040012	60040021	60040022	60040031	60040032	60040041	60040042	250	270	130	1300	1	1	50000	100000	200000	330000	660000	2	50090001	9	18	36	60	120	2	50070001	9	18	36	60	120	2	50100001	9	18	36	60	120	1	10	3500	0	1	1	200000	0	2	50100001	130	0	
5	第5关 - 革命	t_guild_mission_name_5	60050011	60050012	60050021	60050022	60050031	60050032	60050041	60050042	270	290	140	1400	1	1	55000	110000	220000	360000	720000	2	50090001	10	20	40	60	120	2	50070001	10	20	40	60	120	2	50100001	10	20	40	60	120	1	10	4000	0	1	1	250000	0	2	50090001	140	0	
6	第6关 - 封锁	t_guild_mission_name_6	60060011	60060012	60060021	60060022	60060031	60060032	60060041	60060042	290	310	150	1500	1	1	60000	120000	240000	400000	800000	2	50090001	11	22	44	70	140	2	50070001	11	22	44	70	140	2	50100001	11	22	44	70	140	1	10	4500	0	1	1	300000	0	2	50100001	150	0	
7	第7关 - 冥界	t_guild_mission_name_7	60070011	60070012	60070021	60070022	60070031	60070032	60070041	60070042	310	330	160	1600	1	1	65000	130000	260000	430000	860000	2	50090001	12	24	48	80	160	2	50070001	12	24	48	80	160	2	50100001	12	24	48	80	160	1	10	5000	0	1	1	350000	0	2	50090001	160	0	
8	第8关 - 神域	t_guild_mission_name_8	60080011	60080012	60080021	60080022	60080031	60080032	60080041	60080042	330	350	170	1700	1	1	70000	140000	280000	460000	920000	2	50090001	13	26	52	80	160	2	50070001	13	26	52	80	160	2	50100001	13	26	52	80	160	1	10	5500	0	1	1	400000	0	2	50100001	170	0	
9	第9关 - 结界	t_guild_mission_name_9	60090011	60090012	60090021	60090022	60090031	60090032	60090041	60090042	350	370	180	1800	1	1	75000	150000	300000	500000	1000000	2	50090001	14	28	56	90	180	2	50070001	14	28	56	90	180	2	50100001	14	28	56	90	180	1	10	6000	0	1	1	450000	0	2	50090001	180	0	
10	第10关 - 秘境	t_guild_mission_name_10	60100011	60100012	60100021	60100022	60100031	60100032	60100041	60100042	370	390	190	1900	1	1	80000	160000	320000	530000	1060000	2	50090001	15	30	60	100	200	2	50070001	15	30	60	100	200	2	50100001	15	30	60	100	200	1	10	6500	0	1	1	500000	0	2	50100001	190	0	
11	第11关 - 镜像	t_guild_mission_name_11	60110011	60110012	60110021	60110022	60110031	60110032	60110041	60110042	390	410	200	2000	1	1	85000	170000	340000	560000	1120000	2	50090001	16	32	64	100	200	2	50070001	16	32	64	100	200	2	50100001	16	32	64	100	200	1	10	7000	0	1	1	550000	0	2	50090001	200	0	
