INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	type	value1	value2	value3	贡献值	红色伙伴之力	购买次数	公会等级
100100	初级军团箱	2	10010051	1	0	250		5	1
100200	中级军团箱	2	10010052	1	0	500		5	2
100300	勇者勋章	2	40040001	50	0	500		10	2
100400	高级军团箱	2	10010053	1	0	1000		5	3
100500	能力水晶	2	50090001	30	0	3000		5	3
100600	队形强化装置	2	50140001	50	0	1500		10	3
100700	4星伙伴碎片箱	2	10010022	1	0	400		10	4
200202	斗人碎片	2	30010202	1	0	250		999	4
200206	zero碎片	2	30010206	1	0	250		999	4
200213	奈亚酱碎片	2	30010213	1	0	300		999	5
200215	紫妈碎片	2	30010215	1	0	300		999	5
200403	一卡螺丝碎片	2	30010403	1	0	300		999	5
200404	火女碎片	2	30010404	1	0	300		999	5
100900	光元素	2	50150001	100	0	7500		5	6
101000	原力	1	7	20000	0	500		10	6
101100	红色伙伴之力	2	50110001	1	0	500		10	6
200400	骑士女皇碎片	2	30010400	3	0	800	1	5	7
