INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	格子	等级	type	value1	value2	value3	钻石	rate	刷新个数	折扣
100201	明日少尉碎片	1		2	30010201	10	0	200	1000	5	8
100202	斗人碎片	1		2	30010202	10	0	200	1000	5	8
100203	炮姐碎片	1		2	30010203	10	0	200	1000	5	8
100204	黑色射手碎片	1		2	30010204	10	0	200	1000	5	8
100205	波波利碎片	1		2	30010205	10	0	200	1000	5	8
100206	zero碎片	1		2	30010206	10	0	200	1000	5	8
100207	妖妄之梦碎片	1		2	30010207	10	0	200	1000	5	8
100208	幽灵公主碎片	1		2	30010208	10	0	200	1000	5	8
100209	红白碎片	1		2	30010209	10	0	200	1000	5	8
100211	C.C碎片	1		2	30010211	10	0	200	1000	5	8
100212	初音战士碎片	1		2	30010212	10	0	200	1000	5	8
100213	奈亚酱碎片	1		2	30010213	10	0	240	1000	5	8
100214	黑子碎片	1		2	30010214	10	0	240	1000	5	8
100215	紫妈碎片	1		2	30010215	10	0	240	1000	5	8
100401	灼眼公主碎片	1		2	30010401	10	0	240	1000	5	8
100402	魔剑士碎片	1		2	30010402	10	0	240	1000	5	8
100403	一卡螺丝碎片	1		2	30010403	10	0	240	1000	5	8
100404	火女碎片	1		2	30010404	10	0	288	1000	5	8
100400	骑士女皇碎片	1	4	2	30010400	10	0	400	10000	5	8
100500	阿丝奈碎片	1	4	2	30010500	10	0	400	10000	5	8
100501	狂姗碎片	1	4	2	30010501	10	0	400	10000	5	8
200100	勇者勋章	2		2	40040001	600	0	300	1000	3	5
200200	装备改造石	2		2	50010001	100	0	500	1000	3	5
200300	精炼金属	2		2	50070001	200	0	500	1000	3	5
200400	能力水晶	2		2	50090001	40	0	300	1000	3	5
200500	神之金属	2		2	50100001	200	0	500	1000	3	5
200600	勇者勋章	2		2	40040001	900	0	450	1000	3	5
200700	装备改造石	2		2	50010001	150	0	750	1000	3	5
200800	精炼金属	2		2	50070001	300	0	750	1000	3	5
200900	能力水晶	2		2	50090001	60	0	450	1000	3	5
201000	神之金属	2		2	50100001	300	0	750	1000	3	5
201100	红色伙伴之力	2	4	2	50110001	10	0	450	1000	3	9
201200	红色装备之力	2	4	2	50120001	10	0	450	1000	3	9
