INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
排名1	排名2	1军团2个人	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
1	1	1	1	10	40000	0	1	1	10000000	0	1	5	3000	0	2	30010504	50	0
2	2	1	1	10	28000	0	1	1	7000000	0	1	5	2000	0				
3	5	1	1	10	23000	0	1	1	6000000	0	1	5	1800	0				
6	10	1	1	10	18000	0	1	1	5000000	0	1	5	1500	0				
11	20	1	1	10	13000	0	1	1	4000000	0	1	5	1000	0				
1	1	2	1	10	50000	0	2	50100001	15000	0	2	10010064	5	0	2	30010504	100	0
2	2	2	1	10	35000	0	2	50100001	10000	0	2	10010064	4	0				
3	5	2	1	10	30000	0	2	50100001	9000	0	2	10010064	3	0				
6	10	2	1	10	25000	0	2	50100001	8000	0	2	10010064	2	0				
11	20	2	1	10	20000	0	2	50100001	7000	0	2	10010064	2	0				
21	50	2	1	10	15000	0	2	50100001	6000	0	2	10010064	2	0				
51	70	2	1	10	10000	0	2	50100001	5000	0	2	10010064	1	0				
71	100	2	1	10	5000	0	2	50100001	4000	0	2	10010064	1	0				
