INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	name	描述	类型 1财神 2手气	达成条件	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
10001	发放钻石数量达到5000	t_hongbao_target_10001	1	5000	1	2	500	0								
10002	发放钻石数量达到10000	t_hongbao_target_10002	1	10000	1	2	500	0								
10003	发放钻石数量达到20000	t_hongbao_target_10003	1	20000	1	2	1000	0								
10004	发放钻石数量达到40000	t_hongbao_target_10004	1	40000	1	2	2000	0								
10005	发放钻石数量达到60000	t_hongbao_target_10005	1	60000	1	2	2000	0								
10006	发放钻石数量达到80000	t_hongbao_target_10006	1	80000	1	2	2000	0								
10007	发放钻石数量达到100000	t_hongbao_target_10007	1	100000	8	2003	0	0								
10008	发放钻石数量达到120000	t_hongbao_target_10008	1	120000	1	2	2000	0								
10009	发放钻石数量达到140000	t_hongbao_target_10009	1	140000	1	2	2000	0								
10010	发放钻石数量达到160000	t_hongbao_target_10010	1	160000	1	2	2000	0								
10011	发放钻石数量达到180000	t_hongbao_target_10011	1	180000	1	2	2000	0								
10012	发放钻石数量达到200000	t_hongbao_target_10012	1	200000	1	2	2000	0								
10013	发放钻石数量达到230000	t_hongbao_target_10013	1	230000	8	2002	0	0								
10014	发放钻石数量达到260000	t_hongbao_target_10014	1	260000	1	2	3000	0								
10015	发放钻石数量达到290000	t_hongbao_target_10015	1	290000	1	2	3000	0								
10016	发放钻石数量达到320000	t_hongbao_target_10016	1	320000	1	2	3000	0								
10017	发放钻石数量达到350000	t_hongbao_target_10017	1	350000	1	2	5000	0								
10018	发放钻石数量达到400000	t_hongbao_target_10018	1	400000	1	2	5000	0								
10019	发放钻石数量达到450000	t_hongbao_target_10019	1	450000	1	2	5000	0								
10020	发放钻石数量达到500000	t_hongbao_target_10020	1	500000	8	2001	0	0								
20001	抢到钻石数量达500	t_hongbao_target_20001	2	500	1	1	200000	0	2	10010002	1	0	2	10010007	1	0
20002	抢到钻石数量达1000	t_hongbao_target_20002	2	1000	1	1	200000	0	2	10010002	1	0	2	10010007	1	0
20003	抢到钻石数量达2000	t_hongbao_target_20003	2	2000	1	1	400000	0	2	10010002	1	0	2	10010007	1	0
20004	抢到钻石数量达4000	t_hongbao_target_20004	2	4000	1	1	400000	0	2	10010002	1	0	2	10010007	1	0
20005	抢到钻石数量达6000	t_hongbao_target_20005	2	6000	1	1	800000	0	2	10010002	1	0	2	10010007	1	0
20006	抢到钻石数量达8000	t_hongbao_target_20006	2	8000	1	1	800000	0	2	10010002	1	0	2	10010007	1	0
20007	抢到钻石数量达10000	t_hongbao_target_20007	2	10000	1	1	1000000	0	2	10010002	2	0	2	10010007	2	0
20008	抢到钻石数量达12000	t_hongbao_target_20008	2	12000	1	1	1000000	0	2	10010002	2	0	2	10010007	2	0
20009	抢到钻石数量达14000	t_hongbao_target_20009	2	14000	1	1	1500000	0	2	10010002	2	0	2	10010007	2	0
20010	抢到钻石数量达16000	t_hongbao_target_20010	2	16000	1	1	1500000	0	2	10010002	2	0	2	10010007	2	0
20011	抢到钻石数量达18000	t_hongbao_target_20011	2	18000	1	1	2000000	0	2	10010002	2	0	2	10010007	2	0
20012	抢到钻石数量达20000	t_hongbao_target_20012	2	20000	8	3003	0	0								
20013	抢到钻石数量达25000	t_hongbao_target_20013	2	25000	1	1	2500000	0	2	10010002	3	0	2	10010007	3	0
20014	抢到钻石数量达30000	t_hongbao_target_20014	2	30000	1	1	2500000	0	2	10010002	3	0	2	10010007	3	0
20015	抢到钻石数量达35000	t_hongbao_target_20015	2	35000	1	1	3000000	0	2	10010002	3	0	2	10010007	3	0
20016	抢到钻石数量达40000	t_hongbao_target_20016	2	40000	1	1	3000000	0	2	10010002	3	0	2	10010007	3	0
20017	抢到钻石数量达50000	t_hongbao_target_20017	2	50000	8	3002	0	0								
20018	抢到钻石数量达60000	t_hongbao_target_20018	2	60000	1	1	4000000	0	2	10010002	5	0	2	10010007	5	0
20019	抢到钻石数量达80000	t_hongbao_target_20019	2	80000	1	1	5000000	0	2	10010002	5	0	2	10010007	5	0
20020	抢到钻石数量达100000	t_hongbao_target_20020	2	100000	8	3001	0	0								
