INT	INT	INT	INT
id	ªÿ“‰÷µ	attr	value
1001	25	20	1
1002	50	21	1
1003	75	20	1
1004	100	21	1
1005	125	20	1
1006	150	21	1
1007	175	20	1
1008	200	21	1
1009	225	20	1
1010	250	21	1
1011	275	20	1
1012	300	21	1
1013	325	20	1
1014	350	21	1
1015	375	20	1
1016	400	21	1
1017	425	20	1
1018	450	21	1
1019	475	20	1
1020	500	21	1
1021	525	20	1
1022	550	21	1
1023	575	20	1
1024	600	21	1
1025	625	20	1
1026	650	21	1
1027	675	20	1
1028	700	21	1
1029	725	20	1
1030	750	21	1
1031	775	20	1
1032	800	21	1
1033	825	20	1
1034	850	21	1
1035	875	20	1
1036	900	21	1
1037	925	20	1
1038	950	21	1
1039	975	20	1
1040	1000	21	1
