INT	STRING	INT	INT	INT	INT	INT	INT	INT
id	名字	分页	每日限购	type	value1	value2	value3	幸运点
1001	回忆录·女武神	1	5	2	90010024	1	0	100
1002	回忆录·机甲将军	1	5	2	90010027	1	0	100
1003	回忆录·机械女仆	1	5	2	90010035	1	0	100
1004	回忆录·黄金神王	1	5	2	90010036	1	0	100
1005	回忆录·青鬼王	1	5	2	90010042	1	0	100
1006	回忆录·夜魇	1	5	2	90010049	1	0	100
1007	回忆录·月兔	1	5	2	90010052	1	0	100
1008	回忆录·欲望君主	1	5	2	90010053	1	0	100
2001	回忆录·斗人	2	3	2	90010202	1	0	600
2002	回忆录·炮姐	2	3	2	90010203	1	0	600
2003	回忆录·黑色射手	2	3	2	90010204	1	0	600
2004	回忆录·波波利	2	3	2	90010205	1	0	600
2005	回忆录·zero	2	3	2	90010206	1	0	600
2006	回忆录·妖妄之梦	2	3	2	90010207	1	0	600
2007	回忆录·幽灵公主	2	3	2	90010208	1	0	600
2008	回忆录·红白	2	3	2	90010209	1	0	600
3001	回忆录·骑士女皇	3	1	2	90010400	1	0	4000
3002	回忆录·阿丝奈	3	1	2	90010500	1	0	4000
3003	回忆录·狂三	3	1	2	90010501	1	0	4000
3004	回忆录·赤色恶魔	3	1	2	90010502	1	0	4000
3005	回忆录·大姐头	3	1	2	90010503	1	0	4000
3006	回忆录·歌姬	3	1	2	90010504	1	0	4000
