INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	格子	type	value1	value2	value3	权重	货币2是钻石 21是回忆结晶	价格
1001	紫色回忆录	1	2	10010082	1	0	100	2	200
2001	橙色回忆录	2	2	10010083	1	0	100	2	1000
3001	忆·强袭天使	3	2	90010006	1	0	400	2	100
3002	忆·炮击天使	3	2	90010007	1	0	400	2	100
3003	忆·斩击天使	3	2	90010008	1	0	400	2	100
3004	忆·女武神	3	2	90010024	1	0	400	2	100
3005	忆·机甲将军	3	2	90010027	1	0	400	2	100
3006	忆·机械女仆	3	2	90010035	1	0	400	2	100
3007	忆·黄金神王	3	2	90010036	1	0	400	2	100
3008	忆·青鬼王	3	2	90010042	1	0	400	2	100
3009	忆·夜魇	3	2	90010049	1	0	400	2	100
3010	忆·月兔	3	2	90010052	1	0	400	2	100
3011	忆·欲望君主	3	2	90010053	1	0	400	2	100
3012	忆·妖狐少女	3	2	90010055	1	0	400	2	100
3013	忆·赤鬼王	3	2	90010057	1	0	400	2	100
3014	忆·白蛇妖	3	2	90010059	1	0	400	2	100
3015	忆·雪女	3	2	90010062	1	0	400	2	100
3016	忆·九尾妖狐	3	2	90010066	1	0	400	2	100
3017	忆·鬼巫女	3	2	90010067	1	0	400	2	100
3018	忆·座敷童子	3	2	90010069	1	0	400	2	100
3019	忆·穿越者	3	2	90010100	1	0	400	2	100
3020	忆·钢妹	3	2	90010101	1	0	400	2	100
3021	忆·明日少尉	3	2	90010201	1	0	100	2	600
3022	忆·斗人	3	2	90010202	1	0	100	2	600
3023	忆·炮姐	3	2	90010203	1	0	100	2	600
3024	忆·黑色射手	3	2	90010204	1	0	100	2	600
3025	忆·波波利	3	2	90010205	1	0	100	2	600
3026	忆·zero	3	2	90010206	1	0	100	2	600
3027	忆·妖妄之梦	3	2	90010207	1	0	100	2	600
3028	忆·幽灵公主	3	2	90010208	1	0	100	2	600
3029	忆·红白	3	2	90010209	1	0	100	2	600
3030	忆·C.C	3	2	90010211	1	0	100	2	600
3031	忆·初音战士	3	2	90010212	1	0	100	2	600
3032	忆·奈亚酱	3	2	90010213	1	0	100	2	600
3033	忆·黑子	3	2	90010214	1	0	100	2	600
3034	忆·紫妈	3	2	90010215	1	0	100	2	600
3035	忆·灼眼公主	3	2	90010401	1	0	100	2	600
3036	忆·魔剑士	3	2	90010402	1	0	100	2	600
3037	忆·一卡螺丝	3	2	90010403	1	0	100	2	600
3038	忆·火女	3	2	90010404	1	0	100	2	600
3039	忆·女仆长	3	2	90010405	1	0	100	2	600
3040	忆·双枪少女	3	2	90010406	1	0	100	2	600
3041	忆·骑士女皇	3	2	90010400	1	0	100	2	4000
3042	忆·阿丝奈	3	2	90010500	1	0	100	2	4000
3043	忆·狂姗	3	2	90010501	1	0	100	2	4000
3044	忆·召唤师	3	2	90010502	1	0	100	2	4000
3045	忆·三竹立	3	2	90010503	1	0	100	2	4000
3046	忆·蝴蝶	3	2	90010504	1	0	100	2	4000
4001	忆·强袭天使	4	2	90010006	1	0	400	21	100
4002	忆·炮击天使	4	2	90010007	1	0	400	21	100
4003	忆·斩击天使	4	2	90010008	1	0	400	21	100
4004	忆·女武神	4	2	90010024	1	0	400	21	100
4005	忆·机甲将军	4	2	90010027	1	0	400	21	100
4006	忆·机械女仆	4	2	90010035	1	0	400	21	100
4007	忆·黄金神王	4	2	90010036	1	0	400	21	100
4008	忆·青鬼王	4	2	90010042	1	0	400	21	100
4009	忆·夜魇	4	2	90010049	1	0	400	21	100
4010	忆·月兔	4	2	90010052	1	0	400	21	100
4011	忆·欲望君主	4	2	90010053	1	0	400	21	100
4012	忆·妖狐少女	4	2	90010055	1	0	400	21	100
4013	忆·赤鬼王	4	2	90010057	1	0	400	21	100
4014	忆·白蛇妖	4	2	90010059	1	0	400	21	100
4015	忆·雪女	4	2	90010062	1	0	400	21	100
4016	忆·九尾妖狐	4	2	90010066	1	0	400	21	100
4017	忆·鬼巫女	4	2	90010067	1	0	400	21	100
4018	忆·座敷童子	4	2	90010069	1	0	400	21	100
4019	忆·穿越者	4	2	90010100	1	0	400	21	100
4020	忆·钢妹	4	2	90010101	1	0	400	21	100
4021	忆·明日少尉	4	2	90010201	1	0	100	21	600
4022	忆·斗人	4	2	90010202	1	0	100	21	600
4023	忆·炮姐	4	2	90010203	1	0	100	21	600
4024	忆·黑色射手	4	2	90010204	1	0	100	21	600
4025	忆·波波利	4	2	90010205	1	0	100	21	600
4026	忆·zero	4	2	90010206	1	0	100	21	600
4027	忆·妖妄之梦	4	2	90010207	1	0	100	21	600
4028	忆·幽灵公主	4	2	90010208	1	0	100	21	600
4029	忆·红白	4	2	90010209	1	0	100	21	600
4030	忆·C.C	4	2	90010211	1	0	100	21	600
4031	忆·初音战士	4	2	90010212	1	0	100	21	600
4032	忆·奈亚酱	4	2	90010213	1	0	100	21	600
4033	忆·黑子	4	2	90010214	1	0	100	21	600
4034	忆·紫妈	4	2	90010215	1	0	100	21	600
