INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
id	name	代号	type	des	开始时间1	开始时间1	结束时间1	结束时间1	开始时间2	开始时间2	结束时间2	结束时间2	描述	ICON
6	竞技场	t_huodong_name_6		t_huodong_des_6									t_huodong_desc_6	0
9	夺宝奇兵	t_huodong_sub_name_90001		t_huodong_des_9									t_huodong_desc_9	1
5	星河秘境	t_huodong_name_5		t_huodong_des_5									t_huodong_desc_5	2
2	太空运输	t_huodong_name_2		t_huodong_des_2									t_huodong_desc_2	3
4	星际宝藏	t_huodong_name_4		t_huodong_des_4									t_huodong_desc_4	4
1	魔王讨伐战	t_huodong_name_1		t_huodong_des_1	12	0	24	0					t_huodong_desc_1	5
3	援救伙伴	t_huodong_name_3		t_huodong_des_3									t_huodong_desc_3	6
10	猎人大会	t_huodong_name_10		t_huodong_des_10									t_huodong_desc_10	7
11	决战冰原	t_huodong_name_11		t_huodong_des_11									t_huodong_desc_11	8
12	大师联赛	t_huodong_name_12		t_huodong_des_12									t_huodong_desc_12	9
