INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
id	名字	代号	颜色 颜色 0白 1绿 2蓝 3紫 4橙 5红 6金	type	icon	描述	描述	可使用等级	预留字段1	预留字段2	预留字段3	预留字段4	出售价格	是否可使用	是否弹出使用	钻石价格	产出 1伙伴商店 2援救伙伴 3军团商店 4装备商店 5商城-装备箱子 6竞技场 7夺宝奇兵 8商城-饰品箱子 9商城 10魔王商店 11星河秘境 12读副本表 13主线副本 14星际宝藏 15猎人商店 16命运指针 17命运占卜 18回忆商店 19幸运商店 20精英副本 21冰原商店 22宠物商店 23大师联赛 24物品合成 25军团战
10010001	小型体力药水	t_item_name_10010001	1	1001	icon_dj_ysl	打开后恢复10点体力	t_item_desc_10010001		1				10	2		10	
10010002	体力药水	t_item_name_10010002	4	1001	icon_dj_ysz	打开后恢复30点体力	t_item_desc_10010002		2				10	2		25	9
10010003	大型体力药水	t_item_name_10010003	3	1001	icon_dj_ysd	打开后恢复60点体力	t_item_desc_10010003		3				10	2		50	
10010007	能量药水	t_item_name_10010007	4	1001	jlystb_icon	打开后恢复5点能量	t_item_desc_10010007		7				10	2		25	9
10010009	魔王邀请函	t_item_name_10010009	4	1001	mwyqkd_001	来自魔王的地狱之旅邀请，使用后可以增加讨伐魔王的次数	t_item_desc_10010009		9				10	2		10	9
10010011	新手大礼包	t_item_name_10010011	0	1001	icon_dj_nlka	新手大福利，打开可获得价值999钻石的奖励	t_item_desc_10010011		11				10	1	1		
10010021	紫色伙伴碎片箱	t_item_name_10010021	3	1001	icon_zssjxz_hb	打开后随机获得紫色伙伴基因	t_item_desc_10010021		21	1			10	1		30	
10010022	橙色伙伴碎片箱	t_item_name_10010022	4	1001	icon_cssjxz_hb	打开后随机获得橙色伙伴基因	t_item_desc_10010022		22	1			10	1		40	3
10010031	绿色装备箱	t_item_name_10010031	1	1001	icon_zbbx_lv	打开后随机获得绿色装备碎片，也有小概率获得整件绿色装备	t_item_desc_10010031		31	1			10	1			
10010032	蓝色装备箱	t_item_name_10010032	2	1001	icon_lssjxz_z	打开后随机获得绿色、蓝色装备碎片，也有小概率获得整件蓝色装备	t_item_desc_10010032		32	1			10	1			
10010033	紫色装备箱	t_item_name_10010033	3	1001	icon_zssjxz_s	打开后随机获得蓝色、紫色装备碎片，也有小概率获得整件紫色装备	t_item_desc_10010033		33	1			10	1			
10010034	橙色装备箱	t_item_name_10010034	4	1001	icon_cssjxz_z	打开后随机获得紫色、橙色装备碎片，也有小概率获得整件橙色装备	t_item_desc_10010034		34	1			10	1		150	9
10010051	初级军团箱	t_item_name_10010051	1	1001	icon_dj_nlkb	打开后随机获得精炼金属、蓝色、紫色装备碎片、蓝色饰品碎片，也有小概率获得整件紫色装备	t_item_desc_10010051		51	1			10	1		30	
10010052	中级军团箱	t_item_name_10010052	2	1001	icon_dj_nlkc	打开后随机获得精炼金属、紫色、橙色装备碎片、紫色饰品碎片，也有小概率获得整件紫色装备	t_item_desc_10010052		52	1			10	1		50	
10010053	高级军团箱	t_item_name_10010053	3	1001	icon_dj_nlkd	打开后随机获得精炼金属、紫色、橙色装备碎片、紫色、橙色饰品碎片，也有小概率获得整件橙色装备	t_item_desc_10010053		53	1			10	1		100	
10010061	橙色饰品箱	t_item_name_10010061	4	1001	icon_cssjxz_s	打开后随机获得蓝色、紫色、橙色饰品碎片	t_item_desc_10010061		61	1			10	1		120	9
10010062	紫晶石包	t_item_name_10010062	4	1001	icon_bwbx_zi	打开后随机获得5个紫晶石	t_item_desc_10010062		62	1			10	1		1000	
10010063	橙色饰品礼包	t_item_name_10010063	4	1001	icon_csgdlb_s	打开后可以从荣耀之链/荣耀之戒/荣耀徽章/荣耀护符中任选一个	t_item_desc_10010063		63	2			10	1		1200	
10010064	红色饰品礼包	t_item_name_10010064	5	1001	icon_hsgdlb_s	打开后可以从明光之链/明光之戒/明光徽章/明光护符中任选一个	t_item_desc_10010064		64	2			10	1		2500	
10010065	红色装备礼包	t_item_name_10010065	5	1001	icon_hsgdlb_z	打开后可以从大天使之刃x60/大天使战甲x60/大天使护手x60/大天使战靴x60中任选一个	t_item_desc_10010065		65	2			10	1		15000	
10010066	橙色伙伴礼包	t_item_name_10010066	4	1001	icon_csgdlb_h	打开后可以从橙色物理伙伴礼包/橙色魔法伙伴礼包/橙色防卫伙伴礼包/橙色治疗伙伴礼包中任选一个	t_item_desc_10010066		66	2			10	1		2000	
10010067	红色伙伴礼包	t_item_name_10010067	5	1001	icon_hsgdlb_h	打开后可以从骑士女皇碎片x150/阿丝奈碎片x150/狂姗碎片x150/召唤师碎片x150/三竹立碎片x150中任选一个	t_item_desc_10010067		67	2			10	1		7500	
10010068	橙色高级伙伴礼包	t_item_name_10010068	4	1001	icon_csgdlb_h	打开后可以从橙色铁卫伙伴礼包/橙色锋芒伙伴礼包/橙色睿智伙伴礼包中任选一个	t_item_desc_10010068		68	2			10	1		2400	
10010069	橙色物理伙伴礼包	t_item_name_10010069	4	1001	icon_csgdlb_h	打开后可以从黑色射手碎片x80/波波利碎片x80/妖妄之梦碎片x80/初音战士碎片x80中任选一个	t_item_desc_10010069		69	2			10	1		2000	
10010070	橙色魔法伙伴礼包	t_item_name_10010070	4	1001	icon_csgdlb_h	打开后可以从明日少尉碎片x80/炮姐碎片x80/红白碎片x80中任选一个	t_item_desc_10010070		70	2			10	1		2000	
