INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	分页	type	合成物品	数量	type	材料1	数量	type	材料2	数量	type	材料3	数量
1	1	2	70010501	1	2	70010401	2	2	50120001	2			
2	1	2	70010501	1	2	70010402	2	2	50120001	2			
3	1	2	70010501	1	2	70010403	2	2	50120001	2			
4	1	2	70010501	1	2	70010404	2	2	50120001	2			
5	1	2	70010501	1	2	70010405	2	2	50120001	2			
6	1	2	70010501	1	2	70010406	2	2	50120001	2			
7	1	2	70020501	1	2	70020401	2	2	50120001	2			
8	1	2	70020501	1	2	70020402	2	2	50120001	2			
9	1	2	70020501	1	2	70020403	2	2	50120001	2			
10	1	2	70020501	1	2	70020404	2	2	50120001	2			
11	1	2	70020501	1	2	70020405	2	2	50120001	2			
12	1	2	70020501	1	2	70020406	2	2	50120001	2			
13	1	2	70030501	1	2	70030401	2	2	50120001	2			
14	1	2	70030501	1	2	70030402	2	2	50120001	2			
15	1	2	70030501	1	2	70030403	2	2	50120001	2			
16	1	2	70030501	1	2	70030404	2	2	50120001	2			
17	1	2	70030501	1	2	70030405	2	2	50120001	2			
18	1	2	70030501	1	2	70030406	2	2	50120001	2			
19	1	2	70040501	1	2	70040401	2	2	50120001	2			
20	1	2	70040501	1	2	70040402	2	2	50120001	2			
21	1	2	70040501	1	2	70040403	2	2	50120001	2			
22	1	2	70040501	1	2	70040404	2	2	50120001	2			
23	1	2	70040501	1	2	70040405	2	2	50120001	2			
24	1	2	70040501	1	2	70040406	2	2	50120001	2			
25	2	7	5001	0	2	80030002	6						
26	2	7	5002	0	2	80030002	6						
27	2	7	4001	0	2	80030001	6						
28	2	7	4002	0	2	80030001	6						
29	2	2	50150001	2000	2	80030001	1						
30	3	2	110030201	1	2	110030101	3						
31	3	2	110030202	1	2	110030102	3						
32	3	2	110030203	1	2	110030103	3						
33	3	2	110030204	1	2	110030104	3						
34	3	2	110030301	1	2	110030101	10	2	110030201	2			
35	3	2	110030302	1	2	110030102	10	2	110030202	2			
36	3	2	110030303	1	2	110030103	10	2	110030203	2			
37	3	2	110030304	1	2	110030104	10	2	110030204	2			
38	3	2	110030401	1	2	110030101	10	2	110030201	10	2	110030301	2
39	3	2	110030402	1	2	110030102	10	2	110030202	10	2	110030302	2
40	3	2	110030403	1	2	110030103	10	2	110030203	10	2	110030303	2
41	3	2	110030404	1	2	110030104	10	2	110030204	10	2	110030304	2
42	3	2	110030501	1	2	110030201	10	2	110030301	5	2	110030401	2
43	3	2	110030502	1	2	110030202	10	2	110030302	5	2	110030402	2
44	3	2	110030503	1	2	110030203	10	2	110030303	5	2	110030403	2
45	3	2	110030504	1	2	110030204	10	2	110030304	5	2	110030404	2
46	3	2	110030601	1	2	110030301	10	2	110030401	5	2	110030501	2
47	3	2	110030602	1	2	110030302	10	2	110030402	5	2	110030502	2
48	3	2	110030603	1	2	110030303	10	2	110030403	5	2	110030503	2
49	3	2	110030604	1	2	110030304	10	2	110030404	5	2	110030504	2
50	3	2	110030701	1	2	110030401	5	2	110030501	3	2	110030601	1
51	3	2	110030702	1	2	110030402	5	2	110030502	3	2	110030602	1
52	3	2	110030703	1	2	110030403	5	2	110030503	3	2	110030603	1
53	3	2	110030704	1	2	110030404	5	2	110030504	3	2	110030604	1
