INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	描述	代号	类型 1登入 2累计充值def1 3普通关卡到def1 4精英关卡def1 5等级def1 6 24件装备全部达到def1品质 7 24件装备全部强化到def1 8竞技场排名到def1 9拥有def1个def2品质以上的伙伴 10 6个伙伴全部突破到def1阶 11 最高成长突破到def1阶 12BOSS战最高伤害到def1 13BOSS战达到第def1名 14星河秘境重置def1次 15星河秘境排名到达def1 16 24件装备全部改造def1条属性 17 最高改造出def1品质的属性 18商店刷新def1次 19商店购买def1次 20星河秘境达到def1星 21全身24件都def1级宝石 22战斗力突破def1 23累计消费def1 100伙伴4选1 35合成def1个饰品 36合成def1个def2品质的饰品 37上阵def1个伙伴全部穿戴精炼def以上的装备 38穿戴的装备中最高精练等级到达def1级 39上阵def1个伙伴全部主动技能达到def2 40上阵6个伙伴最高主动技能达到def1 41魔王讨伐战累计伤害达到def1 42上阵def1个伙伴全部穿戴精炼def以上的装备饰品 43穿戴的饰品中最高精练等级到达def1级 51主线副本胜利def1次 52精英副本胜利def1次 53今日夺宝def1次 54竞技场胜利def1次 55单笔充值def1 300特价贩售	def1	def2	def3	def4	参考值	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
11001	今日登录赠送	t_kaifu_mubiao_desc_11001	1			0		1	1	2	100	0	2	10010002	1	0								
11002	累计充值100元	t_kaifu_mubiao_desc_11002	2	1000		0		1000	1	2	50	0	2	10010002	10	0								
11003	玩家等级达到32级	t_kaifu_mubiao_desc_11003	5	32		0		32	1	2	400	0												
11004	达到200000战斗力	t_kaifu_mubiao_desc_11004	22	200000		0		200000	1	2	400	0												
12001	通关主线第4章	t_kaifu_mubiao_desc_12001	3	4000		0		1	4	10101	0	0	4	20101	0	0								
12002	通关主线第6章	t_kaifu_mubiao_desc_12002	3	6000		0		1	2	10010002	2	0												
12003	通关主线第8章	t_kaifu_mubiao_desc_12003	3	8000		0		1	1	1	50000	0												
12004	通关主线第10章	t_kaifu_mubiao_desc_12004	3	10000		0		1	1	1	100000	0												
12005	通关主线第12章	t_kaifu_mubiao_desc_12005	3	12000		0		1	1	1	150000	0												
