STRING	STRING	STRING	STRING
代號	简体中文	繁體中文	English
1	留言板	留言板	Board
2	队  形	隊  形	Formation
3	攻破奖励	攻破獎勵	Reward
4	积分排行	積分排行	Ranking
5	查看战况	查看戰況	Info
6	攻破奖励在军团战期间内每天重置	攻破獎勵在軍團戰期間內每天重置	Occupation Reward resets daily during the Guild War
7	攻击战况	攻擊戰況	Offensive Information
8	防守战况	防守戰況	Defensive Information
9	成员战绩	成員戰績	Record
10	成员姓名	成員姓名	Member Name
11	今日战绩	今日戰績	Daily Score
12	个人总战绩	個人總戰績	My Score
13	我的排名	我的排名	My Ranking
14	挑战胜利可减少400点城防值，获得9999军团贡献，挑战的敌人战力越高，获得的个人战绩越高	挑戰勝利可減少400點城防值，獲得9999軍團貢獻，挑戰的敵人戰力越高，獲得的個人戰績越高	"A victory challenge can decrease 400 city health value and get 9999 Guild Exploit; the more powerful opponent you challenge, the higher personal record you get"
15	守军	守軍	Defenders
16	左据点	左據點	Left Stronghold
17	已攻取	已攻取	Occupied
18	右据点	右據點	Right Stronghold
19	主据点	主據點	Main Stronghold
20	司令部	司令部	Headquarters
21	军团总战绩：	軍團總戰績：	Guild Score:
22	个人总战绩：	個人總戰績：	My Score:
23	个人日战绩：	個人日戰績：	Daily Score:
24	城防值	城防值	City Health
25	战神殿	戰神殿	Temple of Ares
26	领取	領取	Claim
27	关闭	關閉	Close
28	保存	保存	Save
29	"您尚未进行保存,是否关闭？"	"您尚未進行保存,是否關閉？"	Unsaved files will be lost. Do you want to close?
30	提示	提示	Tips
31	确定	確定	OK
32	取消	取消	Cancel
33	一键布置	一鍵佈置	Quick Set
34	基地防守 	基地防守 	Base Defense
35	每轮军团战比赛时间为: 10 : 00 - 24 : 00	每輪軍團戰比賽時間為: 10 : 00 - 24 : 00	Available time of Guild War: 10 am ~ 12 am
36	军团战说明	軍團戰說明	Details of Guild War
