INT	INT	STRING	INT	INT	INT	INT
id	需要积分	名字	type	value1	value2	value3
1001	100	精炼金属	2	50070001	20	0
1002	200	队形强化装置	2	50140001	20	0
1003	500	红色伙伴之力	2	50110001	1	0
1004	800	漫游积分礼包	2	10030006	1	0
1005	1000	红色装备之力	2	50120001	1	0
1006	1500	精炼金属	2	50070001	20	0
1007	2000	漫游积分礼包	2	10030006	2	0
1008	2500	队形强化装置	2	50140001	40	0
1009	3500	红色伙伴之力	2	50110001	2	0
1010	4500	红色装备之力	2	50120001	2	0
1011	6000	漫游积分礼包	2	10030006	3	0
1012	8000	精炼金属	2	50070001	32	0
1013	10000	队形强化装置	2	50140001	50	0
1014	12000	红色伙伴之力	2	50110001	3	0
1015	15000	漫游积分礼包	2	10030006	4	0
1016	18000	红色装备之力	2	50120001	4	0
1017	21000	精炼金属	2	50070001	40	0
1018	24000	队形强化装置	2	50140001	70	0
1019	27000	红色伙伴之力	2	50110001	4	0
1020	30000	漫游积分礼包	2	10030006	5	0
1021	33000	红色装备之力	2	50120001	5	0
1022	36000	精炼金属	2	50070001	60	0
1023	39000	队形强化装置	2	50140001	100	0
1024	42000	红色伙伴之力	2	50110001	6	0
1025	45000	漫游积分礼包	2	10030006	6	0
