INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	代号	BOSS名	代号	res	流程号	精英流程号	role_id	image_text	star1	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3	star2	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3	star3	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
1	第1章 初次试炼	t_map_name_1	斗人	t_map_boss_name_2	bsx_dren	0	0	202	t_map_image_text_2	4	1	1	10000	0	1	2	30	0	2	40040001	50	0	1	7	20000	0	8	1	1	15000	0	1	2	60	0	2	40040001	100	0	1	7	20000	0	12	1	1	15000	0	1	2	90	0	2	40040001	150	0	2	10010007	1	0
2	第2章 电流波动	t_map_name_2	炮姐	t_map_boss_name_3	bsx_ybmq	1000	0	203	t_map_image_text_3	6	1	1	10000	0	1	2	31	0	2	40040001	50	0	1	7	20000	0	12	1	1	15000	0	1	2	61	0	2	40040001	100	0	1	7	20000	0	18	1	1	15000	0	1	2	91	0	2	40040001	150	0	2	10010007	1	0
3	第3章 机械之乱	t_map_name_3	黑色射手	t_map_boss_name_4	bsx_heiyan	2000	0	204	t_map_image_text_4	8	1	1	10000	0	1	2	32	0	2	40040001	50	0	1	7	20000	0	16	1	1	15000	0	1	2	62	0	2	40040001	100	0	1	7	20000	0	24	1	1	15000	0	1	2	92	0	2	40040001	150	0	2	10010007	1	0
4	第4章 肮脏交易	t_map_name_4	波波利	t_map_boss_name_5	bsx_lbli	3000	0	205	t_map_image_text_5	10	1	1	10000	0	1	2	33	0	2	40040001	50	0	1	7	20000	0	20	1	1	15000	0	1	2	63	0	2	40040001	100	0	1	7	20000	0	30	1	1	15000	0	1	2	93	0	2	40040001	150	0	2	10010007	1	0
5	第5章 民主自由	t_map_name_5	ZERO	t_map_boss_name_6	bsx_zero	4000	0	206	t_map_image_text_6	10	1	1	10000	0	1	2	34	0	2	40040001	50	0	1	7	20000	0	20	1	1	15000	0	1	2	64	0	2	40040001	100	0	1	7	20000	0	30	1	1	15000	0	1	2	94	0	2	40040001	150	0	2	10010007	1	0
6	第6章 梦境封锁	t_map_name_6	妖妄之梦	t_map_boss_name_7	bsx_yme	5000	0	207	t_map_image_text_7	10	1	1	10000	0	1	2	35	0	2	40040001	50	0	1	7	20000	0	20	1	1	15000	0	1	2	65	0	2	40040001	100	0	1	7	20000	0	30	1	1	15000	0	1	2	95	0	2	40040001	150	0	2	10010007	1	0
7	第7章 冥界之门	t_map_name_7	幽灵公主	t_map_boss_name_8	bsx_yyz	6000	0	208	t_map_image_text_8	10	1	1	10000	0	1	2	36	0	2	40040001	50	0	1	7	20000	0	20	1	1	15000	0	1	2	66	0	2	40040001	100	0	1	7	20000	0	30	1	1	15000	0	1	2	96	0	2	40040001	150	0	2	10010007	1	0
8	第8章 无名神社	t_map_name_8	红白	t_map_boss_name_9	bsx_bllm	7000	0	209	t_map_image_text_9	10	1	1	10000	0	1	2	37	0	2	40040001	50	0	1	7	20000	0	20	1	1	15000	0	1	2	67	0	2	40040001	100	0	1	7	20000	0	30	1	1	15000	0	1	2	97	0	2	40040001	150	0	2	10010007	1	0
9	第9章 冰之结界	t_map_name_9	C.C	t_map_boss_name_10	bsx_cc	8000	0	211	t_map_image_text_10	10	1	1	10000	0	1	2	38	0	2	40040001	50	0	1	7	20000	0	20	1	1	15000	0	1	2	68	0	2	40040001	100	0	1	7	20000	0	30	1	1	15000	0	1	2	98	0	2	40040001	150	0	2	10010007	1	0
