INT	STRING	STRING	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	代号	描述	类型	所属地图	场景名	类型boss	解锁流程	流程号	解锁精英流程	精英流程号	体力消耗	每日次数，0就是无限次	友军	友军出现小关	队形	关卡1怪1	关卡1怪2	关卡1怪3	关卡1怪4	关卡1怪5	队形	关卡2怪1	关卡2怪2	关卡2怪3	关卡2怪4	关卡2怪5	type1	value1	value2	value3	rate	type2	value1	value2	value3	rate	type3	value1	value2	value3	rate	type4	value1	value2	value3	rate	type5	value1	value2	value3	rate	是否有职业技能
1001	1-1 技能训练	t_mission_name_1001	t_mission_desc_1001	1	1	ts_chapter01	0	0	10	0	0	6	99			101	100101					105	100101	100101				2	40040001	1	0	100	2	40030001	1	0	80																0
1002	1-2 协作训练	t_mission_name_1002	t_mission_desc_1002	1	1	ts_chapter01	0	10	20	0	0	6	99			105	100201	100201				101	100202					2	40040001	1	0	100	2	40030002	1	0	80																0
1003	1-3 持久训练	t_mission_name_1003	t_mission_desc_1003	1	1	ts_chapter01	1	20	30	0	0	6	10			105	100301	100301				101	100302					2	40040001	1	0	100	2	40030003	1	0	80	2	80020001	1	0	10											0
1004	1-4 终极训练	t_mission_name_1004	t_mission_desc_1004	1	1	ts_chapter01	2	30	1000	0	0	6	5	100401	2	105	100402	100402				105	100404	100403	100403			2	40040001	1	0	100	4	10101	0	0	20	2	80020001	1	0	10											0
2001	2-1 前往废土星	t_mission_name_2001	t_mission_desc_2001	1	2	ts_chapter02	0	1000	1010	0	0	6	99			105	200101	200101				0						2	40040001	1	0	100	2	40030001	1	0	80																0
2002	2-2 侦查Ⅰ	t_mission_name_2002	t_mission_desc_2002	1	2	ts_chapter02	0	1010	1020	0	0	6	99			105	200201	200201				0						2	40040001	1	0	100	2	40030002	1	0	80																0
2003	2-3 侦查Ⅱ	t_mission_name_2003	t_mission_desc_2003	1	2	ts_chapter02	1	1020	1030	0	0	6	10			105	200303	200301	200301			0						2	40040001	1	0	100	4	20101	0	0	20	2	80020001	1	0	10											0
2004	2-4 巡逻队	t_mission_name_2004	t_mission_desc_2004	1	2	ts_chapter02	0	1030	1040	0	0	6	99			105	200401	200401	200401			0						2	40040001	1	0	100	2	40030003	1	0	80																0
2005	2-5 潜入据点	t_mission_name_2005	t_mission_desc_2005	1	2	ts_chapter02	1	1040	1050	0	0	6	10			101	200502	200503	200501			0						2	40040001	1	0	100	4	30101	0	0	20	2	80020001	1	0	10											0
2006	2-6 正面上我啊	t_mission_name_2006	t_mission_desc_2006	1	2	ts_chapter02	2	1050	2000	0	0	6	5			102	200604	200601	200602			0						2	40040001	1	0	100	4	40101	0	0	20	2	80020001	1	0	10											0
3001	3-1 初步失控	t_mission_name_3001	t_mission_desc_3001	1	3	ts_chapter03_01	0	2000	2010	0	0	6	99			105	300101	300101	300101	300101		0						2	40040001	1	0	100	2	40030001	1	0	80																0
3002	3-2 持续混乱I	t_mission_name_3002	t_mission_desc_3002	1	3	ts_chapter03_01	0	2010	2020	0	0	6	99			105	300201	300201	300201	300201		0						2	40040001	1	0	100	2	40030002	1	0	80																0
3003	3-3 持续混乱II	t_mission_name_3003	t_mission_desc_3003	1	3	ts_chapter03_01	1	2020	2030	0	0	6	10			105	300302	300303	300303	300303		0						2	40040001	1	0	100	4	10103	0	0	20	2	80020001	1	0	10											0
3004	3-4 战争机器	t_mission_name_3004	t_mission_desc_3004	1	3	ts_chapter03_01	1	2030	2040	0	0	6	10			105	300403	300401	300401	300401		0						2	40040001	1	0	100	4	20103	0	0	20	2	80020001	1	0	10											0
3005	3-5 天使之殇I	t_mission_name_3005	t_mission_desc_3005	1	3	ts_chapter03_02	0	2040	2050	0	0	6	99			101	300501	300502	300502	300502		0						2	40040001	1	0	100	2	40030003	1	0	80																0
3006	3-6 天使之殇II	t_mission_name_3006	t_mission_desc_3006	1	3	ts_chapter03_02	0	2050	2060	0	0	6	99			102	300601	300602	300602	300602		0						2	40040001	1	0	100	2	40030001	1	0	80																0
3007	3-7 天使之殇III	t_mission_name_3007	t_mission_desc_3007	1	3	ts_chapter03_02	1	2060	2070	0	0	6	10			101	300702	300703	300703	300703		0						2	40040001	1	0	100	4	30103	0	0	20	2	80020001	1	0	10											0
3008	3-8 失忆的巨炮	t_mission_name_3008	t_mission_desc_3008	1	3	ts_chapter03_02	2	2070	3000	0	0	6	5			102	300803	300804	300804	300804		0						2	40040001	1	0	100	4	40103	0	0	20	2	80020001	1	0	10											0
4001	4-1 非法交易	t_mission_name_4001	t_mission_desc_4001	1	4	ts_chapter04_01	0	3000	3010	0	0	6	99			105	400101	400101	400101	400101		0						2	40040001	1	0	100	2	40030002	1	0	80																0
4002	4-2 BEBE组织	t_mission_name_4002	t_mission_desc_4002	1	4	ts_chapter04_01	0	3010	3020	0	0	6	99			105	400201	400201	400201	400201		0						2	40040001	1	0	100	2	40030003	1	0	80																0
4003	4-3 违抗执法	t_mission_name_4003	t_mission_desc_4003	1	4	ts_chapter04_01	1	3020	3030	0	0	6	10			101	400303	400301	400301	400301		0						2	40040001	1	0	100	4	10105	0	0	20	2	80020001	1	0	10											0
4004	4-4 交易中止	t_mission_name_4004	t_mission_desc_4004	1	4	ts_chapter04_01	0	3030	3040	0	0	6	99			105	400401	400402	400402	400402		0						2	40040001	1	0	100	2	40030001	1	0	80																0
4005	4-5 合金生物I	t_mission_name_4005	t_mission_desc_4005	1	4	ts_chapter04_01	0	3040	3050	0	0	6	99			105	400501	400502	400502	400502		0						2	40040001	1	0	100	2	40030002	1	0	80																0
4006	4-6 合金生物II	t_mission_name_4006	t_mission_desc_4006	1	4	ts_chapter04_02	1	3050	3060	0	0	6	10			101	400602	400603	400603	400603		0						2	40040001	1	0	100	4	20105	0	0	20	2	80020001	1	0	10											0
4007	4-7 主力来袭	t_mission_name_4007	t_mission_desc_4007	1	4	ts_chapter04_02	0	3060	3070	0	0	6	99			105	400701	400701	400701	400701		0						2	40040001	1	0	100	2	40030003	1	0	80																0
4008	4-8 正规军	t_mission_name_4008	t_mission_desc_4008	1	4	ts_chapter04_02	0	3070	3080	0	0	6	99			105	400801	400801	400801	400801		0						2	40040001	1	0	100	2	40030001	1	0	80																0
4009	4-9 华丽降临	t_mission_name_4009	t_mission_desc_4009	1	4	ts_chapter04_02	1	3080	3090	0	0	6	10			102	400903	400904	400904	400904		0						2	40040001	1	0	100	4	30105	0	0	20	2	80020001	1	0	10											0
4010	4-10 三无罪犯	t_mission_name_4010	t_mission_desc_4010	1	4	ts_chapter04_02	2	3090	4000	0	0	6	5			102	401003	401001	401001	401001		0						2	40040001	1	0	100	4	40105	0	0	20	2	80020001	1	0	10											0
5001	5-1 光荣使命	t_mission_name_5001	t_mission_desc_5001	1	5	ts_chapter05_01	0	4000	4010	0	0	6	99			105	500101	500101	500101	500101		0						2	40040001	1	0	100																					0
5002	5-2 魔族剑士	t_mission_name_5002	t_mission_desc_5002	1	5	ts_chapter05_01	0	4010	4020	0	0	6	99			105	500201	500201	500201	500201		0						2	40040001	1	0	100																					0
5003	5-3 神王走廊I	t_mission_name_5003	t_mission_desc_5003	1	5	ts_chapter05_01	1	4020	4030	0	0	6	10			101	500303	500301	500301	500301		0						2	40040001	1	0	100	2	40030002	1	0	80	2	80020001	1	0	10											0
5004	5-4 神王走廊II	t_mission_name_5004	t_mission_desc_5004	1	5	ts_chapter05_01	0	4030	4040	0	0	6	99			105	500401	500402	500402	500402		0						2	40040001	1	0	100																					0
5005	5-5 神王走廊III	t_mission_name_5005	t_mission_desc_5005	1	5	ts_chapter05_01	0	4040	4050	0	0	6	99			105	500501	500502	500502	500502		0						2	40040001	1	0	100																					0
5006	5-6 古风机甲	t_mission_name_5006	t_mission_desc_5006	1	5	ts_chapter05_02	1	4050	4060	0	0	6	10			101	500603	500601	500601	500601		0						2	40040001	1	0	100	2	40030003	1	0	80	2	80020001	1	0	10											0
5007	5-7 走廊尽头	t_mission_name_5007	t_mission_desc_5007	1	5	ts_chapter05_02	0	4060	4070	0	0	6	99			105	500701	500702	500702	500702		0						2	40040001	1	0	100																					0
5008	5-8 阻击I	t_mission_name_5008	t_mission_desc_5008	1	5	ts_chapter05_02	0	4070	4080	0	0	6	99			105	500801	500802	500802	500802		0						2	40040001	1	0	100																					0
5009	5-9 阻击II	t_mission_name_5009	t_mission_desc_5009	1	5	ts_chapter05_02	1	4080	4090	0	0	6	10			102	500903	500901	500901	500901		0						2	40040001	1	0	100	2	70010201	1	0	20	2	80020001	1	0	10											0
5010	5-10 神王公主	t_mission_name_5010	t_mission_desc_5010	1	5	ts_chapter05_02	2	4090	5000	0	0	6	5			102	501003	501001	501001	501001		0						2	40040001	1	0	100	2	70020201	1	0	20	2	80020001	1	0	10											0
6001	6-1 出现梦境	t_mission_name_6001	t_mission_desc_6001	1	6	ts_chapter06_01	0	5000	5010	0	0	6	99			104	600101	600101	600101	600101	600101	0						2	40040001	1	0	100																					0
6002	6-2 萌里藏刀	t_mission_name_6002	t_mission_desc_6002	1	6	ts_chapter06_01	0	5010	5020	0	0	6	99			104	600201	600201	600201	600201	600201	0						2	40040001	1	0	100																					0
6003	6-3 食物链条I	t_mission_name_6003	t_mission_desc_6003	1	6	ts_chapter06_01	1	5020	5030	0	0	6	10			101	600303	600301	600301	600302	600302	0						2	40040001	1	0	100	2	40030011	1	0	65	2	80020001	1	0	10											0
6004	6-4 食物链条II	t_mission_name_6004	t_mission_desc_6004	1	6	ts_chapter06_01	0	5030	5040	0	0	6	99			101	600401	600401	600401	600402	600402	0						2	40040001	1	0	100																					0
6005	6-5 青鬼作乱I	t_mission_name_6005	t_mission_desc_6005	1	6	ts_chapter06_01	0	5040	5050	0	0	6	99			101	600501	600501	600501	600502	600502	0						2	40040001	1	0	100																					0
6006	6-6 青鬼作乱II	t_mission_name_6006	t_mission_desc_6006	1	6	ts_chapter06_02	1	5050	5060	0	0	6	10			102	600604	600602	600602	600601	600601	0						2	40040001	1	0	100	2	40030012	1	0	65	2	80020001	1	0	10											0
6007	6-7 花海I	t_mission_name_6007	t_mission_desc_6007	1	6	ts_chapter06_02	0	5060	5070	0	0	6	99			102	600701	600701	600701	600702	600702	0						2	40040001	1	0	100																					0
6008	6-8 花海II	t_mission_name_6008	t_mission_desc_6008	1	6	ts_chapter06_02	0	5070	5080	0	0	6	99			104	600801	600801	600801	600801	600801	0						2	40040001	1	0	100																					0
6009	6-9 魅惑	t_mission_name_6009	t_mission_desc_6009	1	6	ts_chapter06_02	1	5080	5090	0	0	6	10			102	600904	600901	600901	600903	600903	0						2	40040001	1	0	100	2	70030201	1	0	20	2	80020001	1	0	10											0
6010	6-10 半人半灵	t_mission_name_6010	t_mission_desc_6010	1	6	ts_chapter06_02	2	5090	6000	0	0	6	5			101	601004	601001	601001	601005	601005	0						2	40040001	1	0	100	2	70040201	1	0	20	2	80020001	1	0	10											0
7001	7-1 幻想星异变	t_mission_name_7001	t_mission_desc_7001	1	7	ts_chapter07_01	0	6000	6010	0	0	6	99			104	700101	700101	700101	700101	700101	0						2	40040001	1	0	100																					0
7002	7-2 打狗？	t_mission_name_7002	t_mission_desc_7002	1	7	ts_chapter07_01	0	6010	6020	0	0	6	99			104	700201	700201	700201	700201	700201	0						2	40040001	1	0	100																					0
7003	7-3 赤鬼来袭I	t_mission_name_7003	t_mission_desc_7003	1	7	ts_chapter07_01	1	6020	6030	0	0	6	10			101	700303	700301	700301	700302	700302	0						2	40040001	1	0	100	2	40030013	1	0	65	2	80020001	1	0	10											0
