INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	type1	value1	value2	value3	type2	value1	value2	value3	type3	value1	value2	value3	type4	value1	value2	value3
1003	1	1	5000	0	2	40030001	1	0	4	10102	0	0				
2003	1	1	5000	0	2	40030002	1	0	3	66	1	0				
2005	1	1	5000	0	2	40030003	1	0	4	20102	0	0				
3003	1	1	5000	0	2	40030001	1	0								
3004	1	1	5000	0	2	40030002	1	0	4	30102	0	0				
3007	1	1	5000	0	2	40030003	1	0	4	40102	0	0				
4003	1	1	5000	0	2	40030001	1	0								
4006	1	1	5000	0	2	40030002	1	0								
4009	1	1	5000	0	2	40030003	1	0								
5003	1	1	5000	0	2	40030001	1	0								
5006	1	1	5000	0	2	40030002	1	0	4	10104	0	0				
5009	1	1	5000	0	2	40030003	1	0	4	20104	0	0				
6003	1	1	10000	0	2	40030011	2	0								
6006	1	1	10000	0	2	40030012	2	0	4	30104	0	0				
6009	1	1	10000	0	2	40030013	2	0	4	40104	0	0				
7003	1	1	10000	0	2	40030011	2	0								
7006	1	1	10000	0	2	40030012	2	0	4	10106	0	0				
7009	1	1	10000	0	2	40030013	2	0	4	20106	0	0				
8003	1	1	10000	0	2	40030011	2	0								
8006	1	1	10000	0	2	40030012	2	0	4	30106	0	0				
8009	1	1	10000	0	2	40030013	2	0	4	40106	0	0				
9003	1	1	10000	0	2	40030011	2	0								
9006	1	1	10000	0	2	40030012	2	0	2	70010202	5	0				
9009	1	1	10000	0	2	40030013	2	0	2	70020202	5	0				
10003	1	1	10000	0	2	40030011	2	0								
10006	1	1	10000	0	2	40030012	2	0	2	70030202	5	0				
10009	1	1	10000	0	2	40030013	2	0	2	70040202	5	0				
11003	1	1	20000	0	2	40030011	2	0								
11006	1	1	20000	0	2	40030012	2	0	2	70010205	5	0				
11009	1	1	20000	0	2	40030013	2	0	2	70020205	5	0				
12003	1	1	20000	0	2	40030011	2	0								
12006	1	1	20000	0	2	40030012	2	0	2	70030205	5	0				
12009	1	1	20000	0	2	40030013	2	0	2	70040205	5	0				
13003	1	1	20000	0	2	40030011	2	0								
13006	1	1	20000	0	2	40030012	2	0								
13009	1	1	20000	0	2	40030013	2	0	2	70010301	5	0				
14003	1	1	20000	0	2	40030011	2	0								
14006	1	1	20000	0	2	40030012	2	0								
14009	1	1	20000	0	2	40030013	2	0	2	70020301	5	0				
15003	1	1	20000	0	2	40030011	2	0								
15006	1	1	20000	0	2	40030012	2	0								
15009	1	1	20000	0	2	40030013	2	0	2	70030301	5	0				
16003	1	1	20000	0	2	40030011	2	0								
16006	1	1	20000	0	2	40030012	2	0								
16009	1	1	20000	0	2	40030013	2	0	2	70040301	5	0				
17003	1	1	20000	0	2	40030011	2	0								
17006	1	1	20000	0	2	40030012	2	0								
17009	1	1	20000	0	2	40030013	2	0	2	70010302	5	0				
18003	1	1	20000	0	2	40030011	2	0								
18006	1	1	20000	0	2	40030012	2	0								
18009	1	1	20000	0	2	40030013	2	0	2	70020302	5	0				
19003	1	1	20000	0	2	40030011	2	0								
19006	1	1	20000	0	2	40030012	2	0								
19009	1	1	20000	0	2	40030013	2	0	2	70030302	5	0				
20003	1	1	20000	0	2	40030011	2	0								
20006	1	1	20000	0	2	40030012	2	0								
20009	1	1	20000	0	2	40030013	2	0	2	70040302	5	0				
21003	1	1	40000	0	2	40030011	3	0								
21006	1	1	40000	0	2	40030012	3	0								
21009	1	1	40000	0	2	40030013	3	0	2	70010303	5	0				
22003	1	1	40000	0	2	40030011	3	0								
22006	1	1	40000	0	2	40030012	3	0								
22009	1	1	40000	0	2	40030013	3	0	2	70020303	5	0				
23003	1	1	40000	0	2	40030011	3	0								
23006	1	1	40000	0	2	40030012	3	0								
23009	1	1	40000	0	2	40030013	3	0	2	70030303	5	0				
24003	1	1	40000	0	2	40030011	3	0								
24006	1	1	40000	0	2	40030012	3	0								
24009	1	1	40000	0	2	40030013	3	0	2	70040303	5	0				
25003	1	1	40000	0	2	40030011	3	0								
25006	1	1	40000	0	2	40030012	3	0								
25009	1	1	40000	0	2	40030013	3	0	2	70010304	5	0				
26003	1	1	40000	0	2	40030021	4	0								
26006	1	1	40000	0	2	40030022	4	0								
26009	1	1	40000	0	2	40030023	4	0	2	70020304	5	0				
27003	1	1	40000	0	2	40030021	4	0								
27006	1	1	40000	0	2	40030022	4	0								
27009	1	1	40000	0	2	40030023	4	0	2	70030304	5	0				
28003	1	1	40000	0	2	40030021	4	0								
28006	1	1	40000	0	2	40030022	4	0								
28009	1	1	40000	0	2	40030023	4	0	2	70040304	5	0				
29003	1	1	40000	0	2	40030021	4	0								
29006	1	1	40000	0	2	40030022	4	0								
29009	1	1	40000	0	2	40030023	4	0	2	70010305	5	0				
30003	1	1	40000	0	2	40030021	4	0								
30006	1	1	40000	0	2	40030022	4	0								
30009	1	1	40000	0	2	40030023	4	0	2	70020305	5	0				
31003	1	1	60000	0	2	40030021	4	0								
31006	1	1	60000	0	2	40030022	4	0								
31009	1	1	60000	0	2	40030023	4	0	2	70030305	5	0				
32003	1	1	60000	0	2	40030021	4	0								
32006	1	1	60000	0	2	40030022	4	0								
32009	1	1	60000	0	2	40030023	4	0	2	70040305	5	0				
33003	1	1	60000	0	2	40030021	4	0								
33006	1	1	60000	0	2	40030022	4	0								
33009	1	1	60000	0	2	40030023	4	0	2	70010306	5	0				
34003	1	1	60000	0	2	40030021	4	0								
34006	1	1	60000	0	2	40030022	4	0								
34009	1	1	60000	0	2	40030023	4	0	2	70020306	5	0				
35003	1	1	60000	0	2	40030021	4	0								
35006	1	1	60000	0	2	40030022	4	0								
35009	1	1	60000	0	2	40030023	4	0	2	70030306	5	0				
36003	1	1	60000	0	2	40030031	4	0								
36006	1	1	60000	0	2	40030032	4	0								
