INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	classid	等级	阶级	突破	品质技能	小怪0 精英1 BOSS2	技能等级	血量	攻击	物防	魔防	速度	暴击	格挡	物免	魔免	命中	闪避	抗暴	穿透	增伤	减伤	初始能量
100101	1	1	0	0	0	0	1	445	220	17	12	2	0	-100	0	0	500	-100	100	0	0	0	2
100201	1	1	0	0	0	0	1	445	220	17	12	2	0	-100	0	0	500	-100	100	0	0	0	2
100202	2	1	0	0	0	0	1	1817	460	24	26	3	0	-100	0	0	500	-100	100	0	0	0	2
100301	1	1	0	0	0	0	1	445	220	17	12	2	0	-100	0	0	500	-100	100	0	0	0	2
100302	22	1	5	5	0	1	1	3213	405	31	26	3	0	-100	0	0	500	-100	100	0	0	0	2
100401	201	1	15	15	0	2	1	55353	5573	1518	1907	245	0	-100	0	0	500	-100	100	0	50	0	2
100402	1	1	0	0	0	0	1	445	220	17	12	2	0	-100	0	0	500	-100	100	0	0	0	2
100403	2	1	0	0	0	0	1	363	276	14	16	2	0	-100	0	0	500	-100	100	0	0	0	2
100404	202	1	15	15	0	2	1	19954	1560	537	422	61	0	-100	0	0	500	-100	100	0	0	0	4
200101	5	1	0	0	0	0	1	644	448	25	22	4	1	1	0	0	21	1	1	1	1	0	2
200201	11	1	0	0	0	0	1	762	366	28	22	3	1	1	0	0	21	1	1	1	1	0	2
200301	11	1	0	0	0	0	1	762	366	28	22	3	1	1	0	0	21	1	1	1	1	0	2
200303	9	1	5	5	0	1	1	863	496	25	26	3	1	1	0	0	21	1	1	1	1	0	2
200401	10	1	0	0	0	0	1	658	476	22	23	4	1	1	0	0	21	1	1	1	1	0	2
200501	12	1	0	0	0	0	1	1236	371	44	35	5	1	1	0	0	21	1	1	1	1	0	2
200502	4	1	5	5	0	1	1	1499	514	44	42	6	1	1	0	0	21	1	1	1	1	0	2
200503	10	1	0	0	0	0	1	1086	524	37	38	6	1	1	0	0	21	1	1	1	1	0	2
200601	4	1	0	0	0	0	1	1071	467	40	38	6	1	1	0	0	21	1	1	1	1	0	2
200602	9	1	0	0	0	0	1	1017	496	38	39	6	1	1	0	0	21	1	1	1	1	0	2
200604	203	1	15	15	0	2	1	1879	618	50	59	8	1	1	0	0	21	1	1	1	1	0	2
300101	16	1	0	0	0	0	1	1282	406	49	40	6	1	1	0	0	21	1	1	1	1	0	2
300201	2	1	0	0	0	0	1	1090	553	44	48	6	1	1	0	0	21	1	1	1	1	0	2
300302	6	1	5	5	0	1	1	2108	523	59	50	7	1	1	0	0	21	1	1	1	1	0	2
300303	2	1	0	0	0	0	1	1090	553	44	48	6	1	1	0	0	21	1	1	1	1	0	2
300401	6	1	0	0	0	0	1	1631	515	58	50	8	1	1	0	0	21	1	1	1	1	0	2
300403	7	1	5	5	0	1	1	1964	736	52	58	9	1	1	0	0	21	1	1	1	1	0	2
300501	7	1	0	0	0	0	1	1403	669	47	53	9	1	1	0	0	21	1	1	1	1	0	2
300502	16	1	0	0	0	0	1	1388	440	54	44	7	1	1	0	0	21	1	1	1	1	0	2
300601	7	1	0	0	0	0	1	1403	669	47	53	9	1	1	0	0	21	1	1	1	1	0	2
300602	17	1	0	0	0	0	1	1368	484	47	43	7	1	1	0	0	21	1	1	1	1	0	2
300702	8	1	5	5	0	1	1	1851	670	57	75	10	1	1	0	0	21	1	1	1	1	0	2
300703	7	1	0	0	0	0	1	1511	721	50	57	10	1	1	0	0	21	1	1	1	1	0	2
300803	204	1	15	15	0	2	1	3255	983	77	78	10	1	1	0	0	21	1	1	1	1	0	2
300804	8	1	0	0	0	0	1	1511	696	60	78	12	1	1	0	0	21	1	1	1	1	0	2
400101	31	1	0	0	0	0	2	1464	729	60	72	12	2	2	0	0	22	2	2	2	2	0	2
400201	16	1	0	0	0	0	2	1923	609	74	61	9	2	2	0	0	22	2	2	2	2	0	2
400301	16	1	0	0	0	0	2	1923	609	74	61	9	2	2	0	0	22	2	2	2	2	0	2
400303	26	1	5	5	0	1	2	2695	702	81	66	9	2	2	0	0	22	2	2	2	2	0	2
400401	26	1	0	0	0	0	2	1925	638	73	60	9	2	2	0	0	22	2	2	2	2	0	2
400402	23	1	0	0	0	0	2	2045	941	80	72	13	2	2	0	0	22	2	2	2	2	0	2
400501	26	1	0	0	0	0	2	2139	709	82	66	10	2	2	0	0	22	2	2	2	2	0	2
400502	820	1	0	0	0	0	2	2273	682	79	68	11	2	2	0	0	22	2	2	2	2	0	2
400602	35	1	5	5	0	1	2	2753	989	78	98	15	2	2	0	0	22	2	2	2	2	0	2
400603	23	1	0	0	0	0	2	2045	941	80	72	13	2	2	0	0	22	2	2	2	2	0	2
400701	26	1	0	0	0	0	2	2139	709	82	66	10	2	2	0	0	22	2	2	2	2	0	2
400801	25	1	0	0	0	0	2	2009	929	79	86	9	2	2	0	0	22	2	2	2	2	0	2
400903	24	1	5	5	0	1	2	3868	977	117	90	13	2	2	0	0	22	2	2	2	2	0	2
400904	35	1	0	0	0	0	2	2163	989	78	98	17	2	2	0	0	22	2	2	2	2	0	2
401001	24	1	0	0	0	0	2	2763	888	106	81	13	2	2	0	0	22	2	2	2	2	0	2
401003	205	1	15	15	0	2	2	3987	1328	112	116	15	2	2	0	0	22	2	2	2	2	0	2
500101	32	1	0	0	0	0	2	3287	839	116	86	14	2	2	0	0	22	2	2	2	2	0	2
500201	29	1	0	0	0	0	2	2807	1033	98	108	17	2	2	0	0	22	2	2	2	2	0	2
500301	29	1	0	0	0	0	2	2807	1033	98	108	17	2	2	0	0	22	2	2	2	2	0	2
500303	37	1	5	5	0	1	2	4217	941	122	92	15	2	2	0	0	22	2	2	2	2	0	2
500401	37	1	0	0	0	0	2	3012	855	111	84	15	2	2	0	0	22	2	2	2	2	0	2
500402	33	1	0	0	0	0	2	2729	1090	103	96	16	2	2	0	0	22	2	2	2	2	0	2
500501	33	1	0	0	0	0	2	2729	1090	103	96	16	2	2	0	0	22	2	2	2	2	0	2
500502	38	1	0	0	0	0	2	2586	934	97	118	18	2	2	0	0	22	2	2	2	2	0	2
500601	37	1	0	0	0	0	2	3012	855	111	84	15	2	2	0	0	22	2	2	2	2	0	2
500603	27	1	5	5	0	1	2	5580	1125	144	131	17	2	2	0	0	22	2	2	2	2	0	2
500701	37	1	0	0	0	0	2	3137	891	115	87	15	2	2	0	0	22	2	2	2	2	0	2
500702	28	1	0	0	0	0	2	2575	998	98	107	19	2	2	0	0	22	2	2	2	2	0	2
500801	27	1	0	0	0	0	2	4145	1063	136	124	17	2	2	0	0	22	2	2	2	2	0	2
500802	28	1	0	0	0	0	2	2678	1038	102	112	20	2	2	0	0	22	2	2	2	2	0	2
500901	27	1	0	0	0	0	2	4464	1145	147	134	19	2	2	0	0	22	2	2	2	2	0	2
500903	36	1	5	5	0	1	2	5545	1257	167	127	21	2	2	0	0	22	2	2	2	2	0	2
501001	36	1	0	0	0	0	2	3960	1143	151	115	21	2	2	0	0	22	2	2	2	2	0	2
501003	206	1	15	15	0	2	2	7404	1415	170	133	20	2	2	0	0	22	2	2	2	2	0	2
600101	48	1	0	0	0	0	2	5360	1231	201	154	27	3	3	0	0	23	3	3	3	3	0	2
600201	45	1	0	0	0	0	2	4152	1416	152	201	34	3	3	0	0	23	3	3	3	3	0	2
600301	45	1	0	0	0	0	2	4152	1416	152	201	34	3	3	0	0	23	3	3	3	3	0	2
600302	48	1	0	0	0	0	2	5360	1231	201	154	27	3	3	0	0	23	3	3	3	3	0	2
600303	46	1	5	5	0	1	2	7209	1734	188	195	28	3	3	0	0	23	3	3	3	3	0	2
600401	46	1	0	0	0	0	2	5149	1576	171	177	28	3	3	0	0	23	3	3	3	3	0	2
600402	47	1	0	0	0	0	2	4041	1498	164	177	34	3	3	0	0	23	3	3	3	3	0	2
600501	41	1	0	0	0	0	2	4662	1770	182	158	30	3	3	0	0	23	3	3	3	3	0	2
600502	47	1	0	0	0	0	2	4041	1498	164	177	34	3	3	0	0	23	3	3	3	3	0	2
600601	46	1	0	0	0	0	2	5149	1576	171	177	28	3	3	0	0	23	3	3	3	3	0	2
600602	41	1	0	0	0	0	2	4662	1770	182	158	30	3	3	0	0	23	3	3	3	3	0	2
600604	42	1	5	5	0	1	2	7269	2096	216	203	34	3	3	0	0	23	3	3	3	3	0	2
600701	42	1	0	0	0	0	2	5192	1905	197	185	34	3	3	0	0	23	3	3	3	3	0	2
600702	40	1	0	0	0	0	2	4940	1484	179	187	23	3	3	0	0	23	3	3	3	3	0	2
600801	40	1	0	0	0	0	2	4940	1484	179	187	23	3	3	0	0	23	3	3	3	3	0	2
600901	42	1	0	0	0	0	2	5192	1905	197	185	34	3	3	0	0	23	3	3	3	3	0	2
600903	40	1	0	0	0	0	2	4940	1484	179	187	23	3	3	0	0	23	3	3	3	3	0	2
600904	66	1	5	5	0	1	2	6569	1784	181	239	37	3	3	0	0	23	3	3	3	3	0	2
601001	66	1	0	0	0	0	2	4692	1622	165	217	37	3	3	0	0	23	3	3	3	3	0	2
601004	207	1	15	15	0	2	2	10330	2221	231	259	32	3	3	0	0	23	3	3	3	3	0	2
