INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	代号	type1	id1	id2	id3	id4	attr1	value1	attr2	value1
6005	精金战甲	t_equip_name_20301	2	20301				6	12		
6007	紫云之戒	t_baowu_name_3002	3	3002				6	12		
7005	秘银之枪	t_equip_name_10302	2	10302				7	12		
7007	紫云徽章	t_baowu_name_3003	3	3003				7	12		
8005	无双之光	t_equip_name_10303	2	10303				7	12		
8007	紫云之戒	t_baowu_name_3002	3	3002				6	12		
24005	幻影战甲	t_equip_name_20304	2	20304				6	12		
24007	紫云护符	t_baowu_name_3004	3	3004				6	12		
27005	封灵战甲	t_equip_name_20305	2	20305				6	12		
27007	紫云之戒	t_baowu_name_3002	3	3002				6	12		
35005	暗影镰刀	t_equip_name_10306	2	10306				7	12		
35007	紫云护符	t_baowu_name_3004	3	3004				6	12		
36005	精金战甲	t_equip_name_20301	2	20301				6	12		
36007	紫云之戒	t_baowu_name_3002	3	3002				6	12		
42005	秘银之枪	t_equip_name_10302	2	10302				7	12		
42007	紫云徽章	t_baowu_name_3003	3	3003				7	12		
49005	无双之光	t_equip_name_10303	2	10303				7	12		
49007	紫云之链	t_baowu_name_3001	3	3001				7	12		
52005	幻影之锤	t_equip_name_10304	2	10304				7	12		
52007	紫云护符	t_baowu_name_3004	3	3004				6	12		
53005	封灵手枪	t_equip_name_10305	2	10305				7	12		
53007	紫云之链	t_baowu_name_3001	3	3001				7	12		
55005	暗影镰刀	t_equip_name_10306	2	10306				7	12		
55007	紫云徽章	t_baowu_name_3003	3	3003				7	12		
57005	精金战甲	t_equip_name_20301	2	20301				6	12		
57007	紫云之戒	t_baowu_name_3002	3	3002				6	12		
59005	秘银之枪	t_equip_name_10302	2	10302				7	12		
59007	紫云护符	t_baowu_name_3004	3	3004				6	12		
62005	无双之光	t_equip_name_10303	2	10303				7	12		
62007	紫云之戒	t_baowu_name_3002	3	3002				6	12		
66001	暗中保护	t_huoban_name_66001	1	201				6	17		
66002	电光火石	t_huoban_name_66002	1	203				7	17		
66003	找点乐子	t_huoban_name_66003	1	100				6	16		
66004	亦敌亦友	t_huoban_name_66004	1	101				7	16		
66005	幻影之锤	t_equip_name_10304	2	10304				7	12		
66007	紫云护符	t_baowu_name_3004	3	3004				6	12		
67005	封灵手枪	t_equip_name_10305	2	10305				7	12		
67007	紫云之链	t_baowu_name_3001	3	3001				7	12		
69005	暗影镰刀	t_equip_name_10306	2	10306				7	12		
69007	紫云护符	t_baowu_name_3004	3	3004				6	12		
100001	一见如故	t_huoban_name_100001	1	201				10	17		
100002	领路人	t_huoban_name_100002	1	202				7	17		
100003	第一滴血	t_huoban_name_100003	1	203				30	17		
100004	青梅竹马	t_huoban_name_100004	1	101				6	16		
100005	精金巨剑	t_equip_name_10301	2	10301				7	12		
100007	紫云之链	t_baowu_name_3001	3	3001				7	12		
101001	导师	t_huoban_name_101001	1	202				10	17		
101002	绝缘体	t_huoban_name_101002	1	203				30	17		
