INT	STRING	STRING	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT
品质	name	代号	下一级品质	伙伴等级需求	基础生命	基础攻击	基础物防	基础魔防	基础先攻	生命成长	攻击成长	物防成长	魔防成长	先攻成长	color	主动技能加值	被动技能加值	伙伴升品石	战魂	红色伙伴之力	碎片	金币	水晶 1绿色 2蓝色 3红色
100	1品	t_role_shengpin_100	200	1	1	1	1	1	1	1	1	1	1	1	1	0	0						1
200	2品	t_role_shengpin_200	300	1	1	1	1	1	1	1	1	1	1	1	1	0	0						1
300	3品	t_role_shengpin_300	400	1	1	1	1	1	1	1	1	1	1	1	1	0	0						1
400	4品	t_role_shengpin_400	500	1	1	1	1	1	1	1	1	1	1	1	2	0	0						1
500	5品	t_role_shengpin_500	600	1	1	1	1	1	1	1	1	1	1	1	2	0	0						1
600	6品	t_role_shengpin_600	700	1	1	1	1	1	1	1	1	1	1	1	2	0	0						1
700	7品	t_role_shengpin_700	800	1	1	1	1	1	1	1	1	1	1	1	3	0	0						1
800	8品	t_role_shengpin_800	900	1	1	1	1	1	1	1	1	1	1	1	3	0	0						1
900	9品	t_role_shengpin_900	1000	1	1	1	1	1	1	1	1	1	1	1	3	0	0						1
1000	10品	t_role_shengpin_1000	1001	1	1	1	1	1	1	1	1	1	1	1	4	0	0						1
1001	10品1级	t_role_shengpin_1001	1100	70	1.1	1.1	1.1	1.1	1.1	1	1	1	1	1	4	0	0	1	500	10		800000	1
1100	11品	t_role_shengpin_1100	1101	70	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	4	0	0	1			20	1200000	1
1101	11品1级	t_role_shengpin_1101	1200	70	1.35	1.35	1.35	1.35	1.35	1.25	1.25	1.25	1.25	1.25	4	0	0	1	1000	20		1200000	1
1200	12品	t_role_shengpin_1200	1201	70	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	4	0	0	2			40	2400000	1
1201	12品1级	t_role_shengpin_1201	1300	70	1.8	1.8	1.8	1.8	1.8	1.5	1.5	1.5	1.5	1.5	4	0	0	2	2000	40		2400000	1
1300	13品	t_role_shengpin_1300	1301	70	2.2	2.2	2.2	2.2	2.2	1.75	1.75	1.75	1.75	1.75	5	0	1	3			80	4000000	3
1301	13品1级	t_role_shengpin_1301	1302	70	2.68	2.2	2.2	2.2	2.2	1.75	1.75	1.75	1.75	1.75	5	0	1	8	4000			4000000	1
1302	13品2级	t_role_shengpin_1302	1303	70	2.68	2.68	2.2	2.2	2.2	1.75	1.75	1.75	1.75	1.75	5	0	1	8		50		4000000	1
1303	13品3级	t_role_shengpin_1303	1304	70	2.68	2.68	2.68	2.2	2.2	1.75	1.75	1.75	1.75	1.75	5	0	1	8			120	8000000	1
1304	13品4级	t_role_shengpin_1304	1305	70	2.68	2.68	2.68	2.68	2.2	1.75	1.75	1.75	1.75	1.75	5	0	1	8	5000			8000000	1
1305	13品5级	t_role_shengpin_1305	1400	70	2.68	2.68	2.68	2.68	2.68	1.75	1.75	1.75	1.75	1.75	5	0	1	8		60		8000000	1
1400	14品	t_role_shengpin_1400	1401	70	2.8	2.8	2.8	2.8	2.8	2	2	2	2	2	5	1	2	25			240	8000000	2
1401	14品1级	t_role_shengpin_1401	1402	80	3.44	2.8	2.8	2.8	2.8	2	2	2	2	2	5	1	2	10	6000			9000000	1
1402	14品2级	t_role_shengpin_1402	1403	80	3.44	3.44	2.8	2.8	2.8	2	2	2	2	2	5	1	2	10		70		9000000	1
1403	14品3级	t_role_shengpin_1403	1404	80	3.44	3.44	3.44	2.8	2.8	2	2	2	2	2	5	1	2	10			160	9000000	1
1404	14品4级	t_role_shengpin_1404	1405	80	3.44	3.44	3.44	3.44	2.8	2	2	2	2	2	5	1	2	10	7000			10000000	1
1405	14品5级	t_role_shengpin_1405	1500	80	3.44	3.44	3.44	3.44	3.44	2	2	2	2	2	5	1	2	10		80		10000000	1
1500	15品	t_role_shengpin_1500	1501	80	3.6	3.6	3.6	3.6	3.6	2.25	2.25	2.25	2.25	2.25	5	1	3	30			320	10000000	2
1501	15品1级	t_role_shengpin_1501	1502	90	4.4	3.6	3.6	3.6	3.6	2.25	2.25	2.25	2.25	2.25	5	1	3	12	8000			11000000	1
1502	15品2级	t_role_shengpin_1502	1503	90	4.4	4.4	3.6	3.6	3.6	2.25	2.25	2.25	2.25	2.25	5	1	3	12		90		11000000	1
1503	15品3级	t_role_shengpin_1503	1504	90	4.4	4.4	4.4	3.6	3.6	2.25	2.25	2.25	2.25	2.25	5	1	3	12			200	11000000	1
