INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT
id	名字	描述	代号	描述	icon	行为	类型 1主动 2被动 3特性 4专属 5职业	攻击类型 1物理 2魔法 3加血 4无伤害	目标类型 1自己 2己方血最少 3敌方通用	范围 1前排单体 2中排单体 3后排单体 4前排 5中排 6后排 7 随机3人 8纵列 9全体	伤害百分比	等级增量	能量目标 1自己 2目标	能量变化	mp概率	buff类型 1攻击 2修改属性	buff目标 1自己 2目标	buff持续回合	buff攻击类型 1物理 2魔法 3加血	buff伤害百分比	等级增量	buff修改属性	buff修改值	等级增量	buff类型 1攻击 2修改属性	buff目标 1自己 2目标	buff持续回合	buff攻击类型 1物理 2魔法 3加血	buff伤害百分比	等级增量	buff修改属性	buff修改值	等级增量	晕眩概率	晕眩回合	被动类型	被动修改属性	被动修改值	被动修改加成	特性条件 1前N回合触发 2血少于百分之N触发 3己方光环 4敌方光环 5攻击带吸血 6复活 7一定概率两次攻击 8单次伤害无法超过血量的N% 9第一回合有一定概率无视物防 10每回合回复全体生命 11对特定职业伤害增加 12受到特定职业伤害减少 13对特定职业概率增加 14每死一个队友增加属性 15普通攻击伤害减少 16免疫晕眩 17死亡时造成敌方全体攻击N%的伤害 18死亡时回复全体攻击N%的生命 19对品质低于自己的伙伴增加伤害 20受到品质低于自己的伙伴攻击时伤害减少 21每回合概率回复全体友军1点能量 22概率反弹一定伤害	特性属性	特性预留2	特性预留3	等级增量2	等级增量3	释放几率
1	物理前排单体	对前排单个敌人造成100%的物理伤害	t_skill_name_1	t_skill_desc_1		attack	1	1	3	1	1																																			
2	物理中排单体	对中排单个敌人造成100%的物理伤害	t_skill_name_2	t_skill_desc_2		attack	1	1	3	2	1																																			
3	物理后排单体	对后排单个敌人造成100%的物理伤害	t_skill_name_3	t_skill_desc_3		attack	1	1	3	3	1																																			
4	物理前排	对前排敌人造成60%的物理伤害	t_skill_name_4	t_skill_desc_4		attack	1	1	3	4	0.6																																			
5	物理中排	对中排敌人造成60%的物理伤害	t_skill_name_5	t_skill_desc_5		attack	1	1	3	5	0.6																																			
6	物理后排	对后排敌人造成60%的物理伤害	t_skill_name_6	t_skill_desc_6		attack	1	1	3	6	0.6																																			
7	物理随机	对随机3个敌人造成65%的物理伤害	t_skill_name_7	t_skill_desc_7		attack	1	1	3	7	0.65																																			
8	物理单列	对敌人及其相邻位置造成80%的物理伤害	t_skill_name_8	t_skill_desc_8		attack	1	1	3	8	0.8																																			
9	物理全体	对全体敌人造成40%的物理伤害	t_skill_name_9	t_skill_desc_9		attack	1	1	3	9	0.4																																			
10	魔法前排单体	对前排单个敌人造成100%的魔法伤害	t_skill_name_10	t_skill_desc_10		attack	1	2	3	1	1																																			
11	魔法中排单体	对中排单个敌人造成100%的魔法伤害	t_skill_name_11	t_skill_desc_11		attack	1	2	3	2	1																																			
12	魔法后排单体	对后排单个敌人造成100%的魔法伤害	t_skill_name_12	t_skill_desc_12		attack	1	2	3	3	1																																			
13	魔法前排	对前排敌人造成60%的魔法伤害	t_skill_name_13	t_skill_desc_13		attack	1	2	3	4	0.6																																			
14	魔法中排	对中排敌人造成60%的魔法伤害	t_skill_name_14	t_skill_desc_14		attack	1	2	3	5	0.6																																			
