INT	INT	STRING	INT	INT	INT	INT	INT	INT
id	名次	名字	type	value1	value2	value3	价格	折扣
1001	999999	勇者勋章	2	40040001	250	0	250	1
1002	2000	金币	1	1	100000	0	100	1
1003	1500	钻石	1	2	500	0	500	1
1004	1000	原力	1	7	100000	0	400	1
1005	900	金币	1	1	200000	0	200	1
1006	800	紫晶石包	2	10010062	1	0	1000	1
1007	700	钻石	1	2	500	0	500	1
1008	600	3星伙伴碎片箱	2	10010021	20	0	800	1
1009	500	金币	1	1	300000	0	300	1
1010	400	勇者勋章	2	40040001	1000	0	1000	1
1011	300	钻石	1	2	500	0	500	1
1012	250	紫色装备箱	2	10010033	10	0	650	1
1013	200	金币	1	1	500000	0	500	1
1014	150	精金巨剑	4	10301	0	0	1000	1
1015	100	钻石	1	2	1000	0	1000	1
1016	50	精炼金属	2	50070001	100	0	500	1
1017	30	神之金属	2	50100001	200	0	1000	1
1018	10	荣耀之链	6	4001	0	0	1200	1
1019	5	荣耀之戒	6	4002	0	0	1200	1
1020	3	晶铸战甲	4	20402	0	0	4000	1
1021	1	晶铸之枪	4	10402	0	0	4000	1
