INT	STRING	INT	INT	INT	INT	INT	INT	INT
id	名字	level	type	value1	value2	value3	荣誉点数	红色伙伴之力
1001	狂姗碎片	60	2	30010501	3	0	800	1
1002	三竹立碎片	60	2	30010503	3	0	800	1
1003	灼眼公主碎片		2	30010401	1	0	300	
1004	双枪少女碎片		2	30010406	1	0	300	
1005	黑色射手碎片		2	30010204	1	0	250	
1006	波波利碎片		2	30010205	1	0	250	
1007	妖妄之梦碎片		2	30010207	1	0	250	
1008	初音战士碎片		2	30010212	1	0	250	
1009	勇气勋章		2	40040001	1	0	10	
1010	勇气勋章		2	40040001	10	0	100	
1011	勇气勋章		2	40040001	100	0	1000	
1012	队伍强化装置		2	50140001	1	0	30	
1013	队伍强化装置		2	50140001	10	0	300	
1014	队伍强化装置		2	50140001	100	0	3000	
1015	觉醒之力		2	50130001	1	0	10000	
