INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	类型	type	value1	value2	value3	价格	折扣	积分	限购次数
1001	金币	1	1	1	1000000	0	400	40	40	1
1002	队形强化装置	1	2	50140001	200	0	360	60	36	1
1003	觉醒之力	1	2	50130001	1	0	888	80	88	2
1004	队形强化装置	1	2	50140001	30	0	90	100	9	3
1005	幸运点	1	1	20	100	0	100	100	10	3
1006	橙色回忆箱	1	2	10010085	1	0	600	100	60	2
2001	金币	2	1	1	1000000	0	400	40	40	1
2002	精炼金属	2	2	50070001	200	0	600	60	60	1
2003	觉醒之力	2	2	50130001	1	0	888	80	88	2
2004	精炼金属	2	2	50070001	20	0	90	90	9	3
2005	神之金属	2	2	50100001	20	0	90	90	9	3
2006	神之金属	2	2	50100001	80	0	360	90	36	4
3001	金币	3	1	1	1000000	0	400	40	40	1
3002	红色装备之力	3	2	50120001	5	0	175	70	18	1
3003	觉醒之力	3	2	50130001	1	0	888	80	88	2
3004	红色伙伴之力	3	2	50110001	1	0	50	100	5	5
3005	红色装备之力	3	2	50120001	1	0	50	100	5	5
3006	红色饰品礼包	3	2	10010064	1	0	2500	100	250	1
