INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	name	描述	ICON	类型 1目标 2挑战 3每日 4邀请	前置id	条件类型 1达到def1级 2紫色以上伙伴到达def1个 3有def1个伙伴def2阶以上伙伴 4有def1个伙伴def2星以上伙伴 5missionid到def1 6累计通关def1次 7进阶def1次 8升星def1次 9强化def1次 10竞技场胜利def1次 11世界BOSSdef1次 12精英副本def1次 13黑市购买def1次 14龙之塔def1层 16饰品强化 17饰品升星 20邀请的好友等级达到def1级	条件num	条件预留1	条件预留2	type	value1	value2	value3
101001	人物等级达到5级	t_target_desc_101001	icon_hd_hbsjie	1		1	5	5		2	40040001	50	0
101002	人物等级达到10级	t_target_desc_101002	icon_hd_hbsjie	1	101001	1	10	10		2	40040001	100	0
101003	人物等级达到15级	t_target_desc_101003	icon_hd_hbsjie	1	101002	1	15	15		2	40040001	150	0
101004	人物等级达到20级	t_target_desc_101004	icon_hd_hbsjie	1	101003	1	20	20		2	40040001	200	0
101005	人物等级达到25级	t_target_desc_101005	icon_hd_hbsjie	1	101004	1	25	25		2	40040001	250	0
101006	人物等级达到30级	t_target_desc_101006	icon_hd_hbsjie	1	101005	1	30	30		2	50070001	100	0
101007	人物等级达到35级	t_target_desc_101007	icon_hd_hbsjie	1	101006	1	35	35		2	50070001	100	0
101008	人物等级达到40级	t_target_desc_101008	icon_hd_hbsjie	1	101007	1	40	40		2	50100001	200	0
101009	人物等级达到45级	t_target_desc_101009	icon_hd_hbsjie	1	101008	1	45	45		2	50100001	200	0
101010	人物等级达到50级	t_target_desc_101010	icon_hd_hbsjie	1	101009	1	50	50		1	2	500	0
101011	人物等级达到55级	t_target_desc_101011	icon_hd_hbsjie	1	101010	1	55	55		2	50070001	200	0
101012	人物等级达到60级	t_target_desc_101012	icon_hd_hbsjie	1	101011	1	60	60		1	2	600	0
101013	人物等级达到65级	t_target_desc_101013	icon_hd_hbsjie	1	101012	1	65	65		2	50100001	200	0
101014	人物等级达到70级	t_target_desc_101014	icon_hd_hbsjie	1	101013	1	70	70		1	2	700	0
101015	人物等级达到75级	t_target_desc_101015	icon_hd_hbsjie	1	101014	1	75	75		2	50070001	200	0
101016	人物等级达到80级	t_target_desc_101016	icon_hd_hbsjie	1	101015	1	80	80		1	2	800	0
101017	人物等级达到85级	t_target_desc_101017	icon_hd_hbsjie	1	101016	1	85	85		2	50100001	200	0
101018	人物等级达到90级	t_target_desc_101018	icon_hd_hbsjie	1	101017	1	90	90		1	2	900	0
101019	人物等级达到95级	t_target_desc_101019	icon_hd_hbsjie	1	101018	1	95	95		2	50070001	200	0
101020	人物等级达到100级	t_target_desc_101020	icon_hd_hbsjie	1	101019	1	100	100		1	2	1000	0
