INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
id	星数	名字	type	value1	value2	value3	现价	原价	rate
1001	0	精炼金属	2	50070001	100	0	350	500	10000
1002	0	精炼金属	2	50070001	300	0	1050	1500	10000
1003	48	精炼金属	2	50070001	600	0	2100	3000	10000
1004	24	神之金属	2	50100001	100	0	350	500	10000
1005	24	神之金属	2	50100001	300	0	1050	1500	10000
1006	48	神之金属	2	50100001	600	0	2100	3000	10000
1007	18	能力水晶	2	50090001	50	0	525	750	5000
1008	18	能力水晶	2	50090001	100	0	1050	1500	5000
1009	48	能力水晶	2	50090001	200	0	2100	3000	5000
1010	0	永恒巨剑碎片	2	70010401	10	0	700	1000	1000
1011	0	晶铸之枪碎片	2	70010402	10	0	700	1000	1000
1012	0	闪电之光碎片	2	70010403	10	0	700	1000	1000
1013	0	炽光之锤碎片	2	70010404	10	0	700	1000	1000
1014	0	雷鸣手枪碎片	2	70010405	10	0	700	1000	1000
1015	0	混元镰刀碎片	2	70010406	10	0	700	1000	1000
1016	0	永恒战甲碎片	2	70020401	10	0	700	1000	1000
1017	0	晶铸战甲碎片	2	70020402	10	0	700	1000	1000
1018	0	闪电战甲碎片	2	70020403	10	0	700	1000	1000
1019	0	炽光战甲碎片	2	70020404	10	0	700	1000	1000
1020	0	雷鸣战甲碎片	2	70020405	10	0	700	1000	1000
1021	0	混元战甲碎片	2	70020406	10	0	700	1000	1000
1022	0	永恒护手碎片	2	70030401	10	0	700	1000	1000
1023	0	晶铸护手碎片	2	70030402	10	0	700	1000	1000
1024	0	闪电护手碎片	2	70030403	10	0	700	1000	1000
1025	0	炽光护手碎片	2	70030404	10	0	700	1000	1000
1026	0	雷鸣护手碎片	2	70030405	10	0	700	1000	1000
1027	0	混元护手碎片	2	70030406	10	0	700	1000	1000
1028	0	永恒战靴碎片	2	70040401	10	0	700	1000	1000
1029	0	晶铸战靴碎片	2	70040402	10	0	700	1000	1000
1030	0	闪电战靴碎片	2	70040403	10	0	700	1000	1000
1031	0	炽光战靴碎片	2	70040404	10	0	700	1000	1000
1032	0	雷鸣战靴碎片	2	70040405	10	0	700	1000	1000
1033	0	混元战靴碎片	2	70040406	10	0	700	1000	1000
1034	0	荣耀之链碎片A	2	60040011	1	0	280	400	5000
1035	0	荣耀之戒碎片A	2	60040021	1	0	280	400	5000
1036	0	荣耀徽章碎片A	2	60040031	1	0	280	400	5000
1037	0	荣耀护符碎片A	2	60040041	1	0	280	400	5000
1038	48	永恒巨剑	4	10401	0	0	2800	4000	2000
1039	48	晶铸之枪	4	10402	0	0	2800	4000	2000
1040	48	闪电之光	4	10403	0	0	2800	4000	2000
1041	48	炽光之锤	4	10404	0	0	2800	4000	2000
1042	48	雷鸣手枪	4	10405	0	0	2800	4000	2000
1043	48	混元镰刀	4	10406	0	0	2800	4000	2000
1044	48	永恒战甲	4	20401	0	0	2800	4000	2000
1045	48	晶铸战甲	4	20402	0	0	2800	4000	2000
1046	48	闪电战甲	4	20403	0	0	2800	4000	2000
1047	48	炽光战甲	4	20404	0	0	2800	4000	2000
1048	48	雷鸣战甲	4	20405	0	0	2800	4000	2000
1049	48	混元战甲	4	20406	0	0	2800	4000	2000
1050	48	永恒护手	4	30401	0	0	2800	4000	2000
1051	48	晶铸护手	4	30402	0	0	2800	4000	2000
1052	48	闪电护手	4	30403	0	0	2800	4000	2000
1053	48	炽光护手	4	30404	0	0	2800	4000	2000
1054	48	雷鸣护手	4	30405	0	0	2800	4000	2000
1055	48	混元护手	4	30406	0	0	2800	4000	2000
1056	48	永恒战靴	4	40401	0	0	2800	4000	2000
1057	48	晶铸战靴	4	40402	0	0	2800	4000	2000
1058	48	闪电战靴	4	40403	0	0	2800	4000	2000
1059	48	炽光战靴	4	40404	0	0	2800	4000	2000
1060	48	雷鸣战靴	4	40405	0	0	2800	4000	2000
1061	48	混元战靴	4	40406	0	0	2800	4000	2000
1062	24	荣耀之链	6	4001	0	0	840	1200	10000
1063	24	荣耀之戒	6	4002	0	0	840	1200	10000
1064	24	荣耀徽章	6	4003	0	0	840	1200	10000
1065	24	荣耀护符	6	4004	0	0	840	1200	10000
1066	60	大天使之刃碎片	2	70010501	10	0	1750	2500	1000
1067	60	大天使战甲碎片	2	70020501	10	0	1750	2500	1000
1068	60	大天使护手碎片	2	70030501	10	0	1750	2500	1000
1069	60	大天使战靴碎片	2	70040501	10	0	1750	2500	1000
1070	60	大天使之刃碎片	2	70010501	20	0	3500	5000	1000
1071	60	大天使战甲碎片	2	70020501	20	0	3500	5000	1000
1072	60	大天使护手碎片	2	70030501	20	0	3500	5000	1000
1073	60	大天使战靴碎片	2	70040501	20	0	3500	5000	1000
1074	48	明光之链碎片A	2	60050011	1	0	595	850	5000
1075	48	明光之戒碎片A	2	60050021	1	0	595	850	5000
1076	48	明光徽章碎片A	2	60050031	1	0	595	850	5000
1077	48	明光护符碎片A	2	60050041	1	0	595	850	5000
1078	60	大天使之刃	4	10501	0	0	10500	15000	2000
1079	60	大天使战甲	4	20501	0	0	10500	15000	2000
1080	60	大天使护手	4	30501	0	0	10500	15000	2000
1081	60	大天使战靴	4	40501	0	0	10500	15000	2000
1082	48	明光之链	6	5001	0	0	1225	1750	10000
1083	48	明光之戒	6	5002	0	0	1225	1750	10000
1084	48	明光徽章	6	5003	0	0	1225	1750	10000
1085	48	明光护符	6	5004	0	0	1225	1750	10000
