INT	INT	STRING	INT	INT	INT	INT	INT	INT
id	星数	名字	type	value1	value2	value3	价格	折扣
1001	5	金币	1	1	100000	0	100	1
1002	10	精金战甲	4	20301	0	0	1000	1
1003	15	钻石	1	2	500	0	500	1
1004	20	金币	1	1	150000	0	150	1
1005	25	精炼金属	2	50070001	40	0	200	1
1006	30	钻石	1	2	500	0	500	1
1007	35	金币	1	1	200000	0	200	1
1008	40	精炼金属	2	50070001	100	0	500	1
1009	45	神之金属	2	50100001	100	0	500	1
1010	50	精炼金属	2	50070001	200	0	1000	1
1011	55	神之金属	2	50100001	200	0	1000	1
1012	60	永恒战甲	4	20401	0	0	4000	1
1013	65	金币	1	1	500000	0	500	1
1014	70	钻石	1	2	500	0	500	1
1015	75	精炼金属	2	50070001	300	0	1500	1
1016	80	神之金属	2	50100001	300	0	1500	1
1017	85	金币	1	1	1000000	0	1000	1
1018	90	钻石	1	2	500	0	500	1
1019	95	精炼金属	2	50070001	500	0	2500	1
1020	100	神之金属	2	50100001	500	0	2500	1
