INT	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
id	name	场景	初始剧情	触发role_id	rate	类型 1随机 2固定	固定选项1	代号	结束剧情1	结果1	固定选项2	代号	结束剧情2	结果2	固定选项3	代号	结束剧情3	结果3
1001	明日少尉01	yhcj_xlc001	yuehui_1001_0	201	60	1												
1002	明日少尉02	yhcj_xlc001	yuehui_1002_0	201	60	1												
1003	明日少尉03	yhcj_xlc001	yuehui_1003_0	201	40	2	真的吗，我突然感觉自己好帅	xinqing_choice_1003_1	yuehui_1003_1	上升1档	我也觉得和你配合感觉最棒	xinqing_choice_1003_2	yuehui_1003_2	上升2档	真的不用啦，我不想你受伤	xinqing_choice_1003_3	yuehui_1003_3	下降1档
1004	明日少尉04	yhcj_fd001	yuehui_1004_0	201	60	1												
1005	明日少尉05	yhcj_fd001	yuehui_1005_0	201	60	1												
1006	明日少尉06	yhcj_fd001	yuehui_1006_0	201	40	2	噗！你还怕这个啊	xinqing_choice_1006_1	yuehui_1006_1		交给我处理掉吧	xinqing_choice_1006_2	yuehui_1006_2		神马？我也好怕！	xinqing_choice_1006_3	yuehui_1006_3	
1007	明日少尉07	yhcj_gy001	yuehui_1007_0	201	60	1												
1008	明日少尉08	yhcj_gy001	yuehui_1008_0	201	60	1												
1009	明日少尉09	yhcj_gy001	yuehui_1009_0	201	40	2	那我就收下了，帮大忙了	xinqing_choice_1009_1	yuehui_1009_1		你那么在意啊，我会珍惜的	xinqing_choice_1009_2	yuehui_1009_2		不用了啊，小事而已	xinqing_choice_1009_3	yuehui_1009_3	
1010	明日少尉10	yhcj_gc001	yuehui_1010_0	201	60	1												
1011	明日少尉11	yhcj_gc001	yuehui_1011_0	201	60	1												
1012	明日少尉12	yhcj_gc001	yuehui_1012_0	201	40	2	能不能休息下？	xinqing_choice_1012_1	yuehui_1012_1		刚才我是开玩笑的	xinqing_choice_1012_2	yuehui_1012_2		女人真是太恐怖啦	xinqing_choice_1012_3	yuehui_1012_3	
1013	明日少尉13	yhbj_tsg001	yuehui_1013_0	201	60	1												
1014	明日少尉14	yhbj_tsg001	yuehui_1014_0	201	60	1												
1015	明日少尉15	yhbj_tsg001	yuehui_1015_0	201	40	2	为明日少尉加油	xinqing_choice_1015_1	yuehui_1015_1		帮助明日少尉一起对抗敌人	xinqing_choice_1015_2	yuehui_1015_2		抢在明日少尉之前消灭敌人	xinqing_choice_1015_3	yuehui_1015_3	
2001	斗人01	yhcj_xlc001	yuehui_2001_0	202	60	1												
2002	斗人02	yhcj_xlc001	yuehui_2002_0	202	60	1												
2003	斗人03	yhcj_xlc001	yuehui_2003_0	202	40	2	我错啦，不要哭，乖哦	xinqing_choice_2003_1	yuehui_2003_1		竟然接下了我这刀，厉害	xinqing_choice_2003_2	yuehui_2003_2		噗！斗人少尉哭啦，哈哈	xinqing_choice_2003_3	yuehui_2003_3	
2004	斗人04	yhcj_fd001	yuehui_2004_0	202	60	1												
2005	斗人05	yhcj_fd001	yuehui_2005_0	202	60	1												
2006	斗人06	yhcj_fd001	yuehui_2006_0	202	40	2	这个真不是我说的	xinqing_choice_2006_1	yuehui_2006_1		不要不小心输给我哦	xinqing_choice_2006_2	yuehui_2006_2		拔腿就跑	xinqing_choice_2006_3	yuehui_2006_3	
2007	斗人07	yhcj_gy001	yuehui_2007_0	202	60	1												
2008	斗人08	yhcj_gy001	yuehui_2008_0	202	60	1												
2009	斗人09	yhcj_gy001	yuehui_2009_0	202	40	2	你说的好有道理我竟无言以对	xinqing_choice_2009_1	yuehui_2009_1		比起杀怪能见到教官更重要	xinqing_choice_2009_2	yuehui_2009_2		我只想做个安静的美男子	xinqing_choice_2009_3	yuehui_2009_3	
2010	斗人10	yhcj_gc001	yuehui_2010_0	202	60	1												
2011	斗人11	yhcj_gc001	yuehui_2011_0	202	60	1												
2012	斗人12	yhcj_gc001	yuehui_2012_0	202	40	2	请斗人吃点心	xinqing_choice_2012_1	yuehui_2012_1		送斗人一个头饰	xinqing_choice_2012_2	yuehui_2012_2		你就那么想看我的娇躯吗	xinqing_choice_2012_3	yuehui_2012_3	
2013	斗人13	yhbj_tsg001	yuehui_2013_0	202	60	1												
2014	斗人14	yhbj_tsg001	yuehui_2014_0	202	60	1												
