INT	FLOAT	FLOAT
等级	HP	HP增量
35	3000000	600000
36	3200000	640000
37	3400000	680000
38	3600000	720000
39	3800000	760000
40	4000000	800000
41	4650000	930000
42	5300000	1060000
43	6000000	1200000
44	7500000	1500000
45	9000000	1800000
46	10500000	2100000
47	12000000	2400000
48	14000000	2800000
49	14400000	2880000
50	14800000	2960000
51	15200000	3040000
52	15600000	3120000
53	16000000	3200000
54	16500000	3300000
55	17000000	3400000
56	17500000	3500000
57	18000000	3600000
58	18500000	3700000
59	19000000	3800000
60	20000000	4000000
61	21000000	4200000
62	22000000	4400000
63	23000000	4600000
64	24000000	4800000
65	25000000	5000000
66	26000000	5200000
67	27000000	5400000
68	28000000	5600000
69	29000000	5800000
70	30000000	6000000
71	31000000	6200000
72	32000000	6400000
73	33000000	6600000
74	34000000	6800000
75	35000000	7000000
76	36000000	7200000
77	37000000	7400000
78	38000000	7600000
79	39000000	7800000
80	40000000	8000000
81	42000000	8400000
82	44000000	8800000
83	46000000	9200000
84	48000000	9600000
85	50000000	10000000
86	52000000	10400000
87	55000000	11000000
88	58000000	11600000
89	61000000	12200000
90	64000000	12800000
91	67000000	13400000
92	70000000	14000000
93	73000000	14600000
94	76000000	15200000
95	80000000	16000000
96	84000000	16800000
97	88000000	17600000
98	92000000	18400000
99	96000000	19200000
100	100000000	20000000
101	105000000	21000000
102	110000000	22000000
103	115000000	23000000
104	120000000	24000000
105	125000000	25000000
106	130000000	26000000
107	135000000	27000000
108	140000000	28000000
109	145000000	29000000
110	150000000	30000000
111	155000000	31000000
112	160000000	32000000
113	165000000	33000000
114	170000000	34000000
115	175000000	35000000
116	180000000	36000000
117	185000000	37000000
118	190000000	38000000
119	195000000	39000000
120	200000000	40000000
121	205000000	41000000
122	210000000	42000000
123	215000000	43000000
124	220000000	44000000
125	225000000	45000000
126	230000000	46000000
127	235000000	47000000
128	240000000	48000000
129	245000000	49000000
130	250000000	50000000
131	255000000	51000000
132	260000000	52000000
133	265000000	53000000
134	270000000	54000000
135	275000000	55000000
136	280000000	56000000
137	285000000	57000000
138	290000000	58000000
139	295000000	59000000
140	300000000	60000000
141	305000000	61000000
142	310000000	62000000
143	315000000	63000000
144	320000000	64000000
145	325000000	65000000
146	330000000	66000000
147	335000000	67000000
148	340000000	68000000
149	345000000	69000000
150	350000000	70000000
