INT	INT	INT	INT	INT	INT	INT	INT
id	name	type	数量	道具权重	钻石权重	友情权重	几次内不出现
30010004	强尼团长碎片	1	1	1043375	581250	847500	
30010023	阿米巴碎片	1	1	1043375	581250	847500	
30010026	苍破将军碎片	1	1	1043375	581250	847500	
30010037	白银神王碎片	1	1	1043375	581250	847500	
30010041	青鬼碎片	1	1	1043375	581250	847500	
30010043	幸运兔碎片	1	1	1043375	581250	847500	
30010046	猫又碎片	1	1	1043375	581250	847500	
30010058	赤鬼碎片	1	1	1043375	581250	847500	
30010100	穿越者碎片	1	1	75000	200000	125000	
30010101	钢妹碎片	1	1	75000	200000	125000	
30010006	强袭天使碎片	1	1	75000	200000	125000	
30010007	炮击天使碎片	1	1	75000	200000	125000	
30010008	斩击天使碎片	1	1	75000	200000	125000	
30010024	女武神碎片	1	1	75000	200000	125000	
30010027	机甲将军碎片	1	1	75000	200000	125000	
30010035	机械女仆碎片	1	1	75000	200000	125000	
30010036	黄金神王碎片	1	1	75000	200000	125000	
30010042	青鬼王碎片	1	1	75000	200000	125000	
30010049	夜魇碎片	1	1	75000	200000	125000	
30010052	月兔碎片	1	1	75000	200000	125000	
30010053	欲望君主碎片	1	1	75000	200000	125000	
30010055	妖狐少女碎片	1	1	75000	200000	125000	
30010057	赤鬼王碎片	1	1	75000	200000	125000	
30010059	白蛇妖碎片	1	1	75000	200000	125000	
30010062	雪女碎片	1	1	75000	200000	125000	
30010066	九尾妖狐碎片	1	1	75000	200000	125000	
30010067	鬼巫女碎片	1	1	75000	200000	125000	
30010069	座敷童子碎片	1	1	75000	200000	125000	
30010201	明日少尉碎片	1	1	7500	60000	32000	
30010202	斗人碎片	1	1	7500	60000	32000	
30010203	炮姐碎片	1	1	7500	60000	32000	
30010204	黑色射手碎片	1	1	7500	60000	32000	
30010205	波波利碎片	1	1	7500	60000	32000	
30010206	zero碎片	1	1	7500	60000	32000	
30010207	妖妄之梦碎片	1	1	7500	60000	32000	
30010208	幽灵公主碎片	1	1	7500	60000	32000	
30010209	红白碎片	1	1	7500	60000	32000	
30010211	C.C碎片	1	1	7500	60000	32000	
30010212	初音战士碎片	1	1	7500	60000	32000	
30010213	奈亚酱碎片	1	1	7500	60000	32000	
30010214	黑子碎片	1	1	7500	60000	32000	
30010215	紫妈碎片	1	1	7500	60000	32000	
30010401	灼眼公主碎片	1	1	7500	60000	32000	
30010402	地狱蝴蝶丸碎片	1	1	7500	60000	32000	
30010403	一卡螺丝碎片	1	1	7500	60000	32000	
30010404	火女碎片	1	1	7500	60000	32000	
30010405	女仆长碎片	1	1	7500	60000	32000	
30010406	双枪少女碎片	1	1	7500	60000	32000	
30010400	骑士女皇碎片	1	1	576	28846	15384	10
30010500	阿丝奈碎片	1	1	576	28846	15384	10
30010501	狂姗碎片	1	1	576	28846	15384	30
30010502	召唤师碎片	1	1	11	577	307	300
30010503	三竹立碎片	1	1	11	577	307	300
30010504	蝴蝶碎片	1	1	11	577	307	300
30010505	白音碎片	1	1	11	577	307	300
