INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	描述	代号	类型 1第def1天登入 2折扣贩售 3累计充值def1	def1	def2	def3	def4	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
1001	上线第1天领取	t_comeback_1001	1	1				1	2	300	0	2	10010002	10	0	2	10010007	10	0
1002	上线第1天领取	t_comeback_1002	1	1				1	1	10000000	0	1	7	120000	0	2	10010062	6	0
1003	上线第1天领取	t_comeback_1003	1	1				2	50140001	200	0	2	10010009	60	0	2	50020001	60	0
1004	上线第2天领取	t_comeback_1004	1	2				1	2	300	0	2	10010002	10	0	2	10010007	10	0
1005	上线第3天领取	t_comeback_1005	1	3				1	2	300	0	2	10010002	10	0	2	10010007	10	0
2001	体力药水	t_comeback_2001	2	30	100	40		2	10010002	1	0								
2002	能量药水	t_comeback_2002	2	30	100	40		2	10010007	1	0								
2003	金币	t_comeback_2003	2	400	40	30		1	1	1000000	0								
2004	荣誉	t_comeback_2004	2	20	20	20		1	14	1000	0								
2005	魔王勋章	t_comeback_2005	2	20	20	6		1	13	1000	0								
2006	军团贡献	t_comeback_2006	2	20	20	8		1	10	1000	0								
2007	猎人奖章	t_comeback_2007	2	10	20	14		1	22	500	0								
2008	冰晶	t_comeback_2008	2	100	20	8	65	1	24	500	0								
2009	数码芯片	t_comeback_2009	2	10	20	20	70	1	27	500	0								
2010	勇者勋章	t_comeback_2010	2	400	40	30		2	40040001	1000	0								
2011	精炼金属	t_comeback_2011	2	900	45	30		2	50070001	400	0								
2012	能力水晶	t_comeback_2012	2	450	30	20		2	50090001	100	0								
2013	神之金属	t_comeback_2013	2	350	35	20		2	50100001	200	0								
2014	队形强化装置	t_comeback_2014	2	360	40	20		2	50140001	300	0								
2015	红色回忆箱	t_comeback_2015	2	2600	65	5		2	10010086	1	0								
2016	红色饰品碎片礼包	t_comeback_2016	2	490	70	5		2	10010081	1	0								
2017	红色装备碎片礼包	t_comeback_2017	2	1200	80	60		2	10010087	6	0								
2018	红色伙伴礼包	t_comeback_2018	2	5250	70	2		2	10010067	1	0								
3001	每日累计充值6元	t_comeback_3001	3	60				2	10010002	10	0	2	10010007	10	0				
3002	每日累计充值100元	t_comeback_3002	3	1000				2	50090001	1150	0								
3003	每日累计充值200元	t_comeback_3003	3	2000				2	50100001	1588	0								
3004	每日累计充值350元	t_comeback_3004	3	3500				2	10010085	1	0	2	10010086	1	0				
3005	每日累计充值500元	t_comeback_3005	3	5000				2	10010067	1	0								
