INT	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT
ID	NAME	代号	颜色 颜色 0白 1绿 2蓝 3紫 4橙 5红 6金	type	icon	孔数	出售价格	出售精华	attr1	value1	jl_attr1	jl_value1	jl_attr2	jl_value2	随机属性1	数值	数值	随机属性2	数值	数值	随机属性3	数值	数值	随机属性4	数值	数值	随机属性5	数值	数值
10101	狂野巨剑	t_equip_name_10101	1	1	icon_zb_wq003a	0	80	0	2	120	2	24	11	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
10102	钢化之枪	t_equip_name_10102	1	1	icon_zb_wq001a	0	80	0	2	120	2	24	11	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
10103	极速之光	t_equip_name_10103	1	1	icon_zb_wq002a	0	80	0	2	120	2	24	11	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
10104	守护之锤	t_equip_name_10104	1	1	icon_ymlv_wp	0	80	0	2	120	2	24	11	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
10105	疾风手枪	t_equip_name_10105	1	1	icon_jflv_wp	0	80	0	2	120	2	24	11	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
10106	毁灭镰刀	t_equip_name_10106	1	1	icon_hmlv_wp	0	80	0	2	120	2	24	11	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
10201	活力巨剑	t_equip_name_10201	2	1	icon_zb_wq003b	1	1000	0	2	240	2	48	11	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
10202	合金之枪	t_equip_name_10202	2	1	icon_zb_wq001b	1	1000	0	2	240	2	48	11	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
10203	迅影之光	t_equip_name_10203	2	1	icon_zb_wq002b	1	1000	0	2	240	2	48	11	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
10204	暮冰之锤	t_equip_name_10204	2	1	icon_ymlan_wp	1	1000	0	2	240	2	48	11	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
