INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
level	绿装精炼石	绿装金币	蓝装精炼石	蓝装金币	紫装精炼石	紫装金币	金装精炼石	金装金币	红装精炼石	红装金币
1	2	20	4	40	6	60	8	80	10	100
2	3	30	6	60	9	90	12	120	15	150
3	4	40	8	80	12	120	16	160	20	200
4	5	60	10	120	15	180	20	240	25	300
5	6	90	12	180	18	270	24	360	30	450
6	8	130	16	260	24	390	32	520	40	650
7	10	180	20	360	30	540	40	720	50	900
8	12	260	24	520	36	780	48	1040	60	1300
9	16	340	32	680	48	1020	64	1360	80	1700
10	20	460	40	920	60	1380	80	1840	100	2300
11	24	590	48	1180	72	1770	96	2360	120	2950
12	28	740	56	1480	84	2220	112	2960	140	3700
13	32	930	64	1860	96	2790	128	3720	160	4650
14	36	940	72	1880	108	2820	144	3760	180	4700
15	42	1380	84	2760	126	4140	168	5520	210	6900
16	48	1660	96	3320	144	4980	192	6640	240	8300
17	64	1980	128	3960	192	5940	256	7920	320	9900
18	70	2330	140	4660	210	6990	280	9320	350	11650
19	78	2720	156	5440	234	8160	312	10880	390	13600
20	88	3160	176	6320	264	9480	352	12640	440	15800
21	96	3640	192	7280	288	10920	384	14560	480	18200
22	104	4160	208	8320	312	12480	416	16640	520	20800
23	116	4740	232	9480	348	14220	464	18960	580	23700
24	124	5360	248	10720	372	16080	496	21440	620	26800
25	136	6040	272	12080	408	18120	544	24160	680	30200
26	146	6770	292	13540	438	20310	584	27080	730	33850
27	158	7560	316	15120	474	22680	632	30240	790	37800
28	168	8400	336	16800	504	25200	672	33600	840	42000
29	184	9320	368	18640	552	27960	736	37280	920	46600
30	194	10290	388	20580	582	30870	776	41160	970	51450
31	208	11330	416	22660	624	33990	832	45320	1040	56650
32	222	12440	444	24880	666	37320	888	49760	1110	62200
33	236	13620	472	27240	708	40860	944	54480	1180	68100
34	250	14870	500	29740	750	44610	1000	59480	1250	74350
35	266	16200	532	32400	798	48600	1064	64800	1330	81000
36	280	17600	560	35200	840	52800	1120	70400	1400	88000
37	296	19080	592	38160	888	57240	1184	76320	1480	95400
38	312	20640	624	41280	936	61920	1248	82560	1560	103200
39	328	22280	656	44560	984	66840	1312	89120	1640	111400
40	346	24010	692	48020	1038	72030	1384	96040	1730	120050
41	364	25830	728	51660	1092	77490	1456	103320	1820	129150
42	382	27740	764	55480	1146	83220	1528	110960	1910	138700
43	400	29740	800	59480	1200	89220	1600	118960	2000	148700
44	418	31830	836	63660	1254	95490	1672	127320	2090	159150
45	438	34020	876	68040	1314	102060	1752	136080	2190	170100
46	456	36300	912	72600	1368	108900	1824	145200	2280	181500
47	478	38690	956	77380	1434	116070	1912	154760	2390	193450
48	498	41180	996	82360	1494	123540	1992	164720	2490	205900
49	520	43780	1040	87560	1560	131340	2080	175120	2600	218900
50	540	46480	1080	92960	1620	139440	2160	185920	2700	232400
