INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
共振等级	条件等级	"type（1装备强化共振,2饰品强化共振，3装备精炼共振，4饰品精炼共振，5技能共振，6后援等级共振，7后援突破共振)"	属性1	值1	属性2	值2	属性3	值3	属性4	值4	属性5	值5	属性6	值6
1	5	1	1	1600	2	160	3	100	4	100	5	100		
2	10	1	1	3200	2	320	3	200	4	200	5	200		
3	15	1	1	4800	2	480	3	300	4	300	5	300		
4	20	1	1	6400	2	640	3	400	4	400	5	400		
5	25	1	1	8000	2	800	3	500	4	500	5	500	22	1
6	30	1	1	9600	2	960	3	600	4	600	5	600	22	1
7	35	1	1	11200	2	1120	3	700	4	700	5	700	22	1
8	40	1	1	12800	2	1280	3	800	4	800	5	800	22	1
9	45	1	1	14400	2	1440	3	900	4	900	5	900	22	1
10	50	1	1	16000	2	1600	3	1000	4	1000	5	1000	22	1
11	55	1	1	17600	2	1760	3	1100	4	1100	5	1100	22	1
12	60	1	1	19200	2	1920	3	1200	4	1200	5	1200	22	1
13	65	1	1	20800	2	2080	3	1300	4	1300	5	1300	22	1
14	70	1	1	22400	2	2240	3	1400	4	1400	5	1400	22	1
15	75	1	1	24000	2	2400	3	1500	4	1500	5	1500	22	1
16	80	1	1	25600	2	2560	3	1600	4	1600	5	1600	22	1
17	85	1	1	27200	2	2720	3	1700	4	1700	5	1700	22	1
18	90	1	1	28800	2	2880	3	1800	4	1800	5	1800	22	1
19	95	1	1	30400	2	3040	3	1900	4	1900	5	1900	22	1
20	100	1	1	32000	2	3200	3	2000	4	2000	5	2000	22	1
21	105	1	1	33600	2	3360	3	2100	4	2100	5	2100	22	1
22	110	1	1	35200	2	3520	3	2200	4	2200	5	2200	22	1
23	115	1	1	36800	2	3680	3	2300	4	2300	5	2300	22	1
24	120	1	1	38400	2	3840	3	2400	4	2400	5	2400	22	1
25	125	1	1	40000	2	4000	3	2500	4	2500	5	2500	22	1
26	130	1	1	41600	2	4160	3	2600	4	2600	5	2600	22	1
27	135	1	1	43200	2	4320	3	2700	4	2700	5	2700	22	1
28	140	1	1	44800	2	4480	3	2800	4	2800	5	2800	22	1
29	145	1	1	46400	2	4640	3	2900	4	2900	5	2900	22	1
30	150	1	1	48000	2	4800	3	3000	4	3000	5	3000	22	1
1	5	2	1	1600	2	200	3	100	4	100	5	100		
2	10	2	1	3200	2	400	3	200	4	200	5	200		
3	15	2	1	4800	2	600	3	300	4	300	5	300		
4	20	2	1	6400	2	800	3	400	4	400	5	400		
5	25	2	1	8000	2	1000	3	500	4	500	5	500		
6	30	2	1	9600	2	1200	3	600	4	600	5	600		
7	35	2	1	11200	2	1400	3	700	4	700	5	700		
8	40	2	1	12800	2	1600	3	800	4	800	5	800		
9	45	2	1	14400	2	1800	3	900	4	900	5	900		
10	50	2	1	16000	2	2000	3	1000	4	1000	5	1000		
11	55	2	1	17600	2	2200	3	1100	4	1100	5	1100		
12	60	2	1	19200	2	2400	3	1200	4	1200	5	1200		
13	65	2	1	20800	2	2600	3	1300	4	1300	5	1300		
14	70	2	1	22400	2	2800	3	1400	4	1400	5	1400		
15	75	2	1	24000	2	3000	3	1500	4	1500	5	1500		
16	80	2	1	25600	2	3200	3	1600	4	1600	5	1600		
1	2	3	20	1	21	1								
2	4	3	20	2	21	2								
3	6	3	20	3	21	3								
4	8	3	20	4	21	4								
5	10	3	20	5	21	5								
6	15	3	20	6	21	6								
7	20	3	20	7	21	7								
8	25	3	20	8	21	8								
9	30	3	20	9	21	9								
10	35	3	20	10	21	10								
11	40	3	20	11	21	11								
12	45	3	20	12	21	12								
13	50	3	20	13	21	13								
1	1	4	20	1.5	21	1.5								
2	2	4	20	3	21	3								
3	3	4	20	4.5	21	4.5								
4	5	4	20	6	21	6								
5	7	4	20	7.5	21	7.5								
6	9	4	20	9	21	9								
7	11	4	20	10.5	21	10.5								
8	13	4	20	12	21	12								
9	15	4	20	13.5	21	13.5								
10	17	4	20	15	21	15								
11	19	4	20	16.5	21	16.5								
12	20	4	20	18	21	18								
1	5	5	6	2	7	2	8	2	9	2	10	2		
2	10	5	6	4	7	4	8	4	9	4	10	4		
3	15	5	6	6	7	6	8	6	9	6	10	6		
4	20	5	6	8	7	8	8	8	9	8	10	8		
5	25	5	6	10	7	10	8	10	9	10	10	10		
6	30	5	6	12	7	12	8	12	9	12	10	12		
7	35	5	6	14	7	14	8	14	9	14	10	14		
8	40	5	6	16	7	16	8	16	9	16	10	16		
9	45	5	6	18	7	18	8	18	9	18	10	18		
10	50	5	6	20	7	20	8	20	9	20	10	20		
11	55	5	6	22	7	22	8	22	9	22	10	22		
12	60	5	6	24	7	24	8	24	9	24	10	24		
13	65	5	6	26	7	26	8	26	9	26	10	26		
14	70	5	6	28	7	28	8	28	9	28	10	28		
15	75	5	6	30	7	30	8	30	9	30	10	30		
16	80	5	6	32	7	32	8	32	9	32	10	32		
17	85	5	6	34	7	34	8	34	9	34	10	34		
18	90	5	6	36	7	36	8	36	9	36	10	36		
19	95	5	6	38	7	38	8	38	9	38	10	38		
20	100	5	6	40	7	40	8	40	9	40	10	40		
21	105	5	6	42	7	42	8	42	9	42	10	42		
22	110	5	6	44	7	44	8	44	9	44	10	44		
23	115	5	6	46	7	46	8	46	9	46	10	46		
24	120	5	6	48	7	48	8	48	9	48	10	48		
25	125	5	6	50	7	50	8	50	9	50	10	50		
26	130	5	6	52	7	52	8	52	9	52	10	52		
27	135	5	6	54	7	54	8	54	9	54	10	54		
28	140	5	6	56	7	56	8	56	9	56	10	56		
29	145	5	6	58	7	58	8	58	9	58	10	58		
30	150	5	6	60	7	60	8	60	9	60	10	60		
31	155	5	6	62	7	62	8	62	9	62	10	62		
32	160	5	6	64	7	64	8	64	9	64	10	64		
33	165	5	6	66	7	66	8	66	9	66	10	66		
34	170	5	6	68	7	68	8	68	9	68	10	68		
35	175	5	6	70	7	70	8	70	9	70	10	70		
36	180	5	6	72	7	72	8	72	9	72	10	72		
37	185	5	6	74	7	74	8	74	9	74	10	74		
38	190	5	6	76	7	76	8	76	9	76	10	76		
39	195	5	6	78	7	78	8	78	9	78	10	78		
40	200	5	6	80	7	80	8	80	9	80	10	80		
41	205	5	6	82	7	82	8	82	9	82	10	82		
42	210	5	6	84	7	84	8	84	9	84	10	84		
43	215	5	6	86	7	86	8	86	9	86	10	86		
44	220	5	6	88	7	88	8	88	9	88	10	88		
45	225	5	6	90	7	90	8	90	9	90	10	90		
46	230	5	6	92	7	92	8	92	9	92	10	92		
47	235	5	6	94	7	94	8	94	9	94	10	94		
48	240	5	6	96	7	96	8	96	9	96	10	96		
49	245	5	6	98	7	98	8	98	9	98	10	98		
50	250	5	6	100	7	100	8	100	9	100	10	100		
1	10	6	1	1000	2	50	29	50						
2	20	6	1	2000	2	100	29	100	7	10	30	10		
3	30	6	1	3000	2	150	29	150	7	10	30	10		
4	40	6	1	4000	2	200	29	200	7	20	30	20		
5	45	6	1	5000	2	250	29	250	7	20	30	20		
6	50	6	1	6000	2	300	29	300	7	20	30	20		
7	55	6	1	7000	2	350	29	350	7	20	30	20		
8	60	6	1	8000	2	400	29	400	7	30	30	30		
9	65	6	1	9000	2	450	29	450	7	30	30	30		
10	70	6	1	10000	2	500	29	500	7	30	30	30		
