INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
id	名字	代号	type	value1	value2	value3	贡献值	钻石	公会等级
100201	明日少尉时装	t_guild_shop_ex_100201	5	201003	0	0	80000	2500	4
100202	斗人时装	t_guild_shop_ex_100202	5	202003	0	0	80000	2500	4
100203	炮姐时装	t_guild_shop_ex_100203	5	203003	0	0	80000	2500	4
100204	黑色射手时装	t_guild_shop_ex_100204	5	204003	0	0	80000	2500	4
100205	波波利时装	t_guild_shop_ex_100205	5	205003	0	0	80000	2500	4
100206	zero时装	t_guild_shop_ex_100206	5	206003	0	0	80000	2500	4
100207	妖妄之梦时装	t_guild_shop_ex_100207	5	207003	0	0	80000	2500	4
100208	幽灵公主时装	t_guild_shop_ex_100208	5	208003	0	0	80000	2500	4
100209	红白时装	t_guild_shop_ex_100209	5	209003	0	0	80000	2500	4
100211	C.C时装	t_guild_shop_ex_100211	5	211003	0	0	80000	2500	4
100212	初音战士时装	t_guild_shop_ex_100212	5	212003	0	0	80000	2500	4
200100	冰封	t_guild_shop_ex_200100	7	2001	0	0	10000	500	6
200200	鸣风舞	t_guild_shop_ex_200200	7	3002	0	0	100000	3000	6
200300	万花筒	t_guild_shop_ex_200300	7	3001	0	0	200000	5000	6
