INT	INT	INT	INT	INT
id	name	type	权重	幸运点
90010006	回忆录·强袭天使	1	10000	50
90010007	回忆录·炮击天使	1	10000	50
90010008	回忆录·斩击天使	1	10000	50
90010024	回忆录·女武神	1	10000	50
90010027	回忆录·机甲将军	1	10000	50
90010035	回忆录·机械女仆	1	10000	50
90010036	回忆录·黄金神王	1	10000	50
90010042	回忆录·青鬼王	1	10000	50
90010049	回忆录·夜魇	1	10000	50
90010052	回忆录·月兔	1	10000	50
90010053	回忆录·欲望君主	1	10000	50
90010055	回忆录·妖狐少女	1	10000	50
90010057	回忆录·赤鬼王	1	10000	50
90010059	回忆录·白蛇妖	1	10000	50
90010062	回忆录·雪女	1	10000	50
90010066	回忆录·九尾妖狐	1	10000	50
90010067	回忆录·鬼巫女	1	10000	50
90010069	回忆录·座敷童子	1	10000	50
90010100	回忆录·穿越者	1	10000	50
90010101	回忆录·钢妹	1	10000	50
90010201	回忆录·明日少尉	2	100	100
90010202	回忆录·斗人	2	100	100
90010203	回忆录·炮姐	2	100	100
90010204	回忆录·黑色射手	2	100	100
90010205	回忆录·波波利	2	100	100
90010206	回忆录·zero	2	100	100
90010207	回忆录·妖妄之梦	2	100	100
90010208	回忆录·幽灵公主	2	100	100
90010209	回忆录·红白	2	100	100
90010211	回忆录·C.C	2	100	100
90010212	回忆录·初音战士	2	100	100
90010213	回忆录·紫妈	2	100	100
90010214	回忆录·奈亚酱	2	100	100
90010215	回忆录·黑子	2	100	100
90010401	回忆录·灼眼公主	2	100	100
90010402	回忆录·魔剑士	2	100	100
90010403	回忆录·一卡螺丝	2	100	100
90010404	回忆录·火女	2	100	100
90010405	回忆录·女仆长	2	100	100
90010406	回忆录·双枪少女	2	100	100
90010400	回忆录·骑士女皇	2	50	200
90010500	回忆录·阿丝奈	2	50	200
90010501	回忆录·狂三	2	50	200
90010502	回忆录·赤色恶魔	2	50	200
90010503	回忆录·大姐头	2	50	200
90010504	回忆录·歌姬	2	50	200
