INT	STRING	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT
ID	name	代号	章节	对话	代号	回忆1	回忆2	回忆3	回忆4	回忆5	回忆值	attr	value1	value2	attr	value1	value2	attr	value1	value2	attr	value1	value2
10001	挥舞不能	t_huiyi_sub_name_10001	1	斩击天使第一次接受新武器的适应性训练，跟我抱怨了好几个小时武器太重之类的事情	t_huiyi_sub_lang_10001	90010008					1	4	30	12									
10002	勾肩搭背	t_huiyi_sub_name_10002	1	一段时间之后我已经和赤鬼一族打成一片了，天天勾肩搭背地出去吃夜宵，似乎她们已经把我当成了女孩子	t_huiyi_sub_lang_10002	90010057					1	3	30	12									
10003	毁天灭地	t_huiyi_sub_name_10003	1	今天她进行了对靶的射击训练，我眼睁睁看着她把一座建筑周围的土地变成人间炼狱，然后建筑本身安然无恙…	t_huiyi_sub_lang_10003	90010007					1	3	30	12									
10004	黑夜恐惧	t_huiyi_sub_name_10004	1	夜魇失去了原有的形态，开始遁入黑暗中，这使得我陷入了很长时间对黑夜的恐惧	t_huiyi_sub_lang_10004	90010049					1	1	300	120									
10005	满天乱飞	t_huiyi_sub_name_10005	1	炮击天使接受了第一次人机配合测验，但是她的精神指数和炮台的契合度不是很好，我安慰了很久，但是她依旧不开心	t_huiyi_sub_lang_10005	90010007					1	5	30	12									
10006	技艺超群	t_huiyi_sub_name_10006	1	鬼巫女已经可以一刀展开空中的三个水果了，于是拉着我玩了一下午的真实版水果忍者。晚饭？当然是水果拼盘咯	t_huiyi_sub_lang_10006	90010067					1	5	30	12									
10007	夜影迷踪	t_huiyi_sub_name_10007	1	夜魇到底还是个少女，老是拉着我玩捉迷藏，结果一晚上我没找到她。第二天她跟我说昨夜其实刚开始玩没多久就困了，自己先回去睡觉了，淦	t_huiyi_sub_lang_10007	90010049					1	3	30	12									
10008	剁手技能	t_huiyi_sub_name_10008	1	意念转化的能力实现，使得欲望君主开始收集欲望并将其转化为基础能量，她取走了我买买买的欲望，这点让我很高兴呢	t_huiyi_sub_lang_10008	90010053					1	4	30	12									
10009	战斗本能	t_huiyi_sub_name_10009	1	据说兔子的战斗能力都很强的，打架都是直接抄着板砖上，不过我们这里的这只兔子…我看也差不多	t_huiyi_sub_lang_10009	90010052					1	31	30	12									
10010	力度差异	t_huiyi_sub_name_10010	1	最近我能明显感受到机械女仆经过改装以后整个力度控制都不协调了，总是一脸茫然地看着被自己捏碎的咖啡杯，还好我没有拜托她给我揉肩	t_huiyi_sub_lang_10010	90010035					1	31	30	12									
10011	王者之心	t_huiyi_sub_name_10011	1	欲望君主在收集欲望的过程中吸收了一些奇怪的欲望，居然问我是不是她的master，我简直不知道怎么回答	t_huiyi_sub_lang_10011	90010053					1	32	30	12									
10012	体能训练	t_huiyi_sub_name_10012	1	现在的斩击天使已经能够熟练地举着武器冲刺斩击了，不过现在她扑我身上的时候我也能断好几根骨头…	t_huiyi_sub_lang_10012	90010008					1	4	30	12									
10013	敛财属性	t_huiyi_sub_name_10013	1	经历修行之后座敷童子，逐渐发现了自身能力的改变，我倒是觉得自己的钱包似乎鼓了起来	t_huiyi_sub_lang_10013	90010069					1	3	30	12									
10014	金毛妖狐	t_huiyi_sub_name_10014	1	妖狐的毛色逐渐从白色变为金色，能力发生跃迁式增长，我愣是没有认出来她	t_huiyi_sub_lang_10014	90010066					1	1	300	120									
10015	雨巷回忆	t_huiyi_sub_name_10015	1	这位从来没有见过的打伞的大姐姐，就像是年少的九尾妖狐呢，反正我是认错了，不过她相比九尾要好交流的多呢	t_huiyi_sub_lang_10015	90010055					1	31	30	12									
10016	雪中贵族	t_huiyi_sub_name_10016	1	雪女给我的感觉就像是大小姐一样，那种端庄以及气势我真的是超级喜欢，不过战斗少女果然还是战斗的时候最帅	t_huiyi_sub_lang_10016	90010062					1	3	30	12									
10017	走上正轨	t_huiyi_sub_name_10017	1	接到经过实战改装的武器之后，这个萌妹子整个人都懵了，我给她比了个中指，她居然跟我说谢谢	t_huiyi_sub_lang_10017	90010006					1	32	30	12									
10018	杂技少女	t_huiyi_sub_name_10018	1	她在我面前像是杂耍一样地挥舞着她手上的武器，我建议她去马戏团面试一下，结果她生气了很长时间没有理我，这到底有什么问题？在线等挺急的	t_huiyi_sub_lang_10018	90010006					1	1	300	120									
10019	货真价实	t_huiyi_sub_name_10019	1	我一开始真的以为月兔只是一个戴着兔耳朵的女孩子，直到被她打了一顿以后，才知道她脑袋上的两个耳朵是摘不下来的	t_huiyi_sub_lang_10019	90010052					1	32	30	12									
10020	恍如隔世	t_huiyi_sub_name_10020	1	我明明是一个差不多已经是废人的肥宅，来到这个异世界一样的地方居然成了小鲜肉，到现在自己都有些接受不能	t_huiyi_sub_lang_10020	90010100					1	4	30	12									
10021	天降正义	t_huiyi_sub_name_10021	1	我就是从现实世界里选召来的最强人类战士！虽然一开始来这里干的最多的也是给斗人少尉洗衣服…记上一笔，这以后都要对账的	t_huiyi_sub_lang_10021	90010100					1	4	30	12									
10022	禁欲修行	t_huiyi_sub_name_10022	1	欲望君主开始封存自己心中的欲望，一开始还问我要不要一起，吓得我不敢说话	t_huiyi_sub_lang_10022	90010053					1	32	30	12									
10023	一无所知	t_huiyi_sub_name_10023	1	通过不可言喻的时空窗口被召唤到这里的钢妹，开始了自己的战斗之路，我居然对此毫不知情！	t_huiyi_sub_lang_10023	90010101					1	1	300	120									
10024	寂静之力	t_huiyi_sub_name_10024	1	当时我还觉得妖狐少女只是一个很文静的文艺少女，直到那天我见识到了从她身上迸发出的强大的力量	t_huiyi_sub_lang_10024	90010055					1	31	30	12									
10025	话唠之人	t_huiyi_sub_name_10025	1	我第一次看见她的时候我都快吓疯了，聊着聊着才觉得她只是一个善良的话唠，左边、右边、以及中间那个，都是话唠	t_huiyi_sub_lang_10025	90010059					1	5	30	12									
10026	行刺之术	t_huiyi_sub_name_10026	1	我最近发现夜魇总是教强袭天使一些多余的东西…强袭天使那巨大武器的隐蔽性又没法跟你夜魇相比，你教她行刺和暗杀有啥用嘞	t_huiyi_sub_lang_10026	90010049	90010006				2	4	60	24									
10027	春游组合	t_huiyi_sub_name_10027	1	春游的时候我看见妖狐拿着一把超级长的伞，她跟我解释说，这样伞可以打得很高，然后就可以和白蛇一起用了。果然大小姐腾不出来手打伞么…	t_huiyi_sub_lang_10027	90010059	90010055				2	5	60	24									
10028	姐妹情深	t_huiyi_sub_name_10028	1	白蛇妖私下里跟我说的，炮击天使其实是她远房的妹妹，但是炮击天使自己不知道，白蛇妖总是想尽办法通过各种不露痕迹的方式去帮助炮击天使	t_huiyi_sub_lang_10028	90010059	90010007				2	32	60	24									
10029	正面战争	t_huiyi_sub_name_10029	1	女武神跟我抱怨说她想教夜魇打正面战争的方式，但是夜魇不屑一顾；到底女武神还是有些天然呆啊，夜魇那样子的，注定是个刺客了	t_huiyi_sub_lang_10029	90010049	90010024				2	5	60	24									
10030	找寻达人	t_huiyi_sub_name_10030	1	今天和夜魇玩捉迷藏的时候，我拜托了白蛇妖帮忙一起找寻，果然蛇类的感知能力确实是不可小视呢	t_huiyi_sub_lang_10030	90010059	90010049				2	1	600	240									
10031	乐不思蜀	t_huiyi_sub_name_10031	1	至于我为什么穿越到这里以后再也没有想过家？我把自己对家的思念全都交给了欲望君主	t_huiyi_sub_lang_10031	90010100	90010053				2	1	600	240									
10032	力量失衡	t_huiyi_sub_name_10032	1	机械女仆和斩击天使两个人是一起参加力量改造的，那天我看见俩人回来以后摧毁了所有能触碰到的东西——当然都是无意间的	t_huiyi_sub_lang_10032	90010035	90010008				2	31	60	24									
10033	异界友人	t_huiyi_sub_name_10033	1	根据我这老同学的说法，她刚来到这里的时候一个人都不认识，全靠机械女仆善良的帮助，才使得她能够在这里生存下来	t_huiyi_sub_lang_10033	90010101	90010035				2	1	600	240									
10034	照顾关系	t_huiyi_sub_name_10034	1	今天是座敷童子给机械女仆帮忙，我记得座敷童子是最不缺钱的啊，猛然反应过来，貌似这家咖啡厅的生意还是需要座敷童子的帮助才能持续下去啊	t_huiyi_sub_lang_10034	90010069	90010035				2	4	60	24									
10035	家政实习	t_huiyi_sub_name_10035	1	上面的人真的觉得夜魇实在是太闲了，所以强制她跟机械女仆一起进行家政实习，以免她在黑夜里再搞点什么乱子出来	t_huiyi_sub_lang_10035	90010049	90010035				2	1	600	240									
10036	黑暗无效	t_huiyi_sub_name_10036	1	昨天网上看见丛林里的亮光，才知道昨天晚上炮击天使和夜魇捉迷藏的时候动用了闪光弹，还真是一个机智的少女呢	t_huiyi_sub_lang_10036	90010049	90010007				2	32	60	24									
10037	刀剑乱舞	t_huiyi_sub_name_10037	1	我一开始以为鬼巫女的剑术是跟机甲将军学的，今天才发现鬼巫女的刀术水平远在机甲将军之上，真是服了	t_huiyi_sub_lang_10037	90010067	90010027				2	5	60	24									
10038	沉重欲望	t_huiyi_sub_name_10038	1	斩击天使把自己的一份交付给欲望君主之后居然可以轻而易举地挥动她的武器了，后来我问欲望君主，欲望君主表示这份渴望武器更轻一点的欲望实在是太沉重了	t_huiyi_sub_lang_10038	90010053	90010008				2	3	60	24									
10039	回家诱惑	t_huiyi_sub_name_10039	1	钢妹告诉我，是她强烈的回家的欲望，造就了现在力量如此强大的欲望君主；果然在这种地方还是容易想家啊，只有抛弃了家庭观念才能义无反顾地战斗下去	t_huiyi_sub_lang_10039	90010101	90010053				2	5	60	24									
10040	战术训练	t_huiyi_sub_name_10040	1	女武神咣地把我门踹开了，就为了跟我说能不能给炮击天使配备一个手持兵器，不然没法训练…我快受不了这天然呆女武神了，每次来都是一群女武神一起来，叽叽喳喳地仿佛是菜市场一样	t_huiyi_sub_lang_10040	90010024	90010007				2	5	60	24									
