INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	所属	name	代号	level	vip	mission_id	type1	value1	value2	value3	type2	value1	value2	value3	type3	value1	value2	value3	type4	value1	value2	value3
60001	6	竞技场	t_huodong_sub_name_60001	10		0	1	14	0	0	3	401	0	0	2	40040001	0	0				
90001	9	夺宝奇兵	t_huodong_sub_name_90001	15		0	6	4001	0	0	6	4002	0	0	6	4003	0	0	6	4004	0	0
50001	5	星河秘境	t_huodong_sub_name_50001	22		0	1	6	0	0	4	10401	0	0	2	50070001	0	0	2	50100001	0	0
20001	2	太空运输	t_huodong_sub_name_20001	28		0	1	7	0	0												
40001	4	星际宝藏	t_huodong_sub_name_40001	32		0	1	1	0	0	6	13001	0	0	2	50070001	0	0	2	50100001	0	0
10001	1	魔王讨伐战	t_huodong_sub_name_10001	35		0	1	13	0	0	2	50090001	0	0								
30001	3	援救伙伴	t_huodong_sub_name_30001	45		0	1	5	0	0	3	201	0	0	3	202	0	0	3	203	0	0
100001	10	猎人大会	t_huodong_sub_name_100001	60		0	1	22	0	0	2	50110001	0	0	2	50120001	0	0	2	50100001	0	0
110001	11	决战冰原	t_huodong_sub_name_110001	65		0	1	24	0	0	2	50130001	0	0	6	5001	0	0	6	5003	0	0
120001	12	大师联赛	t_huodong_sub_name_120001	70		0	1	27	0	0												
