INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING
id	名字	代号	颜色 颜色 0白 1绿 2蓝 3紫 4橙 4红 5金	数字代码	bigicon	smallicon	描述	描述	产出 1伙伴商店 2援救伙伴 3军团商店 4装备商店 5商城-装备箱子 6竞技场 7夺宝奇兵 8商城-饰品箱子 9商城 10魔王商店 11秘境商店 12分解伙伴 13分解装备 14魔王讨伐战 15太空运输
1	金币	t_resoures_name_1	4	[F8EE00]	gold_icon_80	gold_icon	金币不是万能的，没金币是玩玩不能的	t_resoures_desc_1	
2	钻石	t_resoures_name_2	2	[2FD4FF]	zs_80	zs	亮瞎双眼的钻石，散发着土豪的光芒	t_resoures_desc_2	
3	体力	t_resoures_name_3	4	[FAC904]	tl_80	tl	有体力才能愉快的玩耍，会在副本与星际宝藏中等消耗	t_resoures_desc_3	
4	经验	t_resoures_name_4	1	[9ADB1A]	xp_icon_80	xp_icon	增加经验值能提升等级，这不废话吗	t_resoures_desc_4	
5	战魂	t_resoures_name_5	3	[FA38AC]	jjcds_80	jjcds	蕴含战争英灵的魂石，用于在伙伴商店进行消费	t_resoures_desc_5	12
6	合金	t_resoures_name_6	2	[2AD8DB]	mwjz_80	mwjz	用于在星河秘境商店中兑换装备的材料	t_resoures_desc_6	13
7	原力	t_resoures_name_7	2	[09C8FF]	yl_80sa01	yl_30s	用于伙伴充能的资源，可从太空运输获得	t_resoures_desc_7	15
8	每日活动积分	t_resoures_name_8					完成每日任务获得的积分	t_resoures_desc_8	
9	VIP经验	t_resoures_name_9					提升VIP等级需要的经验	t_resoures_desc_9	
10	军团贡献	t_resoures_name_10	2	[EEA7F4]	jugx_dtb001	jugx_dtb002	为军团鞠躬尽瘁的证明，用于在军团商店进行消费	t_resoures_desc_10	
11	宝石原石	t_resoures_name_11	2	[2FA4FF]	icon_dj_zsfm01	icon_dj_zsfm02	宝石原石	t_resoures_desc_11	
12	探索次数	t_resoures_name_12					探索次数	t_resoures_desc_12	
13	魔王勋章	t_resoures_name_13	2	[76DE2F]	nmwjz_80	nmwjz	勇敢抗争魔王的证明，用于在魔王商店进行消费	t_resoures_desc_13	14
14	荣誉	t_resoures_name_14	4	[FFB391]	jjc_dsb	jjc_dss	在竞技场风光过的证明，用于在荣誉商店进行消费	t_resoures_desc_14	6
15	能量	t_resoures_name_15	4	[FA2806]	jltb_icon	jltbx_icon	没能量只能回M78星云了，会在竞技场与夺宝奇兵等消耗	t_resoures_desc_15	
16	军团膜拜进度	t_resoures_name_16					军团膜拜增加的进度	t_resoures_desc_16	
17	技能点	t_resoures_name_17					技能点	t_resoures_desc_17	
18	魔王讨伐次数	t_resoures_name_18					魔王讨伐次数	t_resoures_desc_18	
19	时装图纸	t_resoures_name_19					解锁小助手时装需要消耗的图纸	t_resoures_desc_19	
20	幸运点	t_resoures_name_20	4	[76DE2F]	xydd_icon	xydx_icon	转动命运指针获得的点数，用于在幸运商店进行消费	t_resoures_desc_20	
21	回忆结晶	t_resoures_name_21	4	[FAC904]	hyjjd_icon	hyjjx_icon	凝聚回忆结晶能想起重要的人，用于在回忆商店进行消费	t_resoures_desc_21	
22	猎人奖章	t_resoures_name_22	4	[FF8585]	lrjzd_icon	lrjzx_icon	猎人大会获得的奖章，用于在猎人商店进行消费	t_resoures_desc_22	
23	猎人积分	t_resoures_name_23					猎人大会积分	t_resoures_desc_23	
24	冰晶	t_resoures_name_24	4	[00FFFF]	icon_bjd	icon_bjx	在决战冰原中获得的珍贵资源，用于在冰原商店进行消费	t_resoures_desc_24	
25	冰原积分	t_resoures_name_25					决战冰原积分	t_resoures_desc_25	
26	翻牌积分	t_resoures_name_26	4	[EE30A7]		icon_fpjf	参加充值翻牌活动时获得的积分，可用来购买军团红包	t_resoures_desc_26	
27	数码芯片	t_resoures_name_27	4	[7D7DFF]	cwhb_icon01	cwhb_icon02	参加大师联赛可获得的通用资源，用于在宠物商店进行消费	t_resoures_desc_27	
28	魔方积分	t_resoures_name_28	4	[EE30A7]		icon_fpjf	参加九宫魔方活动时获得的积分，可用来在积分商店中消费	t_resoures_desc_28	
29	友情点	t_resoures_name_29	3	[FA38AC]		ckdj_yqzomx	好友之间的友谊，用于进行友情招募	t_resoures_desc_29	
