INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
角色id	职业 1防卫 2灵巧 3魔法	性别 1男2女	名字	代号	模型	时装	ICON	配音	描述	品级	品质	最高阶级	初始血量	初始血量成长	血量成长	血量成长成长	初始攻击	初始攻击成长	攻击成长	攻击成长成长	初始物防	初始物防成长	物防成长	物防成长成长	初始魔防	初始魔防成长	魔防成长	魔防成长成长	初始速度	初始速度成长	速度成长	速度成长成长	普通攻击	主动技能	专属技能	进阶D	进阶C	进阶B	进阶A	进阶S	突破+1	突破+2	突破+3	突破+4	突破+5	突破+6	突破+7	突破+8	突破+9	突破+10	突破+11	突破+12	突破+13	突破+14	突破+15	突破10技能	突破12技能	突破15技能	分解战魂	分解精华	羁绊1	羁绊2	羁绊3	羁绊4	羁绊5	羁绊6	羁绊7	羁绊8	是否隐藏	伙伴本出现概率
100	2	1	穿越者	t_class_name_100	ts_t01	0	ts_t01	tspy_zm15	t_class_desc_100	3	9	3	2880	576	115.2	23.04	400	80	16	3.2	180	36	7.2	1.44	180	36	7.2	1.44	180	36	7.2	1.44	1	10010000		20010001	20010002	20010003			30070001	30160002	30220003	30190004	30070005														400		100001	100002	100003	100004	100005		100007			100
101	1	2	钢妹	t_class_name_101	ts_bot200	0	ts_tx200	tspy_zm14	t_class_desc_101	3	8	3	3200	640	128	25.6	320	64	12.8	2.56	200	40	8	1.6	160	32	6.4	1.28	160	32	6.4	1.28	1	10010100		20010101	20010102	20010103			30300001	30120002	30220003	30060004	30210005														400		101001	101002	101003	101004	101005		101007			100
1	1	1	铁拳武士	t_class_name_1	ts_bot108	0	ts_tx108	0	t_class_desc_1	1	1	1	2550	564.87	93.3	21.81	287	55.04	9.53	2.1	175	34.88	6.57	1.47	110	22.24	5.08	0.99	123	24.87	5.38	1.09	1	10000100																																				
2	2	1	枪炮卫士	t_class_name_2	ts_bot109	0	ts_tx109	0	t_class_desc_2	1	3	1	2474	493	78.98	16.39	325	54.42	14.16	2.66	143	26.77	5.88	1.19	155	33.01	5.84	1.29	148	25.09	5.18	0.98	6	10000200																																				
4	2	1	强尼团长	t_class_name_4	ts_bot132	0	ts_tx132	tspy_zm16	t_class_desc_4	2	4	2	2237	489.98	79.46	19.42	307	70.68	10.97	2.34	145	27.98	6.55	1.08	140	26.98	5.27	1.13	153	32.75	5.15	1.07	3	10000400		20000401	20000402				30070001	30140002	30220003																50											
5	2	1	强盗枪手	t_class_name_5	ts_bot105	0	ts_tx105	0	t_class_desc_5	1	1	1	2427	413.48	80.55	20.09	309	72.82	13.93	2.22	151	26.61	5.97	1.23	163	30.14	5.17	0.98	151	31.37	5.33	1.16	8	10000500																																				
6	1	2	强袭天使	t_class_name_6	ts_bot06	0	ts_tx006	tspy_zm17	t_class_desc_6	3	8	3	3266	585.81	127.98	28.04	363	58.67	11.81	2.57	197	45.61	8.42	1.41	183	32.67	6.53	1.37	176	32.36	6.01	1.39	1	10000600		20000601	20000602	20000603			30300001	30060002	30220003	30120004	30060005														400						6005		6007			100
7	2	2	炮击天使	t_class_name_7	ts_bot07	0	ts_tx007	tspy_zm18	t_class_desc_7	3	8	3	3215	517	110.7	23.28	404	89.57	15.02	3.23	157	34.78	6.25	1.23	173	40.46	6.81	1.4	202	41.05	7.87	1.39	1	10000700		20000701	20000702	20000703			30070001	30210002	30220003	30160004	30110005														400						7005		7007			100
8	3	2	斩击天使	t_class_name_8	ts_bot08	0	ts_tx008	tspy_zm19	t_class_desc_8	3	8	3	2432	481.23	117.08	17.82	384	73.5	13.5	2.61	163	29.29	6.77	1.35	171	35.08	9.15	1.83	197	45.83	8.89	1.45	10	10000800		20000801	20000802	20000803			30100001	30170002	30220003	30070004	30180005														400						8005		8007			100
