INT	STRING	STRING	INT	INT	INT	INT	INT	INT
id	名字	代号	id1	id2	id3	id4	attr1	value1
4001	六道轮回	t_jibanex_name_4001	41	37			7	5
4002	生死对头	t_jibanex_name_4002	46	26	41		8	5
6001	迅疾如风	t_jibanex_name_6001	7	58			10	5
6002	自然守护	t_jibanex_name_6002	100	59	23		8	5
7001	疾风迅雷	t_jibanex_name_7001	8	46			10	5
7002	月影红莲	t_jibanex_name_7002	59	53	37		9	5
8001	疾风骤雨	t_jibanex_name_8001	6	26			10	5
8002	不死之身	t_jibanex_name_8002	66	59	46		8	5
23001	支配者	t_jibanex_name_23001	46	43			7	5
23002	晨曦之光	t_jibanex_name_23002	4	37	41		6	5
24001	风驰电掣	t_jibanex_name_24001	69	58			10	5
24002	究极正义	t_jibanex_name_24002	27	62	46		8	5
26001	绝对压制	t_jibanex_name_26001	37	23			7	5
26002	自然之力	t_jibanex_name_26002	41	43	4		9	5
27001	电光火石	t_jibanex_name_27001	49	43			10	5
27002	生存本能	t_jibanex_name_27002	35	42	26		6	5
35001	天外飞仙	t_jibanex_name_35001	69	26			10	5
35002	诡术女孩	t_jibanex_name_35002	57	49	43		8	5
36001	神之王座	t_jibanex_name_36001	67	23			10	5
36002	绝对领域	t_jibanex_name_36002	55	57	58		9	5
37001	雷霆之怒	t_jibanex_name_37001	43	4			7	5
37002	自然恩赐	t_jibanex_name_37002	26	46	58		9	5
41001	青山不改	t_jibanex_name_41001	58	26			7	5
41002	绿水长流	t_jibanex_name_41002	23	4	46		8	5
42001	影之力	t_jibanex_name_42001	36	43			10	5
42002	两小无猜	t_jibanex_name_42002	49	101	43		6	5
43001	心空妙有	t_jibanex_name_43001	4	46			10	5
43002	静若处子	t_jibanex_name_43002	41	23	37		6	5
46001	潜伏者	t_jibanex_name_46001	58	43			7	5
46002	和平卫士	t_jibanex_name_46002	37	4	26		8	5
49001	命运召唤	t_jibanex_name_49001	62	46			7	5
49002	白金之星	t_jibanex_name_49002	27	52	23		6	5
52001	最后的剑	t_jibanex_name_52001	66	46			7	5
52002	正义萝莉	t_jibanex_name_52002	53	69	41		6	5
53001	幸运星	t_jibanex_name_53001	42	37			10	5
53002	幻想少女	t_jibanex_name_53002	24	66	58		6	5
55001	女王的心	t_jibanex_name_55001	53	23			7	5
55002	红之魅惑	t_jibanex_name_55002	59	57	26		9	5
57001	死亡挽歌	t_jibanex_name_57001	59	23			7	5
57002	倾国倾城	t_jibanex_name_57002	36	53	46		6	5
58001	格斗术	t_jibanex_name_58001	43	26			10	5
58002	一刀流	t_jibanex_name_58002	41	46	23		9	5
59001	少女的救赎	t_jibanex_name_59001	6	37			7	5
59002	月蛇之力	t_jibanex_name_59002	7	8	26		9	5
62001	神之指引	t_jibanex_name_62001	101	4			7	5
62002	梦境传说	t_jibanex_name_62002	69	49	46		8	5
66001	奇迹现世	t_jibanex_name_66001	55	41			7	5
66002	少女的谢幕	t_jibanex_name_66002	24	27	23		8	5
67001	小伙伴	t_jibanex_name_67001	53	37			10	5
67002	达人秀	t_jibanex_name_67002	59	36	4		9	5
69001	主宰者	t_jibanex_name_69001	67	37			7	5
69002	命运预言	t_jibanex_name_69002	66	101	43		8	5
100001	领袖之力	t_jibanex_name_100001	69	58			7	5
100002	主角光环	t_jibanex_name_100002	24	35	43		8	5
101001	梦想少女	t_jibanex_name_101001	52	4			10	5
101002	操控之力	t_jibanex_name_101002	27	67	58		9	5
200001	逆袭	t_jibanex_name_200001	52	41			7	5
200002	铁霸王	t_jibanex_name_200002	24	57	26		6	5
200003	斯塔克	t_jibanex_name_200003	35	55	66	4	10	5
201001	杀戮之风	t_jibanex_name_201001	101	4			7	5
