INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	格子	level	type	value1	value2	value3	权重	货币类型 1金币 2钻石 3竞技场点数 4魔王点数	货币	推荐
1001	金币	1		1	1	100000	0	100	2	100	1
1002	金币	1		1	1	300000	0	100	2	300	1
1003	金币	1	50	1	1	500000	0	100	2	500	1
1004	原力	1		1	7	10000	0	100	5	40	1
1005	原力	1		1	7	20000	0	100	5	80	1
1006	勇者勋章	1		2	40040001	10	0	100	5	10	1
1007	勇者勋章	1		2	40040001	30	0	100	5	30	1
1008	勇者勋章	1		2	40040001	50	0	100	5	50	1
1009	勇者勋章	1	50	2	40040001	80	0	100	5	80	1
1010	能力水晶	1	35	2	50090001	10	0	100	5	100	1
1011	能力水晶	1	35	2	50090001	20	0	100	5	200	1
1012	能力水晶	1	35	2	50090001	50	0	100	5	500	1
1013	队形强化装置	1	18	2	50140001	20	0	100	5	60	1
1014	队形强化装置	1	18	2	50140001	30	0	100	5	90	1
1015	队形强化装置	1	18	2	50140001	50	0	100	5	150	1
1016	队形强化装置	1	18	2	50140001	80	0	100	5	240	1
1017	原力	1		1	7	10000	0	50	2	40	1
1018	原力	1		1	7	20000	0	50	2	80	1
1019	勇者勋章	1		2	40040001	10	0	50	2	10	1
1020	勇者勋章	1		2	40040001	30	0	50	2	30	1
1021	勇者勋章	1		2	40040001	50	0	50	2	50	1
1022	勇者勋章	1	50	2	40040001	80	0	50	2	80	1
1023	能力水晶	1	35	2	50090001	10	0	50	2	100	1
1024	能力水晶	1	35	2	50090001	20	0	50	2	200	1
1025	能力水晶	1	35	2	50090001	50	0	50	2	500	1
1026	队形强化装置	1	18	2	50140001	20	0	100	2	60	1
1027	队形强化装置	1	18	2	50140001	30	0	100	2	90	1
1028	队形强化装置	1	18	2	50140001	50	0	100	2	150	1
1029	队形强化装置	1	18	2	50140001	80	0	100	2	240	1
1030	觉醒之力	1	70	2	50130001	1	0	30	5	1000	1
1031	觉醒之力	1	70	2	50130001	1	0	20	2	1000	1
1032	觉醒之力	1	70	2	50130001	2	0	20	2	2000	1
1033	装备改造石	1	50	2	50010001	10	0	100	5	100	1
1034	装备改造石	1	50	2	50010001	20	0	100	5	200	1
1035	装备改造石	1	50	2	50010001	50	0	100	5	500	1
1036	装备改造石	1	50	2	50010001	10	0	50	2	100	1
1037	装备改造石	1	50	2	50010001	20	0	50	2	200	1
1038	装备改造石	1	50	2	50010001	50	0	50	2	500	1
2001	穿越者碎片	2		2	30010100	10	0	200	5	200	
2002	钢妹碎片	2		2	30010101	10	0	200	5	200	
2003	强袭天使碎片	2		2	30010006	10	0	200	5	200	
2004	炮击天使碎片	2		2	30010007	10	0	200	5	200	
2005	斩击天使碎片	2		2	30010008	10	0	200	5	200	
2006	女武神碎片	2		2	30010024	10	0	200	5	200	
2007	机甲将军碎片	2		2	30010027	10	0	200	5	200	
2008	机械女仆碎片	2		2	30010035	10	0	200	5	200	
2009	黄金神王碎片	2		2	30010036	10	0	200	5	200	
2010	青鬼王碎片	2		2	30010042	10	0	200	5	200	
2011	夜魇碎片	2		2	30010049	10	0	200	5	200	
2012	月兔碎片	2		2	30010052	10	0	200	5	200	
2013	欲望君主碎片	2		2	30010053	10	0	200	5	200	
2014	妖狐少女碎片	2		2	30010055	10	0	200	5	200	
2015	赤鬼王碎片	2		2	30010057	10	0	200	5	200	
2016	白蛇妖碎片	2		2	30010059	10	0	200	5	200	
2017	雪女碎片	2		2	30010062	10	0	200	5	200	
2018	九尾妖狐碎片	2		2	30010066	10	0	200	5	200	
2019	鬼巫女碎片	2		2	30010067	10	0	200	5	200	
2020	座敷童子碎片	2		2	30010069	10	0	200	5	200	
2021	明日少尉碎片	2		2	30010201	5	0	50	5	125	1
2022	斗人碎片	2		2	30010202	5	0	50	5	125	1
2023	炮姐碎片	2		2	30010203	5	0	50	5	125	1
2024	黑色射手碎片	2		2	30010204	5	0	50	5	125	1
