INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	代号	role	等级	任务1 1上阵并获得def1次普通副本胜利 2上阵并获得def1次精英副本胜利 3上阵并获得def1次竞技场胜利 4上阵并夺宝def1次 5上阵并在星河秘境获得def1星 6等级达到def1级 7阶级达到def1阶 8突破等级达到def1级 9品级达到def1品 10def1技能达到def2级 11激活def1条相关的回忆录 12拥有def1时装	def1	def2	def3	任务2	def1	def2	def3	任务3	def1	def2	def3	任务4	def1	def2	def3	任务5	def1	def2	def3
40020101	猩红收割	t_role_skillunlock_40020101	201	1	1	1000			6	65			11	2			12	201003						
40020101	猩红收割	t_role_skillunlock_40020101	201	2	2	1000			8	8			11	6										
40020101	猩红收割	t_role_skillunlock_40020101	201	3	3	500			7	12			11	12										
40020101	猩红收割	t_role_skillunlock_40020101	201	4	4	500			9	1500			11	18										
40020101	猩红收割	t_role_skillunlock_40020101	201	5	5	200			10	0	30		11	25										
40020201	集中攻击	t_role_skillunlock_40020201	202	1	1	1000			6	65			11	2			12	202003						
40020201	集中攻击	t_role_skillunlock_40020201	202	2	2	1000			8	8			11	6										
40020201	集中攻击	t_role_skillunlock_40020201	202	3	3	500			7	12			11	12										
40020201	集中攻击	t_role_skillunlock_40020201	202	4	4	500			9	1500			11	18										
40020201	集中攻击	t_role_skillunlock_40020201	202	5	5	200			10	0	30		11	25										
40020301	电波充能	t_role_skillunlock_40020301	203	1	1	1000			6	65			11	2			12	203003						
40020301	电波充能	t_role_skillunlock_40020301	203	2	2	1000			8	8			11	6										
40020301	电波充能	t_role_skillunlock_40020301	203	3	3	500			7	12			11	12										
40020301	电波充能	t_role_skillunlock_40020301	203	4	4	500			9	1500			11	18										
40020301	电波充能	t_role_skillunlock_40020301	203	5	5	200			10	0	30		11	25										
40020401	无限狙击	t_role_skillunlock_40020401	204	1	1	1000			6	65			11	2			12	204003						
40020401	无限狙击	t_role_skillunlock_40020401	204	2	2	1000			8	8			11	6										
40020401	无限狙击	t_role_skillunlock_40020401	204	3	3	500			7	12			11	12										
