INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
商店id	商店类型 1正常 2BT	充值	商品type	value1	value2	value3	名字	等级	价格类型 0固定	价格	限购类型 0不限购 1限购 2VIP限购	vip0	vip1	vip2	vip3	vip4	vip5	vip6	vip7	vip8	vip9	vip10	vip11	vip12	vip13	vip14	vip15	vip16
100100	1	0	1	7	20000	0	原力	1	1	80	2	5	7	9	11	13	15	18	21	24	27	30	33	35	40	45	50	60
100200	1	0	2	10010002	1	0	体力药水	1	2	25	2	5	8	11	14	17	20	23	26	29	32	35	38	40	45	50	60	70
100300	1	0	2	10010007	1	0	能量药水	1	3	25	2	5	8	11	14	17	20	23	26	29	32	35	38	40	45	50	60	70
100400	1	0	2	10010034	1	0	橙色装备箱	1	4	150	2	5	8	11	14	17	20	23	26	29	32	35	38	40	45	50	60	70
100500	1	0	2	10010061	1	0	橙色饰品箱	15	5	120	2	5	7	9	11	13	15	17	19	21	23	25	27	30	35	40	50	70
100600	1	0	2	10010009	1	0	魔王邀请函	35	6	10	2	10	10	10	20	20	30	30	40	40	50	50	60	60	70	80	99	120
100700	1	0	2	50020001	1	0	商店刷新石	8	0	20	0																	
100800	1	0	2	50090001	1	0	能力水晶	35	0	15	0																	
100900	1	0	2	50070001	1	0	精炼金属	30	0	5	1	500																
101000	1	0	2	50010001	1	0	装备改造石	50	0	10	1	50																
101100	1	0	2	50100001	1	0	神之金属	40	0	5	1	500																
101200	1	0	6	13001	1	0	紫晶石	15	0	200	1	10																
101300	1	0	2	50120001	1	0	红色装备之力	60	0	50	1	4																
101400	1	0	2	50150001	10	0	光元素	75	0	50	1	200																
