INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
index	3星type	value1	value2	value3	3星type	value1	value2	value3	3星type	value1	value2	value3	6星type	value1	value2	value3	6星type	value1	value2	value3	6星type	value1	value2	value3	9星type	value1	value2	value3	9星type	value1	value2	value3	9星type	value1	value2	value3
1	2	10010032	1	0	1	6	60	0					2	10010032	1	0	1	6	100	0					2	10010032	1	0	1	6	200	0				
2	2	10010032	1	0	1	6	60	0					2	10010032	1	0	1	6	100	0					2	10010032	1	0	1	6	200	0				
3	2	10010032	1	0	1	6	60	0	2	80020001	1	0	2	10010032	1	0	1	6	100	0	2	80020001	1	0	2	10010032	1	0	1	6	200	0	2	80020001	1	0
4	2	10010032	1	0	2	50070001	2	0					2	10010032	1	0	2	50070001	4	0					2	10010032	1	0	2	50070001	6	0				
5	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0				
6	2	50100001	2	0	2	80020001	1	0					2	10010033	1	0	2	50100001	4	0	2	80020001	1	0	2	10010033	1	0	2	50100001	6	0	2	80020001	1	0
7	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0				
8	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0				
9	2	50100001	2	0	2	80020001	1	0					2	10010033	1	0	2	50100001	4	0	2	80020001	1	0	2	10010033	1	0	2	50100001	6	0	2	80020001	1	0
10	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0				
11	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0				
12	2	50100001	2	0	2	80020001	1	0					2	10010033	1	0	2	50100001	4	0	2	80020001	1	0	2	10010033	1	0	2	50100001	6	0	2	80020001	1	0
13	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
14	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
15	2	50100001	2	0	2	80020001	1	0					2	10010033	1	0	2	50100001	4	0	2	80020001	1	0	2	10010034	1	0	2	50100001	6	0	2	80020001	1	0
16	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
17	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
18	2	50100001	2	0	2	80020001	1	0					2	10010033	1	0	2	50100001	4	0	2	80020001	1	0	2	10010034	1	0	2	50100001	6	0	2	80020001	1	0
19	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
20	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
21	2	50100001	2	0	2	80020001	1	0					2	50100001	4	0	2	80020001	1	0					2	50100001	6	0	2	50150001	25	0	2	80020001	1	0
22	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
23	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
24	2	50100001	2	0	2	80020001	1	0					2	50100001	4	0	2	80020001	1	0					2	50100001	6	0	2	50150001	25	0	2	80020001	1	0
25	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
26	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
27	2	50100001	2	0	2	80020001	1	0					2	50100001	4	0	2	80020001	1	0					2	50100001	6	0	2	50150001	25	0	2	80020001	1	0
28	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
29	2	50100001	2	0	2	50070001	2	0					2	50100001	4	0	2	50070001	4	0					2	50100001	6	0	2	50070001	6	0	2	50150001	25	0
30	2	50100001	2	0	2	80020001	1	0					2	50100001	4	0	2	80020001	1	0					2	50100001	6	0	2	50150001	25	0	2	80020001	1	0
