INT	STRING	INT	INT	INT	INT	INT	INT	INT
id	名字	分页	看见等级	type	value1	value2	value3	价格
1001	精炼金属	1	30	2	50070001	10	0	500
1002	精炼金属	1	30	2	50070001	100	0	5000
1003	神之金属	1	40	2	50100001	10	0	500
1004	神之金属	1	40	2	50100001	100	0	5000
1005	装备改造石	1	50	2	50010001	10	0	1000
1006	装备改造石	1	50	2	50010001	100	0	10000
1007	活力巨剑碎片	1	1	2	70010201	1	0	100
1008	合金之枪碎片	1	1	2	70010202	1	0	100
1009	迅影之光碎片	1	1	2	70010203	1	0	100
1010	暮冰之剑碎片	1	1	2	70010204	1	0	100
1011	裂空手枪碎片	1	1	2	70010205	1	0	100
1012	玄铁之锤碎片	1	1	2	70010206	1	0	100
1013	活力战甲碎片	1	1	2	70020201	1	0	100
1014	合金战甲碎片	1	1	2	70020202	1	0	100
1015	迅影战甲碎片	1	1	2	70020203	1	0	100
1016	暮冰战甲碎片	1	1	2	70020204	1	0	100
1017	裂空战甲碎片	1	1	2	70020205	1	0	100
1018	玄铁战甲碎片	1	1	2	70020206	1	0	100
1019	活力护手碎片	1	1	2	70030201	1	0	100
1020	合金护手碎片	1	1	2	70030202	1	0	100
1021	迅影护手碎片	1	1	2	70030203	1	0	100
1022	暮冰护手碎片	1	1	2	70030204	1	0	100
1023	裂空护手碎片	1	1	2	70030205	1	0	100
1024	玄铁护手碎片	1	1	2	70030206	1	0	100
1025	活力战靴碎片	1	1	2	70040201	1	0	100
1026	合金战靴碎片	1	1	2	70040202	1	0	100
1027	迅影战靴碎片	1	1	2	70040203	1	0	100
1028	暮冰战靴碎片	1	1	2	70040204	1	0	100
1029	裂空战靴碎片	1	1	2	70040205	1	0	100
1030	玄铁战靴碎片	1	1	2	70040206	1	0	100
2001	秘银之枪碎片	2	1	2	70010302	1	0	310
2002	精金巨剑碎片	2	1	2	70010301	1	0	310
2003	无双之光碎片	2	1	2	70010303	1	0	310
2004	幻影之剑碎片	2	1	2	70010304	1	0	310
2005	封灵手枪碎片	2	1	2	70010305	1	0	310
2006	暗影之锤碎片	2	1	2	70010306	1	0	310
2007	秘银战甲碎片	2	1	2	70020302	1	0	310
2008	精金战甲碎片	2	1	2	70020301	1	0	310
2009	无双战甲碎片	2	1	2	70020303	1	0	310
2010	幻影战甲碎片	2	1	2	70020304	1	0	310
2011	封灵战甲碎片	2	1	2	70020305	1	0	310
2012	暗影战甲碎片	2	1	2	70020306	1	0	310
2013	秘银护手碎片	2	1	2	70030302	1	0	310
2014	精金护手碎片	2	1	2	70030301	1	0	310
2015	无双护手碎片	2	1	2	70030303	1	0	310
2016	幻影护手碎片	2	1	2	70030304	1	0	310
2017	封灵护手碎片	2	1	2	70030305	1	0	310
2018	暗影护手碎片	2	1	2	70030306	1	0	310
2019	秘银战靴碎片	2	1	2	70040302	1	0	310
2020	精金战靴碎片	2	1	2	70040301	1	0	310
2021	无双战靴碎片	2	1	2	70040303	1	0	310
2022	幻影战靴碎片	2	1	2	70040304	1	0	310
2023	封灵战靴碎片	2	1	2	70040305	1	0	310
2024	暗影战靴碎片	2	1	2	70040306	1	0	310
3001	永恒巨剑碎片	3	1	2	70010401	1	0	1000
3002	晶铸之枪碎片	3	1	2	70010402	1	0	1000
3003	闪电之光碎片	3	1	2	70010403	1	0	1000
3004	炽光之剑碎片	3	1	2	70010404	1	0	1000
3005	雷鸣手枪碎片	3	1	2	70010405	1	0	1000
3006	混元之锤碎片	3	1	2	70010406	1	0	1000
3007	永恒战甲碎片	3	1	2	70020401	1	0	1000
3008	晶铸战甲碎片	3	1	2	70020402	1	0	1000
3009	闪电战甲碎片	3	1	2	70020403	1	0	1000
3010	炽光战甲碎片	3	1	2	70020404	1	0	1000
3011	雷鸣战甲碎片	3	1	2	70020405	1	0	1000
3012	混元战甲碎片	3	1	2	70020406	1	0	1000
3013	永恒护手碎片	3	1	2	70030401	1	0	1000
3014	晶铸护手碎片	3	1	2	70030402	1	0	1000
3015	闪电护手碎片	3	1	2	70030403	1	0	1000
3016	炽光护手碎片	3	1	2	70030404	1	0	1000
3017	雷鸣护手碎片	3	1	2	70030405	1	0	1000
3018	混元护手碎片	3	1	2	70030406	1	0	1000
3019	永恒战靴碎片	3	1	2	70040401	1	0	1000
3020	晶铸战靴碎片	3	1	2	70040402	1	0	1000
3021	闪电战靴碎片	3	1	2	70040403	1	0	1000
3022	炽光战靴碎片	3	1	2	70040404	1	0	1000
3023	雷鸣战靴碎片	3	1	2	70040405	1	0	1000
3024	混元战靴碎片	3	1	2	70040406	1	0	1000
