INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	name	代号	name颜色	name描边	text	text颜色	text描边	time颜色	time描边	资源	消息
8	单日消费	t_jc_huodong_name_10	79 255 82	0 62 3	t_jc_huodong_text_10	68 210 71	0 38 11	255 255 255	47 22 0	qbhd_mrfl00	show_jrdh
6	天天豪礼	t_jc_huodong_name_11	255 168 75	62 42 0	t_jc_huodong_text_11	255 208 107	38 24 0	255 255 255	47 22 0	qbhd_tthl00	show_land
5	每日单笔	t_jc_huodong_name_12	128 235 255	0 28 96	t_jc_huodong_text_12	144 237 255	0 14 54	255 255 255	8 51 94	qbhd_mrdb00	show_dbcz
3	充值返利	t_jc_huodong_name_3	255 120 64	30 16 0	t_jc_huodong_text_3	255 154 101	54 13 0	255 255 255	69 33 0	qbhd_czfl00	show_czfl
4	节日兑换	t_jc_huodong_name_4	149 89 255	15 0 58	t_jc_huodong_text_4	168 137 255	18 0 68	255 255 255	27 0 99	qbhd_xffl00	show_huoyue
12	限时伙伴	t_jc_huodong_name_5	255 99 99	58 0 0	t_jc_huodong_text_5	255 131 131	54 0 0	255 255 255	69 0 0	qbhd_xshb00	show_xssj
11	钻石风暴	t_jc_huodong_name_6	128 235 255	0 28 96	t_jc_huodong_text_6	144 237 255	0 14 54	255 255 255	8 51 94	qbhd_zsfb00	show_zzk
7	折扣贩售	t_jc_huodong_name_7	255 168 75	62 42 0	t_jc_huodong_text_7	255 208 107	38 24 0	255 255 255	47 22 0	qbhd_xjbk00	show_zkfs
15	银河大转盘	t_jc_huodong_name_15	235 253 235	14 15 15	t_jc_huodong_text_15	240 249 240	22 24 23	255 255 255	36 36 36	qbhd_xyuzp00	show_rotary_tabel
13	巅峰之路	t_jc_huodong_name_13	255 120 64	30 16 0	t_jc_huodong_text_13	255 154 101	54 13 0	255 255 255	69 33 0	qbhd_dfzl00	show_dfzl
9	成长计划	t_jc_huodong_name_9	255 109 109	133 0 0	t_jc_huodong_text_9	255 142 142	172 18 47	255 255 255	81 81 81	qbhd_hbcz00	show_czjh
14	猜猜乐	t_jc_huodong_name_14	235 253 235	14 15 15	t_jc_huodong_text_14	240 249 240	22 24 23	255 255 255	47 22 0	qbhd_ccle00	show_ccl
