INT	STRING	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	INT	INT	INT	INT	INT
ID	NAME	代号	颜色 0白 1绿 2蓝 3紫 4橙 5红 6金	type	icon	经验	sell	attr1	value1	attr2	value2	jl_attr1	jl_value1	jl_attr2	jl_value2	jl_attr3	jl_value3	ID	ID	ID	ID	ID	ID
2001	蓝冰之链	t_baowu_name_2001	2	1	icon_ysxl_01	1200	1000	2	48	16	0.2	7	1	19	1			60020011	60020012	60020013			
2002	蓝冰之戒	t_baowu_name_2002	2	1	icon_ysjz_01	1200	1000	2	48	11	0.2	7	1	19	1			60020021	60020022	60020023			
2003	蓝冰徽章	t_baowu_name_2003	2	2	icon_yshz_01	1200	1000	1	400	17	0.2	6	1	12	1			60020031	60020032	60020033			
2004	蓝冰护符	t_baowu_name_2004	2	2	icon_yshf_01	1200	1000	1	400	18	0.2	6	1	12	1			60020041	60020042	60020043			
3001	紫云之链	t_baowu_name_3001	3	1	icon_mrxl_01	10000	1000	2	96	16	0.4	7	2	19	2			60030011	60030012	60030013	60030014		
3002	紫云之戒	t_baowu_name_3002	3	1	icon_mrjz_01	10000	1000	2	96	11	0.4	7	2	19	2			60030021	60030022	60030023	60030024		
3003	紫云徽章	t_baowu_name_3003	3	2	icon_mrhz_01	10000	1000	1	800	17	0.4	6	2	12	2			60030031	60030032	60030033	60030034		
3004	紫云护符	t_baowu_name_3004	3	2	icon_mrhf_01	10000	1000	1	800	18	0.4	6	2	12	2			60030041	60030042	60030043	60030044		
4001	荣耀之链	t_baowu_name_4001	4	1	icon_gmxl_01	20000	1000	2	144	16	0.6	7	3	19	3			60040011	60040012	60040013	60040014	60040015	
4002	荣耀之戒	t_baowu_name_4002	4	1	icon_gmjz_01	20000	1000	2	144	11	0.6	7	3	19	3			60040021	60040022	60040023	60040024	60040025	
4003	荣耀徽章	t_baowu_name_4003	4	2	icon_gmhz_01	20000	1000	1	1200	17	0.6	6	3	12	3			60040031	60040032	60040033	60040034	60040035	
4004	荣耀护符	t_baowu_name_4004	4	2	icon_gmhf_01	20000	1000	1	1200	18	0.6	6	3	12	3			60040041	60040042	60040043	60040044	60040045	
5001	明光之链	t_baowu_name_5001	5	1	icon_mgxl_01	50000	1000	2	192	16	0.8	7	4	19	4	11	4	60050011	60050012	60050013	60050014	60050015	60050016
5002	明光之戒	t_baowu_name_5002	5	1	icon_mgjz_01	50000	1000	2	192	11	0.8	7	4	16	4	19	4	60050021	60050022	60050023	60050024	60050025	60050026
5003	明光徽章	t_baowu_name_5003	5	2	icon_mghz_01	50000	1000	1	1600	17	0.8	6	4	12	4	18	4	60050031	60050032	60050033	60050034	60050035	60050036
5004	明光护符	t_baowu_name_5004	5	2	icon_mghf_01	50000	1000	1	1600	18	0.8	6	4	17	4	12	4	60050041	60050042	60050043	60050044	60050045	60050046
12001	蓝晶石	t_baowu_name_12001	2	5	icon_jybw001	3000	1000											60120011	60120012	60120013			
13001	紫晶石	t_baowu_name_13001	3	5	icon_jybw002	10000	1000											60130011	60130012	60130013	60130014		
