INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT
id	type1:伤害 2全服击杀	desc	代号	count	type	value1	value2	value3	档位加成
1001	1	累计伤害到达{n1}	t_boss_active_1001	1	1	1	15000	0	5000
1002	1	累计伤害到达{n1}	t_boss_active_1002	1	2	80020001	1	0	0
1003	1	累计伤害到达{n1}	t_boss_active_1003	2	1	7	20000	0	0
1004	1	累计伤害到达{n1}	t_boss_active_1004	3	1	1	15000	0	5000
1005	1	累计伤害到达{n1}	t_boss_active_1005	3	2	80020001	1	0	0
1006	1	累计伤害到达{n1}	t_boss_active_1006	4	6	13001	0	0	0
1007	1	累计伤害到达{n1}	t_boss_active_1007	5	1	1	15000	0	5000
1008	1	累计伤害到达{n1}	t_boss_active_1008	5	2	80020001	1	0	0
1009	1	累计伤害到达{n1}	t_boss_active_1009	6	2	10010009	1	0	0
1010	1	累计伤害到达{n1}	t_boss_active_1010	15	1	1	15000	0	5000
1011	1	累计伤害到达{n1}	t_boss_active_1011	15	2	80020001	1	0	0
1012	1	累计伤害到达{n1}	t_boss_active_1012	16	1	7	20000	0	0
1013	1	累计伤害到达{n1}	t_boss_active_1013	17	1	1	15000	0	5000
1014	1	累计伤害到达{n1}	t_boss_active_1014	17	2	80020001	1	0	0
1015	1	累计伤害到达{n1}	t_boss_active_1015	18	6	13001	0	0	0
1016	1	累计伤害到达{n1}	t_boss_active_1016	19	1	1	15000	0	5000
1017	1	累计伤害到达{n1}	t_boss_active_1017	19	2	80020001	1	0	0
1018	1	累计伤害到达{n1}	t_boss_active_1018	20	2	10010009	1	0	0
1019	1	累计伤害到达{n1}	t_boss_active_1019	32	1	1	20000	0	5000
1020	1	累计伤害到达{n1}	t_boss_active_1020	34	1	7	20000	0	0
1021	1	累计伤害到达{n1}	t_boss_active_1021	36	1	1	20000	0	5000
1022	1	累计伤害到达{n1}	t_boss_active_1022	38	2	50090001	12	0	3
1023	1	累计伤害到达{n1}	t_boss_active_1023	38	2	80020001	1	0	0
1024	1	累计伤害到达{n1}	t_boss_active_1024	40	1	1	20000	0	5000
1025	1	累计伤害到达{n1}	t_boss_active_1025	42	2	10010009	1	0	0
1026	1	累计伤害到达{n1}	t_boss_active_1026	61	1	1	25000	0	5000
1027	1	累计伤害到达{n1}	t_boss_active_1027	61	2	80020001	1	0	0
1028	1	累计伤害到达{n1}	t_boss_active_1028	63	1	7	20000	0	0
1029	1	累计伤害到达{n1}	t_boss_active_1029	65	1	1	25000	0	5000
1030	1	累计伤害到达{n1}	t_boss_active_1030	67	2	50090001	12	0	3
1031	1	累计伤害到达{n1}	t_boss_active_1031	67	2	80020001	1	0	0
1032	1	累计伤害到达{n1}	t_boss_active_1032	69	1	1	25000	0	5000
1033	1	累计伤害到达{n1}	t_boss_active_1033	71	2	10010009	1	0	0
1034	1	累计伤害到达{n1}	t_boss_active_1034	103	1	1	30000	0	5000
1035	1	累计伤害到达{n1}	t_boss_active_1035	103	2	80020001	1	0	0
1036	1	累计伤害到达{n1}	t_boss_active_1036	106	1	7	20000	0	0
1037	1	累计伤害到达{n1}	t_boss_active_1037	109	1	1	30000	0	5000
1038	1	累计伤害到达{n1}	t_boss_active_1038	112	2	50090001	12	0	3
1039	1	累计伤害到达{n1}	t_boss_active_1039	115	1	1	30000	0	5000
1040	1	累计伤害到达{n1}	t_boss_active_1040	115	2	80020001	1	0	0
1041	1	累计伤害到达{n1}	t_boss_active_1041	118	2	10010009	1	0	0
1042	1	累计伤害到达{n1}	t_boss_active_1042	172	1	1	30000	0	5000
1043	1	累计伤害到达{n1}	t_boss_active_1043	177	6	13001	0	0	0
1044	1	累计伤害到达{n1}	t_boss_active_1044	182	1	1	30000	0	5000
1045	1	累计伤害到达{n1}	t_boss_active_1045	187	2	50090001	12	0	3
1046	1	累计伤害到达{n1}	t_boss_active_1046	187	2	80020001	1	0	0
1047	1	累计伤害到达{n1}	t_boss_active_1047	192	1	1	30000	0	5000
1048	1	累计伤害到达{n1}	t_boss_active_1048	197	2	10010009	1	0	0
1049	1	累计伤害到达{n1}	t_boss_active_1049	305	1	1	30000	0	5000
1050	1	累计伤害到达{n1}	t_boss_active_1050	316	6	13001	0	0	0
1051	1	累计伤害到达{n1}	t_boss_active_1051	327	1	1	35000	0	5000
1052	1	累计伤害到达{n1}	t_boss_active_1052	338	2	50090001	12	0	3
1053	1	累计伤害到达{n1}	t_boss_active_1053	338	2	80020001	1	0	0
1054	1	累计伤害到达{n1}	t_boss_active_1054	349	1	1	35000	0	5000
1055	1	累计伤害到达{n1}	t_boss_active_1055	360	2	50090001	12	0	3
2001	2	全服玩家击败5级BOSS	t_boss_active_2001	5	2	50090001	10	0	0
