INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
index	type	value1	value2	value3	vip	type	value1	value2	value3	vip
1	1	1	50000	0	0	1	1	50000	0	0
2	3	201	1	0	0	2	50070001	50	0	0
3	2	70010302	16	0	0	2	50010001	50	0	1
4	1	2	100	0	0	1	2	100	0	0
5	2	50020001	20	0	1	2	50020001	20	0	0
6	1	1	100000	0	0	1	1	100000	0	0
7	2	70010302	16	0	0	2	50100001	50	0	0
8	2	30010201	10	0	2	2	50090001	20	0	2
9	1	2	200	0	0	1	2	200	0	0
10	2	10010002	5	0	0	2	10010002	5	0	0
11	1	1	150000	0	0	1	1	150000	0	0
12	2	50070001	100	0	0	2	50070001	100	0	0
13	2	30010201	10	0	3	2	50010001	100	0	3
14	1	2	300	0	0	1	2	300	0	0
15	2	10010007	5	0	0	2	10010007	5	0	0
16	1	1	200000	0	0	1	1	200000	0	0
17	2	50100001	100	0	0	2	50100001	100	0	0
18	2	30010201	10	0	4	2	50090001	40	0	4
19	1	2	400	0	0	1	2	400	0	0
20	2	50020001	30	0	0	2	50020001	30	0	0
21	1	1	250000	0	0	1	1	250000	0	0
22	2	50070001	150	0	0	2	50070001	150	0	0
23	2	30010201	10	0	5	2	50010001	150	0	5
24	1	2	500	0	0	1	2	500	0	0
25	2	10010002	10	0	0	2	10010002	10	0	0
26	1	1	300000	0	0	1	1	300000	0	0
27	2	50100001	150	0	0	2	50100001	150	0	0
28	2	30010201	10	0	6	2	50090001	60	0	6
29	1	2	600	0	0	1	2	600	0	0
30	2	10010007	10	0	0	2	10010007	10	0	0
