INT	INT	STRING	STRING	FLOAT	INT	INT	FLOAT	FLOAT	INT
关卡	类型 1是飞行弹幕 2是固定弹幕	弹幕	表情	出现时间	X	Y	飞行速度	持续时间	出现概率
0	1	t_danmu_words_100		1		50	150		40
0	1	t_danmu_words_200		0.9		75	100		40
0	1	t_danmu_words_300		0.8		-25	300		40
0	1	t_danmu_words_400		0.7		-50	260		40
0	1	t_danmu_words_500		0.6		-75	200		40
0	2	t_danmu_words_600		0	0	0		5	40
0	2	t_danmu_words_700		0	0	-25		5	40
0	2	t_danmu_words_800		0	0	-50		5	40
0	2	t_danmu_words_900		0.1	0	125		5	40
0	2	t_danmu_words_1000		0.2	0	175		5	40
0	2	t_danmu_words_1100		0.3	0	225		5	40
0	2	t_danmu_words_1200		0.4	0	275		5	40
2010	1	t_danmu_words_1300		0		-100	210		100
2010	1	t_danmu_words_1400		0.5		0	130		100
2010	2	t_danmu_words_1500		1	0	125		5	100
2010	2	t_danmu_words_1600		0.3	0	275		5	100
2010	2	t_danmu_words_1700		0.8	0	250		5	100
2010	2	t_danmu_words_1800		0	0	300		5	100
2010	2	t_danmu_words_1900		0.8	0	225		5	100
2010	2	t_danmu_words_2000		0.8	0	200		5	100
2010	2	t_danmu_words_2100		0.8	0	175		5	100
2010	2	t_danmu_words_2200		0.8	0	150		5	100
2010	2	t_danmu_words_2300		1	0	100		5	100
2010	2	t_danmu_words_2400		1	0	75		5	100
2010	2	t_danmu_words_2500		1	0	50		5	100
2010	2	t_danmu_words_2600		1	0	25		5	100
3018	1	t_danmu_words_2700		0		-100	210		100
3018	1	t_danmu_words_2800		0.5		0	130		100
3018	2	t_danmu_words_2900		0	0	300		5	100
3018	2	t_danmu_words_3000		0.3	0	275		5	100
3018	2	t_danmu_words_3100		0.8	0	250		5	100
3018	2	t_danmu_words_3200		1	0	125		5	100
3018	2	t_danmu_words_3300		0.8	0	225		5	100
3018	2	t_danmu_words_3400		0.8	0	200		5	100
3018	2	t_danmu_words_3500		0.8	0	175		5	100
3018	2	t_danmu_words_3600		0.8	0	150		5	100
3018	2	t_danmu_words_3700		1	0	100		5	100
3018	2	t_danmu_words_3800		1	0	75		5	100
