INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	STRING
等级	经验	体力上限	体力回复	蓝色伙伴经验	紫色伙伴经验	金色伙伴经验	红色伙伴经验	押镖原力基数	救援伙伴战魂	精英入侵队形强化装置	冰原胜利冰晶	冰原失败冰晶	蓝色宠物经验	紫色宠物经验	橙色宠物经验	红色宠物经验	描述1	desc1	ICON	引导id	描述2	desc2	ICON	引导id	type	value1	value2	value3	标题	正文
1	25	80	10	200	400	600	800		21	21			120	360	720	1800														
2	25	81	10	300	600	900	1200		22	21			120	360	720	1800	开启第二伙伴位	t_exp_desc1_2	small_d3hbkq001											
3	25	82	10	400	800	1200	1600		23	22			520	1360	2520	6300	开启邮件	t_exp_desc1_3	xyj_bztb001						2	10010011	1	0	t_exp_tittle_3	t_exp_text_3
4	30	83	10	500	1000	1500	2000		24	22			980	2540	4680	11700														
5	30	84	10	600	1200	1800	2400		25	23			1500	3900	7200	18000														
6	30	85	10	700	1400	2100	2800		26	23			2080	5440	10080	25200														
7	50	86	10	900	1800	2700	3600		27	24			2720	7160	13320	33300	开启第三伙伴位	t_exp_desc1_5	small_d3hbkq001											
8	50	87	10	1100	2200	3300	4400		28	24			3420	9060	16920	42300	开启商店	t_exp_desc1_8	small_shdian001											
9	60	88	10	1300	2600	3900	5200		29	25			4180	11140	20880	52200	开启第四伙伴位	t_exp_desc2_12	small_d3hbkq001											
10	100	89	10	1500	3000	4500	6000		30	25			5000	13400	25200	63000	开启竞技场	t_exp_desc1_10	icon_hd_jjc	s_level_10										
11	100	90	20	1700	3400	5100	6800		31	26			5880	15840	29880	74700														
12	125	91	20	1900	3800	5700	7600		32	26			6820	18460	34920	87300	开启约会	t_exp_desc1_12	small_hbyh001											
13	125	92	20	2100	4200	6300	8400		33	27			7820	21260	40320	100800	开启日常	t_exp_desc1_13	small_rcrw001	s_level_13										
14	150	93	20	2300	4600	6900	9200		34	27			8880	24240	46080	115200														
15	150	94	20	2500	5000	7500	10000		35	28			10000	27400	52200	130500	开启夺宝奇兵	t_exp_desc1_15	small_dbqb001	s_level_15										
16	175	95	20	3000	6000	9000	12000		36	28			11180	30740	58680	146700														
17	175	96	20	3500	7000	10500	14000		37	29			12420	34260	65520	163800														
18	200	97	20	4000	8000	12000	16000		38	29			13720	37960	72720	181800	开启精英副本	t_exp_desc1_18	icon_hd_jyfb	s_level_18	开启伙伴突破	t_exp_desc2_18	small_zbsx001							
19	200	98	20	4500	9000	13500	18000		39	30			15080	41840	80280	200700														
20	225	99	20	5000	10000	15000	20000	5000	40	30			16500	45900	88200	220500	开启好友	t_exp_desc1_20	small_kqhy001	s_level_20	开启聊天	t_exp_desc2_20	small_kqlt001							
21	225	100	30	5500	11000	16500	22000	5125	41	31			17980	50140	96480	241200														
22	275	101	30	6000	12000	18000	24000	5250	42	31			19520	54560	105120	262800	开启星河秘境	t_exp_desc1_22	icon_hd_xhmj	s_level_22										
23	325	102	30	6500	13000	19500	26000	5375	43	32			21120	59160	114120	285300	开启第五伙伴位	t_exp_desc1_23	small_d3hbkq001											
24	375	103	30	7000	14000	21000	28000	5500	44	32			22780	63940	123480	308700														
25	425	104	30	7500	15000	22500	30000	5625	45	33			24500	68900	133200	333000														
26	500	105	40	8000	16000	24000	32000	5750	46	33			26280	74040	143280	358200														
27	575	106	40	8500	17000	25500	34000	5875	47	34			28120	79360	153720	384300														
28	650	107	40	9000	18000	27000	36000	6000	48	34			30020	84860	164520	411300	开启太空运输	t_exp_desc1_28	tphd_i003	s_level_28										
29	725	108	40	9500	19000	28500	38000	6125	49	35			31980	90540	175680	439200														
30	800	109	40	10000	20000	30000	40000	6250	50	35			34000	96400	187200	468000	开启装备精炼	t_exp_desc1_30	small_zbjl001											
31	900	110	50	10750	21500	32250	43000	6437	51	36			36080	102440	199080	497700														
32	1000	111	50	11500	23000	34500	46000	6625	52	36			38220	108660	211320	528300	开启星际宝藏	t_exp_desc1_32	icon_hd_arfkq	s_level_32										
33	1100	112	50	12250	24500	36750	49000	6812	53	37			40420	115060	223920	559800	开启第六伙伴位	t_exp_desc1_33	small_d3hbkq001											
34	1200	113	50	13000	26000	39000	52000	7000	54	37			42680	121640	236880	592200														
35	1300	114	50	13750	27500	41250	55000	7187	55	38			45000	128400	250200	625500	开启魔王讨伐战	t_exp_desc1_25	icon_hd_mwtf	s_level_35	开启伙伴技能	t_exp_desc2_25	small_hbjn001							
36	1450	115	60	14500	29000	43500	58000	7375	56	38			47380	135340	263880	659700														
37	1600	116	60	15250	30500	45750	61000	7562	57	39			49820	142460	277920	694800														
38	1750	117	60	16000	32000	48000	64000	7750	58	39			52320	149760	292320	730800	开启军团	t_exp_desc1_38	small_jtsd001											
39	1900	118	60	16750	33500	50250	67000	7937	59	40			54880	157240	307080	767700														
40	2050	119	60	17500	35000	52500	70000	8125	60	40			57500	164900	322200	805500	开启饰品精炼	t_exp_desc1_40	small_bwjl001											
41	2250	120	60	18500	37000	55500	74000	8375	61	41			60180	172740	337680	844200														
42	2450	120	60	19500	39000	58500	78000	8625	62	41			62920	180760	353520	883800														
43	2650	120	60	20500	41000	61500	82000	8875	63	42			65720	188960	369720	924300														
44	2850	120	60	21500	43000	64500	86000	9125	64	42			68580	197340	386280	965700														
45	3050	120	60	22500	45000	67500	90000	9375	65	43			71500	205900	403200	1008000	开启援救伙伴	t_exp_desc1_35	icon_hd_yjhb	s_level_45										
46	3250	120	60	23500	47000	70500	94000	9625	66	43			74480	214640	420480	1051200														
47	3450	120	60	24500	49000	73500	98000	9875	67	44			77520	223560	438120	1095300														
48	3650	120	60	25500	51000	76500	102000	10125	68	44			80620	232660	456120	1140300														
49	3850	120	60	26500	53000	79500	106000	10375	69	45			83780	241940	474480	1186200														
50	4050	120	60	27500	55000	82500	110000	10625	70	45			87000	251400	493200	1233000	开启装备改造	t_exp_desc1_50	small_zbgz001		开启回忆	t_exp_desc2_50	small_hy001							
51	4250	120	60	28750	57500	86250	115000	10937	71	46			90280	261040	512280	1280700														
52	4450	120	60	30000	60000	90000	120000	11250	72	46			93620	270860	531720	1329300														
53	4650	120	60	31250	62500	93750	125000	11562	73	47			97020	280860	551520	1378800														
54	4850	120	60	32500	65000	97500	130000	11875	74	47			100480	291040	571680	1429200														
55	5050	120	60	33750	67500	101250	135000	12187	75	48			104000	301400	592200	1480500														
56	5250	120	60	35000	70000	105000	140000	12500	76	48			107580	311940	613080	1532700														
57	5450	120	60	36250	72500	108750	145000	12812	77	49			111220	322660	634320	1585800														
58	5650	120	60	37500	75000	112500	150000	13125	78	49			114920	333560	655920	1639800														
59	5850	120	60	38750	77500	116250	155000	13437	79	50			118680	344640	677880	1694700														
60	6050	120	60	40000	80000	120000	160000	13750	80	50			122500	355900	700200	1750500	开启猎人大会	t_exp_desc1_60	icon_jt_boss											
61	6300	120	60	41500	83000	124500	166000	14125	81	51			126380	367340	722880	1807200														
62	6550	120	60	43000	86000	129000	172000	14500	82	51			130320	378960	745920	1864800														
63	6800	120	60	44500	89000	133500	178000	14875	83	52			134320	390760	769320	1923300														
64	7050	120	60	46000	92000	138000	184000	15250	84	52			138380	402740	793080	1982700														
65	7300	120	60	47500	95000	142500	190000	15625	85	53	420	295	142500	414900	817200	2043000	开启决战冰原	t_exp_desc1_65	small_jzby											
66	7550	120	60	49000	98000	147000	196000	16000	86	53	426	300	146680	427240	841680	2104200														
67	7800	120	60	50500	101000	151500	202000	16375	87	54	432	305	150920	439760	866520	2166300														
68	8050	120	60	52000	104000	156000	208000	16750	88	54	438	310	155220	452460	891720	2229300														
69	8300	120	60	53500	107000	160500	214000	17125	89	55	444	315	159580	465340	917280	2293200														
70	8550	120	60	55000	110000	165000	220000	17500	90	55	450	320	164000	478400	943200	2358000	开启觉醒	t_exp_desc1_70	icon_jjds_qd	s_level_70	开启宠物	t_exp_desc2_70	small_chongwu001							
71	8850	120	60	57000	114000	171000	228000	18000	91	56	456	325	168480	491640	969480	2423700														
72	9150	120	60	59000	118000	177000	236000	18500	92	56	462	330	173020	505060	996120	2490300														
73	9450	120	60	61000	122000	183000	244000	19000	93	57	468	335	177620	518660	1023120	2557800														
74	9750	120	60	63000	126000	189000	252000	19500	94	57	474	340	182280	532440	1050480	2626200														
75	10050	120	60	65000	130000	195000	260000	20000	95	58	480	345	187000	546400	1078200	2695500														
76	10350	120	60	67000	134000	201000	268000	20500	96	58	486	350	191780	560540	1106280	2765700														
77	10650	120	60	69000	138000	207000	276000	21000	97	59	492	355	196620	574860	1134720	2836800														
78	10950	120	60	71000	142000	213000	284000	21500	98	59	498	360	201520	589360	1163520	2908800														
79	11250	120	60	73000	146000	219000	292000	22000	99	60	504	365	206480	604040	1192680	2981700														
80	11550	120	60	75000	150000	225000	300000	22500	100	60	510	370	211500	618900	1222200	3055500	开启装备升星	t_exp_desc1_80	icon_hd_hbsj		开启饰品升星	t_exp_desc2_80	icon_hd_hbsjie							
81	12250	120	60	78000	156000	234000	312000	23250	101	61	516	375	216580	633940	1252080	3130200														
82	12950	120	60	81000	162000	243000	324000	24000	102	61	522	380	221720	649160	1282320	3205800														
83	13650	120	60	84000	168000	252000	336000	24750	103	62	528	385	226920	664560	1312920	3282300														
84	14350	120	60	87000	174000	261000	348000	25500	104	62	534	390	232180	680140	1343880	3359700														
85	15050	120	60	90000	180000	270000	360000	26250	105	63	540	395	237500	695900	1375200	3438000														
86	16450	120	60	96000	192000	288000	384000	27750	106	63	546	400	242880	711840	1406880	3517200														
87	17850	120	60	102000	204000	306000	408000	29250	107	64	552	405	248320	727960	1438920	3597300														
88	19250	120	60	108000	216000	324000	432000	30750	108	64	558	410	253820	744260	1471320	3678300														
89	20650	120	60	114000	228000	342000	456000	32250	109	65	564	415	259380	760740	1504080	3760200														
90	22050	120	60	120000	240000	360000	480000	33750	110	65	570	420	265000	777400	1537200	3843000														
91	24850	120	60	126000	252000	378000	504000	35250	111	66	576	425	270680	794240	1570680	3926700														
92	27650	120	60	132000	264000	396000	528000	36750	112	66	582	430	276420	811260	1604520	4011300														
93	30450	120	60	138000	276000	414000	552000	38250	113	67	588	435	282220	828460	1638720	4096800														
94	33250	120	60	144000	288000	432000	576000	39750	114	67	594	440	288080	845840	1673280	4183200														
95	36050	120	60	150000	300000	450000	600000	41250	115	68	600	445	294000	863400	1708200	4270500														
96	41650	120	60	156000	312000	468000	624000	42750	116	68	606	450	299980	881140	1743480	4358700														
97	47250	120	60	162000	324000	486000	648000	44250	117	69	612	455	306020	899060	1779120	4447800														
98	52850	120	60	168000	336000	504000	672000	45750	118	69	618	460	312120	917160	1815120	4537800														
99	58450	120	60	174000	348000	522000	696000	47250	119	70	624	465	318280	935440	1851480	4628700														
100	64050	120	60	180000	360000	540000	720000	48750	120	70	630	470	324500	953900	1888200	4720500														
101	66450	120	60	186000	372000	558000	744000	50250	121	71	636	475	330780	972540	1925280	4813200														
102	68850	120	60	192000	384000	576000	768000	51750	122	71	642	480	337120	991360	1962720	4906800														
103	71250	120	60	198000	396000	594000	792000	53250	123	72	648	485	343520	1010360	2000520	5001300														
104	73650	120	60	204000	408000	612000	816000	54750	124	72	654	490	349980	1029540	2038680	5096700														
105	76050	120	60	210000	420000	630000	840000	56250	125	73	660	495	356500	1048900	2077200	5193000														
106	78450	120	60	216000	432000	648000	864000	57750	126	73	666	500	363080	1068440	2116080	5290200														
107	80850	120	60	222000	444000	666000	888000	59250	127	74	672	505	369720	1088160	2155320	5388300														
108	83250	120	60	228000	456000	684000	912000	60750	128	74	678	510	376420	1108060	2194920	5487300														
109	85650	120	60	234000	468000	702000	936000	62250	129	75	684	515	383180	1128140	2234880	5587200														
110	88050	120	60	240000	480000	720000	960000	63750	130	75	690	520	390000	1148400	2275200	5688000														
111	89250	120	60	246000	492000	738000	984000	65250	131	76	696	525	396880	1168840	2315880	5789700														
112	90450	120	60	252000	504000	756000	1008000	66750	132	76	702	530	403820	1189460	2356920	5892300														
