INT	INT	INT	INT
id	name	权重	回忆结晶
90010006	回忆录·强袭天使	10000	10
90010007	回忆录·炮击天使	10000	10
90010008	回忆录·斩击天使	10000	10
90010024	回忆录·女武神	10000	10
90010027	回忆录·机甲将军	10000	10
90010035	回忆录·机械女仆	10000	10
90010036	回忆录·黄金神王	10000	10
90010042	回忆录·青鬼王	10000	10
90010049	回忆录·夜魇	10000	10
90010052	回忆录·月兔	10000	10
90010053	回忆录·欲望君主	10000	10
90010055	回忆录·妖狐少女	10000	10
90010057	回忆录·赤鬼王	10000	10
90010059	回忆录·白蛇妖	10000	10
90010062	回忆录·雪女	10000	10
90010066	回忆录·九尾妖狐	10000	10
90010067	回忆录·鬼巫女	10000	10
90010069	回忆录·座敷童子	10000	10
90010100	回忆录·穿越者	10000	10
90010101	回忆录·钢妹	10000	10
90010201	回忆录·明日少尉	1000	60
90010202	回忆录·斗人	1000	60
90010203	回忆录·炮姐	1000	60
90010204	回忆录·黑色射手	1000	60
90010205	回忆录·波波利	1000	60
90010206	回忆录·zero	1000	60
90010207	回忆录·妖妄之梦	1000	60
90010208	回忆录·幽灵公主	1000	60
90010209	回忆录·红白	1000	60
90010211	回忆录·C.C	1000	60
90010212	回忆录·初音战士	1000	60
90010213	回忆录·紫妈	1000	60
90010214	回忆录·奈亚酱	1000	60
90010215	回忆录·黑子	1000	60
90010401	回忆录·灼眼公主	1000	60
90010402	回忆录·魔剑士	1000	60
90010403	回忆录·一卡螺丝	1000	60
90010404	回忆录·火女	1000	60
90010405	回忆录·女仆长	1000	60
90010406	回忆录·双枪少女	1000	60
90010400	回忆录·骑士女皇	200	400
90010500	回忆录·阿丝奈	200	400
90010501	回忆录·狂三	200	400
90010502	回忆录·赤色恶魔	200	400
90010503	回忆录·大姐头	200	400
90010504	回忆录·歌姬	200	400
