INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
天数	位置	标题	代号	任务1	任务2	任务3	任务4	任务5	任务6	任务7	任务8	任务9	任务10	任务11	任务12	任务13	任务14	任务15
1	1	每日福利	t_kaifu_tittle_11	11001	11002	11003	11004											
1	2	主线副本	t_kaifu_tittle_12	12001	12002	12003	12004	12005	12006	12007	12008	12009	12010	12011	12012			
1	3	装备强化	t_kaifu_tittle_13	13001	13002	13003	13004	13005										
1	4	半价抢购	t_kaifu_tittle_14	14001	2	10020002	1	0	400	800	6000							
2	1	每日福利	t_kaifu_tittle_21	21001	21002	21003	21004											
2	2	竞技场	t_kaifu_tittle_22	22001	22002	22003	22004	22005	22006	22007	22008							
2	3	饰品合成	t_kaifu_tittle_23	23001	23002	23003	23004	23005	23006									
2	4	半价抢购	t_kaifu_tittle_24	24001	2	10010061	12	0	600	1200	5000							
3	1	每日福利	t_kaifu_tittle_31	31001	31002	31003	31004											
3	2	星河秘境	t_kaifu_tittle_32	32001	32002	32003	32004	32005	32006	32007	32008							
3	3	装备精炼	t_kaifu_tittle_33	33001	33002	33003	33004	33005	33006	33007	33008	33009	33010					
3	4	半价抢购	t_kaifu_tittle_34	34001	2	10010034	20	0	1500	3000	4000							
4	1	每日福利	t_kaifu_tittle_41	41001	41002	41003	41004											
4	2	伙伴技能	t_kaifu_tittle_42	42001	42002	42003	42004	42005	42006	42007	42008	42009						
4	3	魔王讨伐	t_kaifu_tittle_43	43001	43002	43003	43004	43005	43006	43007	43008	43009	43010	43011	43012	43013	43014	
4	4	半价抢购	t_kaifu_tittle_44	44001	2	50090001	200	0	1200	2400	3000							
5	1	每日福利	t_kaifu_tittle_51	51001	51002	51003	51004											
5	2	精英副本	t_kaifu_tittle_52	52001	52002	52003	52004	52005	52006	52007	52008	52009						
5	3	伙伴商店	t_kaifu_tittle_53	53001	53002	53003	53004	53005	53006	53007	53008	53009	53010	53011	53012	53013		
5	4	半价抢购	t_kaifu_tittle_54	54001	1	5	3200	0	1600	3200	2000							
6	1	每日福利	t_kaifu_tittle_61	61001	61002	61003	61004											
6	2	太空运输	t_kaifu_tittle_62	62001	62002	62003	62004	62005	62006	62007								
6	3	饰品精炼	t_kaifu_tittle_63	63001	63002	63003	63004	63005	63006									
6	4	半价抢购	t_kaifu_tittle_64	64001	2	10010063	4	0	2400	4800	1000							
7	1	每日福利	t_kaifu_tittle_71	71001	71002	71003	71004											
7	2	竞技场	t_kaifu_tittle_72	72001	72002	72003	72004	72005										
7	3	援救伙伴	t_kaifu_tittle_73	73001	73002	73003	73004	73005	73006									
7	4	半价抢购	t_kaifu_tittle_74	74001	1	1	5000000	0	1250	2500	500							
8	1	每日福利	t_kaifu_tittle_81	81001	81002													
8	2	夺宝奇兵	t_kaifu_tittle_82	82001	82002	82003	82004	82005	82006	82007								
8	3	特价贩售	t_kaifu_tittle_83	83001	83002	83003	83004	83005	83006									
8	4	半价抢购	t_kaifu_tittle_84	84001	2	10010063	4	0	2400	4800								
9	1	每日福利	t_kaifu_tittle_91	91001	91002													
9	2	夺宝奇兵	t_kaifu_tittle_92	92001	92002	92003	92004	92005	92006	92007								
9	3	特价贩售	t_kaifu_tittle_93	93001	93002	93003	93004	93005	93006									
9	4	半价抢购	t_kaifu_tittle_94	94001	2	10010063	4	0	2400	4800								
10	1	每日福利	t_kaifu_tittle_101	101001	101002													
10	2	主线副本	t_kaifu_tittle_102	102001	102002	102003	102004	102005	102006	102007	102008	102009						
10	3	特价贩售	t_kaifu_tittle_103	103001	103002	103003	103004	103005	103006	103007	103008							
10	4	半价抢购	t_kaifu_tittle_104	104001	2	10010067	1	0	3750	7500								
11	1	每日福利	t_kaifu_tittle_111	111001	111002													
11	2	主线副本	t_kaifu_tittle_112	112001	112002	112003	112004	112005	112006	112007	112008	112009						
11	3	特价贩售	t_kaifu_tittle_113	113001	113002	113003	113004	113005	113006	113007	113008	113009	113010	113011	113012			
11	4	半价抢购	t_kaifu_tittle_114	114001	2	10010067	1	0	3750	7500								
12	1	每日福利	t_kaifu_tittle_121	121001	121002													
12	2	星河秘境	t_kaifu_tittle_122	122001	122002	122003	122004	122005	122006	122007	122008	122009						
12	3	特价贩售	t_kaifu_tittle_123	123001	123002	123003	123004	123005										
12	4	半价抢购	t_kaifu_tittle_124	124001	2	10010087	30	0	3750	7500								
13	1	每日福利	t_kaifu_tittle_131	131001	131002													
13	2	竞技场	t_kaifu_tittle_132	132001	132002	132003	132004	132005	132006	132007								
13	3	特价贩售	t_kaifu_tittle_133	133001	133002	133003	133004	133005										
13	4	半价抢购	t_kaifu_tittle_134	134001	2	10010087	30	0	3750	7500								
14	1	每日福利	t_kaifu_tittle_141	141001	141002													
14	2	精英副本	t_kaifu_tittle_142	142001	142002	142003	142004	142005	142006	142007	142008							
14	3	特价贩售	t_kaifu_tittle_143	143001	143002	143003	143004	143005	143006	143007	143008							
14	4	半价抢购	t_kaifu_tittle_144	144001	2	10010064	4	0	5000	10000								
